Age,All beneficiaries (thousands),,,Hispanic origin a (thousands,,,Hispanic origin as a percentage of all beneficiaries ,,,0
,Total,Male,Female,Total,Male,Female,Total,Male,Female,0
 ,Social Security beneficiaries,,,,,,,,,0
"Total, all ages","49,744","22,184","27,559","3,771","1,641","2,131",7.6,7.4,7.7,1
15–34,"1,849",879,970,278,133,145,15.0,15.1,14.9,0
35–44,"1,245",592,653,160,66,94,12.9,11.2,14.4,0
45–54,"2,304","1,072","1,232",207,87,120,9.0,8.1,9.8,0
55–64,"6,590","2,938","3,652",565,231,334,8.6,7.9,9.2,0
65–74,"20,958","9,637","11,321","1,469",640,829,7.0,6.6,7.3,0
75 or older,"16,798","7,067","9,731","1,092",484,608,6.5,6.8,6.2,0
 ,Supplemental Security Income recipients,,,,,,,,,0
"Total, all ages","6,847","2,980","3,867","1,103",426,676,16.1,14.3,17.5,1
15–34,"1,255",646,610,254,137,117,20.2,21.2,19.2,0
35–44,868,386,481,120,45,76,13.9,11.6,15.7,0
45–54,"1,342",580,762,176,72,104,13.1,12.4,13.6,0
55–64,"1,856",876,980,242,78,165,13.0,8.9,16.8,0
65–74,839,304,535,172,49,123,20.5,16.1,23.0,0
75 or older,687,188,499,139,47,92,20.2,24.8,18.4,0
 ,Average annual benefit in 2014 (dollars),,,,,,,,,0
Social Security,"14,305","16,255","12,735","11,985","13,563","10,769",. . .,. . .,. . .,0
Supplemental Security Income,"7,927","8,709","7,324","7,657","8,318","7,241",. . .,. . .,. . .,0
"SOURCE: Census Bureau, Current Population Survey, public-use file of the March 2015 Income Supplement.",,,,,,,,,,0
"NOTES: Table includes civilian noninstitutionalized population residing in the 50 states and the District of Columbia.
          For a discussion of standard errors of estimated numbers and percentages, see Census Bureau, Current Population Reports, Series P-60.
Totals do not necessarily equal the sum of rounded components.
OASDI = Old-Age, Survivors, and Disability Insurance; . . . = not applicable.
",,,,,,,,,,0
a. Persons of Hispanic origin may be of any race.,,,,,,,,,,0
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,,,,0
