Monthly benefit (dollars),"Total, 62 or older",62–64,65–69,70–74,75–79,80–84,85–89,90 or older
 ,All retired workers,,,,,,,
Total, ,,,,,,,
Number (thousands),"39,009","3,065","11,148","9,534","6,491","4,415","2,767","1,589"
Percent,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Less than 300.00,2.3,3.8,2.5,2.2,2.3,2.2,1.8,1.4
300.00–349.90,0.8,1.4,0.9,0.8,0.8,0.7,0.6,0.6
350.00–399.90,0.8,1.4,0.9,0.8,0.8,0.8,0.7,0.8
400.00–449.90,0.9,1.4,0.9,0.8,0.8,0.8,0.7,0.8
450.00–499.90,0.9,1.4,0.9,0.8,0.8,0.9,0.9,1.1
500.00–549.90,1.1,1.5,1.0,0.9,1.0,1.4,1.3,1.3
550.00–599.90,1.6,3.2,1.6,1.3,1.5,1.6,1.6,1.5
600.00–649.90,2.0,3.7,1.9,1.6,1.8,2.1,2.1,1.9
650.00–699.90,2.4,3.8,2.2,1.9,2.4,2.9,2.7,2.1
700.00–749.90,2.8,3.9,2.5,2.4,3.1,3.3,2.5,2.0
750.00–799.90,3.0,4.5,3.1,2.9,3.1,2.8,2.4,2.1
800.00–849.90,3.2,4.7,3.4,3.2,3.0,2.7,2.4,2.2
850.00–899.90,3.2,4.6,3.5,3.2,2.9,2.7,2.4,2.3
900.00–949.90,3.1,4.4,3.4,2.9,2.8,2.7,2.4,2.3
950.00–999.90,3.0,3.9,3.2,2.8,2.8,2.7,2.5,2.5
"1,000.00–1,049.90",2.9,3.4,3.1,2.8,2.8,2.7,2.6,2.8
"1,050.00–1,099.90",2.9,3.3,3.0,2.8,2.7,2.8,2.8,3.2
"1,100.00–1,149.90",2.9,3.1,2.9,2.7,2.7,2.9,3.0,3.6
"1,150.00–1,199.90",2.9,3.0,2.9,2.7,2.8,3.1,3.4,4.3
"1,200.00–1,249.90",3.0,2.9,2.8,2.6,2.8,3.3,3.7,5.3
"1,250.00–1,299.90",3.1,2.8,2.7,2.6,2.9,3.4,4.2,6.3
"1,300.00–1,349.90",3.1,2.7,2.7,2.6,2.9,3.7,4.9,6.2
"1,350.00–1,399.90",3.3,2.6,2.5,2.5,3.0,4.7,6.7,5.1
"1,400.00–1,449.90",3.4,2.5,2.5,2.5,3.5,6.0,6.7,4.3
"1,450.00–1,499.90",3.3,2.4,2.5,2.5,3.8,5.8,4.7,3.8
"1,500.00–1,549.90",3.3,2.6,2.6,2.9,4.2,4.6,3.4,3.5
"1,550.00–1,599.90",3.5,3.7,3.2,3.4,4.2,3.3,3.1,3.4
"1,600.00–1,649.90",3.3,3.5,3.2,3.4,3.8,2.6,2.9,3.4
"1,650.00–1,699.90",3.1,3.1,3.1,3.4,3.4,2.5,2.9,3.0
"1,700.00–1,749.90",3.0,2.6,2.9,3.3,3.2,2.6,2.9,2.7
"1,750.00–1,799.90",2.7,2.2,2.7,3.0,2.8,2.4,2.5,2.4
"1,800.00–1,849.90",2.3,1.8,2.5,2.7,2.3,2.1,2.1,1.8
"1,850.00–1,899.90",2.0,1.5,2.2,2.1,2.1,1.8,1.8,1.4
"1,900.00–1,949.90",1.7,1.1,1.9,1.8,2.0,1.5,1.4,1.2
"1,950.00–1,999.90",1.5,0.7,1.6,1.8,1.8,1.3,1.0,1.0
"2,000.00–2,049.90",1.5,0.4,1.6,2.1,1.6,1.0,0.8,0.8
"2,050.00–2,099.90",1.4,0.2,1.7,1.9,1.4,0.8,0.7,0.7
"2,100.00–2,149.90",1.2,0.1,1.6,1.7,1.2,0.7,0.6,0.6
"2,150.00–2,199.90",1.1,0.1,1.4,1.5,1.0,0.6,0.5,0.5
"2,200.00 or more",6.7,0.1,8.6,10.4,5.0,3.6,3.7,3.6
Average benefit (dollars),"1,328.58","1,085.78","1,351.36","1,416.21","1,330.88","1,278.61","1,295.59","1,298.23"
 ,Men,,,,,,,
Total, ,,,,,,,
Number (thousands),"19,602","1,462","5,738","4,943","3,343","2,223","1,285",608
Percent,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Less than 300.00,2.3,3.4,2.4,2.1,2.3,2.4,1.8,1.6
300.00–349.90,0.8,1.2,0.8,0.7,0.8,0.8,0.6,0.7
350.00–399.90,0.8,1.2,0.8,0.7,0.8,0.8,0.6,0.7
400.00–449.90,0.8,1.1,0.8,0.7,0.7,0.7,0.7,0.7
450.00–499.90,0.8,1.1,0.8,0.7,0.7,0.8,0.8,1.0
500.00–549.90,0.8,1.1,0.8,0.7,0.8,1.0,1.1,1.1
550.00–599.90,1.2,2.4,1.2,0.9,1.0,1.1,1.1,1.3
600.00–649.90,1.3,2.7,1.3,1.0,1.1,1.3,1.4,1.4
650.00–699.90,1.4,2.7,1.4,1.1,1.2,1.3,1.4,1.5
700.00–749.90,1.5,2.7,1.5,1.3,1.3,1.4,1.4,1.5
750.00–799.90,1.6,2.7,1.7,1.4,1.4,1.5,1.5,1.5
800.00–849.90,1.6,2.7,1.7,1.4,1.4,1.6,1.5,1.7
850.00–899.90,1.7,2.8,1.8,1.5,1.5,1.7,1.7,1.7
900.00–949.90,1.8,2.8,1.9,1.5,1.6,1.8,1.8,1.9
950.00–999.90,1.9,2.9,1.9,1.6,1.7,2.0,1.9,2.1
"1,000.00–1,049.90",2.0,2.9,2.0,1.7,1.8,2.1,2.1,2.4
"1,050.00–1,099.90",2.1,3.0,2.1,1.8,2.0,2.3,2.3,2.6
"1,100.00–1,149.90",2.3,3.1,2.2,1.9,2.1,2.6,2.6,3.2
"1,150.00–1,199.90",2.4,3.1,2.2,2.0,2.3,2.8,3.0,4.0
"1,200.00–1,249.90",2.6,3.1,2.3,2.1,2.4,3.1,3.4,5.6
"1,250.00–1,299.90",2.8,3.1,2.4,2.2,2.6,3.4,3.9,7.2
"1,300.00–1,349.90",2.9,3.0,2.4,2.3,2.8,3.7,4.9,7.1
"1,350.00–1,399.90",3.4,3.0,2.5,2.4,3.0,5.4,8.4,5.4
"1,400.00–1,449.90",3.7,3.0,2.5,2.5,3.6,7.4,8.5,4.0
"1,450.00–1,499.90",3.6,2.9,2.6,2.5,4.2,7.4,5.3,3.6
"1,500.00–1,549.90",3.8,3.4,2.9,3.3,5.1,5.9,3.5,3.5
"1,550.00–1,599.90",4.2,5.0,3.8,4.1,5.5,3.9,3.2,3.7
"1,600.00–1,649.90",4.2,5.1,4.0,4.4,5.2,2.9,3.1,3.9
"1,650.00–1,699.90",4.0,4.6,4.0,4.4,4.6,2.7,3.2,3.6
"1,700.00–1,749.90",3.9,4.1,3.9,4.4,4.2,3.0,3.4,3.2
"1,750.00–1,799.90",3.7,3.6,3.7,4.2,3.8,3.0,3.1,2.7
"1,800.00–1,849.90",3.2,3.1,3.4,3.7,2.9,2.6,2.7,2.1
"1,850.00–1,899.90",2.7,2.6,3.1,2.6,2.7,2.3,2.4,1.6
"1,900.00–1,949.90",2.3,2.0,2.6,2.3,2.7,2.0,1.9,1.3
"1,950.00–1,999.90",2.1,1.2,2.2,2.3,2.6,1.8,1.3,1.1
"2,000.00–2,049.90",2.0,0.6,2.2,2.7,2.3,1.5,1.0,1.0
"2,050.00–2,099.90",1.9,0.4,2.3,2.5,2.1,1.2,0.9,0.8
"2,100.00–2,149.90",1.7,0.2,2.2,2.3,1.9,1.0,0.7,0.7
"2,150.00–2,199.90",1.6,0.1,2.0,2.2,1.6,0.9,0.6,0.7
"2,200.00 or more",10.5,0.2,13.7,16.0,7.7,5.2,5.4,4.7
Average benefit (dollars),"1,488.07","1,223.48","1,528.14","1,602.95","1,487.17","1,395.28","1,394.48","1,354.35"
 ,Women,,,,,,,
Total, ,,,,,,,
Number (thousands),"19,407","1,603","5,411","4,591","3,147","2,193","1,482",980
Percent,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Less than 300.00,2.4,4.1,2.5,2.2,2.3,2.1,1.8,1.2
300.00–349.90,0.8,1.5,0.9,0.8,0.8,0.7,0.7,0.6
350.00–399.90,0.9,1.5,1.0,0.8,0.8,0.8,0.7,0.8
400.00–449.90,1.0,1.6,1.0,0.9,0.8,0.8,0.8,0.9
450.00–499.90,1.1,1.7,1.1,0.9,0.9,1.0,1.0,1.1
500.00–549.90,1.4,1.9,1.2,1.1,1.3,1.7,1.5,1.4
550.00–599.90,2.1,4.0,2.1,1.8,2.0,2.1,1.9,1.7
600.00–649.90,2.7,4.6,2.5,2.2,2.5,2.9,2.8,2.2
650.00–699.90,3.4,4.8,3.0,2.8,3.6,4.4,3.8,2.4
700.00–749.90,4.0,5.1,3.5,3.6,5.0,5.2,3.5,2.4
750.00–799.90,4.5,6.1,4.6,4.6,5.0,4.2,3.2,2.4
800.00–849.90,4.7,6.5,5.1,5.0,4.6,3.8,3.2,2.6
850.00–899.90,4.7,6.3,5.3,5.0,4.4,3.8,3.1,2.6
900.00–949.90,4.3,5.9,5.0,4.4,4.1,3.6,3.0,2.6
950.00–999.90,4.0,4.8,4.5,4.2,3.9,3.5,3.0,2.8
"1,000.00–1,049.90",3.8,3.8,4.2,4.0,3.8,3.4,3.0,3.1
"1,050.00–1,099.90",3.7,3.5,3.9,3.8,3.6,3.3,3.2,3.5
"1,100.00–1,149.90",3.5,3.1,3.7,3.6,3.4,3.2,3.4,3.9
"1,150.00–1,199.90",3.4,2.9,3.5,3.4,3.3,3.3,3.7,4.5
