State or area,Number,Percentage distribution by dollar amount of benefit,,,,,,,,,,,Monthly benefit (dollars),,0
,,Total,Less than 600.00,600.00–699.90,700.00–799.90,800.00–899.90,900.00–999.90,"1,000.00–1,099.90","1,100.00–1,199.90","1,200.00–1,299.90","1,300.00–1,399.90","1,400.00 or more",Average,Median,0
All areas,"3,834,531",100.0,8.2,3.7,4.2,5.0,5.8,6.7,8.0,9.5,9.1,39.7,"1,275.61","1,287.90",2
Alabama,"71,936",100.0,8.3,4.1,5.0,6.0,7.0,8.1,8.6,9.5,8.9,34.5,"1,226.35","1,230.85",0
Alaska,"4,640",100.0,10.1,5.2,5.3,5.4,6.6,7.2,7.4,8.9,8.8,35.1,"1,225.20","1,237.90",0
Arizona,"70,179",100.0,6.6,3.2,3.6,4.4,5.2,6.3,7.8,9.9,9.7,43.3,"1,317.75","1,330.00",0
Arkansas,"41,400",100.0,8.1,4.5,5.5,6.7,7.9,8.3,9.1,9.8,8.9,31.3,"1,199.28","1,199.00",0
California,"345,736",100.0,9.9,4.5,4.6,5.0,5.6,6.2,7.2,8.5,8.2,40.2,"1,275.20","1,281.90",0
Colorado,"47,951",100.0,7.7,3.1,3.7,4.7,5.6,6.6,7.6,9.2,9.1,42.5,"1,303.25","1,317.90",0
Connecticut,"37,111",100.0,4.8,2.2,2.6,3.1,4.0,5.1,6.8,8.9,9.1,53.3,"1,432.08","1,434.90",0
Delaware,"10,831",100.0,3.6,1.9,2.5,3.9,4.7,5.6,7.8,9.7,10.0,50.3,"1,397.15","1,402.90",0
District of Columbia,"4,296",100.0,20.1,6.8,7.6,7.5,7.1,6.7,6.4,6.0,4.9,26.9,"1,102.88","1,017.95",0
Florida,"247,483",100.0,6.4,3.5,4.1,5.0,6.0,7.1,8.2,9.8,9.3,40.6,"1,301.35","1,299.90",0
Georgia,"101,046",100.0,8.1,4.2,4.9,5.9,6.7,7.5,8.2,8.8,8.3,37.3,"1,249.64","1,251.00",0
Hawaii,"14,097",100.0,9.7,4.6,4.8,5.5,6.8,7.6,8.0,9.1,8.7,35.2,"1,234.86","1,233.90",0
Idaho,"17,901",100.0,4.5,2.4,3.4,5.0,5.9,7.9,9.1,11.0,10.6,40.4,"1,307.04","1,309.00",0
Illinois,"147,659",100.0,6.1,2.8,3.3,3.9,4.6,5.8,7.6,9.8,9.6,46.6,"1,351.98","1,364.90",0
Indiana,"83,893",100.0,3.4,1.7,2.5,3.4,4.6,6.2,8.4,11.0,10.9,47.9,"1,374.91","1,380.90",0
Iowa,"43,060",100.0,3.3,2.3,3.2,4.6,6.0,7.6,9.8,11.5,11.0,40.7,"1,320.21","1,314.90",0
Kansas,"33,447",100.0,3.8,2.2,3.0,4.0,5.7,6.9,8.5,10.5,10.4,45.1,"1,359.35","1,351.90",0
Kentucky,"68,699",100.0,10.0,4.7,5.3,6.2,6.9,7.4,8.5,9.6,8.7,32.8,"1,194.51","1,212.90",0
Louisiana,"78,674",100.0,11.2,5.0,5.8,6.5,7.0,7.4,7.9,8.9,8.2,32.0,"1,181.73","1,190.90",0
Maine,"18,922",100.0,7.7,3.7,4.8,6.0,7.2,8.1,9.1,9.9,9.3,34.2,"1,231.67","1,234.45",0
Maryland,"56,807",100.0,7.5,3.3,3.8,4.4,5.3,6.1,7.4,9.2,8.9,44.1,"1,327.05","1,333.90",0
Massachusetts,"69,079",100.0,8.4,3.5,3.8,4.4,5.0,5.9,7.1,8.7,8.8,44.4,"1,329.96","1,337.40",0
