Medical service expenditures in fiscal year 2013,$381.8 billion,0
"Number of unduplicated recipients, fiscal year 2013",73.7 million,0
Average 2013 vendor payment per unduplicated recipient, ,0
Persons aged 65 or older,"$15,104",1
Permanently and totally disabled persons,"$16,030",1
Dependent children under age 21,"$3,498",1
Average 2013 vendor payment for medical services, ,0
Nursing facility services,"$27,585",1
Inpatient general hospital care,"$3,897",1
Prescribed drugs,$443,1
Physicians services,$222,1
