Exact age,Male,,,Female,,
,Death probability ,Number of lives ,Life expectancy,Death probability ,Number of lives ,Life expectancy
0,.006569,"100,000",76.18,.005513,"100,000",80.95
1,.000444,"99,343",75.69,.000382,"99,449",80.39
2,.000291,"99,299",74.72,.000218,"99,411",79.42
3,.000226,"99,270",73.74,.000166,"99,389",78.44
4,.000173,"99,248",72.76,.000143,"99,373",77.45
5,.000158,"99,230",71.77,.000127,"99,358",76.47
6,.000147,"99,215",70.78,.000116,"99,346",75.48
7,.000136,"99,200",69.79,.000106,"99,334",74.48
8,.000121,"99,187",68.80,.000098,"99,324",73.49
9,.000104,"99,175",67.81,.000091,"99,314",72.50
10,.000092,"99,164",66.82,.000086,"99,305",71.51
11,.000097,"99,155",65.82,.000089,"99,296",70.51
12,.000134,"99,146",64.83,.000102,"99,288",69.52
13,.000210,"99,132",63.84,.000128,"99,277",68.52
14,.000317,"99,112",62.85,.000164,"99,265",67.53
15,.000433,"99,080",61.87,.000205,"99,248",66.54
16,.000547,"99,037",60.90,.000246,"99,228",65.56
17,.000672,"98,983",59.93,.000285,"99,204",64.57
18,.000805,"98,917",58.97,.000319,"99,175",63.59
19,.000941,"98,837",58.02,.000350,"99,144",62.61
20,.001084,"98,744",57.07,.000383,"99,109",61.63
21,.001219,"98,637",56.13,.000417,"99,071",60.66
22,.001314,"98,517",55.20,.000446,"99,030",59.68
23,.001357,"98,387",54.27,.000469,"98,986",58.71
24,.001362,"98,254",53.35,.000487,"98,939",57.74
25,.001353,"98,120",52.42,.000505,"98,891",56.76
26,.001350,"97,987",51.49,.000525,"98,841",55.79
27,.001353,"97,855",50.56,.000551,"98,789",54.82
28,.001371,"97,722",49.63,.000585,"98,735",53.85
29,.001399,"97,588",48.69,.000626,"98,677",52.88
30,.001432,"97,452",47.76,.000672,"98,615",51.92
31,.001464,"97,312",46.83,.000720,"98,549",50.95
32,.001497,"97,170",45.90,.000766,"98,478",49.99
33,.001530,"97,024",44.96,.000806,"98,403",49.02
34,.001568,"96,876",44.03,.000846,"98,323",48.06
35,.001617,"96,724",43.10,.000891,"98,240",47.10
36,.001682,"96,568",42.17,.000946,"98,153",46.15
37,.001759,"96,405",41.24,.001013,"98,060",45.19
38,.001852,"96,236",40.31,.001094,"97,960",44.23
39,.001963,"96,057",39.39,.001190,"97,853",43.28
40,.002092,"95,869",38.46,.001296,"97,737",42.33
41,.002246,"95,668",37.54,.001413,"97,610",41.39
42,.002436,"95,453",36.62,.001549,"97,472",40.45
43,.002669,"95,221",35.71,.001706,"97,321",39.51
44,.002942,"94,967",34.81,.001881,"97,155",38.57
45,.003244,"94,687",33.91,.002069,"96,972",37.65
46,.003571,"94,380",33.02,.002270,"96,772",36.72
47,.003926,"94,043",32.13,.002486,"96,552",35.81
48,.004309,"93,674",31.26,.002716,"96,312",34.89
