Program,2009 a,2010 a,2011 a,2012 a,2013
"Total, state and federal",58752065,58916399,60928697,63030450,63574440.0
,State programs,,,,
Subtotal,55209460,55244341,57151704,59254931,59883426.0
Alabama,625755,629069,616022,649682,639311.0
Alaska,222005,221955,239635,248038,253081.0
Arizona,657182,701624,719616,755440,752123.0
Arkansas,224303,213970,199254,207165,202235.0
California,9976005,10101786,10835059,11507681,12100181.0
Colorado,834535,800294,762559,879675,858947.0
Connecticut,842138,794728,867539,920041,950065.0
Delaware,206145,211921,220830,216588,240313.0
District of Columbia,104316,104948,110316,90511,101630.0
Florida,2945069,2777207,2858363,3085225,3131293.0
Georgia,1343237,1458682,1397596,1574991,1566186.0
Hawaii,244375,242400,246780,248433,260352.0
Idaho,242664,239549,249292,237099,251846.0
Illinois,3057665,3003117,3026156,2952905,2923024.0
Indiana,597124,598678,627671,653189,674206.0
Iowa,552753,563025,621556,659408,668646.0
Kansas,416079,405400,436122,427871,387384.0
Kentucky,769323,663280,679668,685712,697974.0
Louisiana,831203,802424,842548,853685,870086.0
Maine,260555,251593,252735,245926,247766.0
Maryland,895905,953533,1006998,970734,944612.0
Massachusetts,953373,1015984,1003884,981890,1061981.0
Michigan,1509881,1271892,1301061,1189483,1134005.0
Minnesota,1072459,1034661,1011890,1042478,1064684.0
Mississippi,321771,337633,334430,336208,332790.0
Missouri,842742,800789,807121,869429,873946.0
Montana,260837,266364,251577,248778,247003.0
Nebraska,301944,315736,321281,300419,305001.0
Nevada,430482,429686,395331,367236,358740.0
New Hampshire,246746,251682,231961,225454,214560.0
New Jersey,1994037,2067447,2220454,2246396,2239166.0
New Mexico,246272,276126,275783,306304,267330.0
New York,4148353,4617084,5097559,5370910,5543750.0
North Carolina,1414052,1357196,1427145,1569125,1568586.0
North Dakota,109513,120355,131099,151033,193975.0
Ohio,2279359,2209404,2200692,2168947,2070022.0
Oklahoma,784776,842553,840345,922533,878022.0
Oregon,703812,681001,683452,663181,668686.0
Pennsylvania,2902311,2909863,2895406,2910262,2966353.0
Rhode Island,160763,159988,169735,171242,162356.0
South Carolina,891830,891283,874227,905405,878428.0
South Dakota,93578,100348,90844,87043,94015.0
Tennessee,739832,780805,771905,838388,808055.0
Texas,1553316,1491310,1595022,1838018,1767908.0
Utah,300997,274900,272692,283301,282462.0
Vermont,144087,137367,138141,138515,141511.0
Virginia,859727,785680,891958,979538,953165.0
Washington,2312186,2308748,2316713,2311299,2331783.0
West Virginia,525480,543317,520769,475952,436017.0
Wisconsin,1116312,1071877,1099950,1123861,1126058.0
Wyoming,140297,154077,162960,162304,191807.0
,Federal programs b,,,,
Subtotal,3542605,3672058,3776993,3775519,3691014.0
Civilian employee,2763885,2889321,2994122,3006009,2948132.0
Other,778720,782737,782871,769510,742882.0
"SOURCES: National Academy of Social Insurance estimates based on data received from state agencies, the Department of Labor, A.M. Best Company, and the National Council on Compensation Insurance.","NOTES: States periodically update prior-year data, and any such changes are included in the current table.
          Totals do not necessarily equal the sum of rounded components.
        ","a. The National Academy of Social Insurance has revised its estimates for 2009–2012. For details, see Appendix D, Workers' Compensation: Benefits, Coverage, and Costs, 2013 (https://www.nasi.org/research/2015/report-workers-compensation-benefits-coverage-costs-2013).","b. Federal benefits include those paid under the Federal Employees' Compensation Act for civilian employees; the portion of the Black Lung benefit program that is financed by employers; and a portion of benefits under the Longshore and Harbor Workers' Compensation Act that are not reflected in state data, namely, benefits paid by self-insured employers and special funds under the LHWCA.",CONTACT: Ishita Sengupta (202) 452-8097 or statistics@ssa.gov.,
