Year,Annual maximum taxable earnings (dollars),Average annual wage a (dollars,"Factors for workers who were first eligible (attained age 62, became disabled, or died) in b",,,,,,,,,,,,,,,,0
1974,"13,200","8,030.76",3.5938616,3.7941415,4.0039573,4.0994775,4.1405907,4.2418090,4.4390008,4.6014250,4.8129206,5.0313395,5.1470807,5.0694592,5.1892760,5.3518733,5.5189882,5.5895283,0
1975,"14,100","8,630.92",3.3439587,3.5303119,3.7255379,3.8144161,3.8526704,3.9468504,4.1303303,4.2814601,4.4782491,4.6814801,4.7891731,4.7169491,4.8284343,4.9797252,5.1352197,5.2008546,0
1976,"15,300","9,226.48",3.1281095,3.3024339,3.4850582,3.5681994,3.6039844,3.6920852,3.8637216,4.0050962,4.1891827,4.3792952,4.4800368,4.4124747,4.5167637,4.6582890,4.8037464,4.8651447,0
1977,"16,500","9,779.44",2.9512365,3.1157040,3.2880022,3.3664423,3.4002039,3.4833232,3.6452547,3.7786356,3.9523132,4.1316763,4.2267216,4.1629797,4.2613718,4.3948948,4.5321276,4.5900542,0
1978,"17,700","10,556.03",2.7341188,2.8864867,3.0461092,3.1187786,3.1500564,3.2270607,3.3770793,3.5006475,3.6615479,3.8277155,3.9157685,3.8567160,3.9478696,4.0715695,4.1987063,4.2523714,0
1979,"22,900","11,479.46",2.5141810,2.6542921,2.8010743,2.8678980,2.8966598,2.9674697,3.1054205,3.2190486,3.3670059,3.5198067,3.6007765,3.5464743,3.6302953,3.7440446,3.8609543,3.9103024,0
1980,"25,900","12,513.46",2.3064316,2.4349652,2.5696186,2.6309206,2.6573058,2.7222647,2.8488164,2.9530554,3.0887868,3.2289615,3.3032407,3.2534255,3.3303203,3.4346703,3.5419197,3.5871901,0
1981,"29,700","13,773.10",2.0954934,2.2122717,2.3346102,2.3903057,2.4142778,2.4732958,2.5882735,2.6829791,2.8062971,2.9336518,3.0011377,2.9558785,3.0257408,3.1205473,3.2179880,3.2591181,0
1982,"32,400","14,531.34",1.9861513,2.0968362,2.2127911,2.2655805,2.2883017,2.3442401,2.4532184,2.5429823,2.6598655,2.7805750,2.8445395,2.8016418,2.8678587,2.9577183,3.0500745,3.0890585,0
1983,"35,700","15,239.24",1.8938897,1.9994330,2.1100015,2.1603387,2.1820045,2.2353444,2.3392604,2.4248545,2.5363082,2.6514104,2.7124036,2.6714987,2.7346397,2.8203250,2.9083911,2.9455642,0
1984,"37,800","16,135.07",1.7887397,1.8884232,1.9928528,2.0403952,2.0608581,2.1112366,2.2093830,2.2902250,2.3954907,2.5042023,2.5618092,2.5231753,2.5828106,2.6637387,2.7469153,2.7820245,0
1985,"39,600","16,822.51",1.7156441,1.8112541,1.9114163,1.9570159,1.9766426,2.0249624,2.1190982,2.1966365,2.2976007,2.4018699,2.4571226,2.4200675,2.4772659,2.5548869,2.6346645,2.6683390,0
1986,"42,000","17,321.82",1.6661898,1.7590438,1.8563188,1.9006040,1.9196649,1.9665918,2.0580141,2.1333174,2.2313712,2.3326348,2.3862949,2.3503079,2.4058575,2.4812410,2.5587190,2.5914228,0
1987,"43,800","18,426.51",1.5662999,1.6535871,1.7450304,1.7866606,1.8045788,1.8486925,1.9346339,2.0054226,2.0975980,2.1927907,2.2432338,2.2094043,2.2616236,2.3324878,2.4053209,2.4360641,0
1988,"45,000","19,334.04",1.4927785,1.5759686,1.6631196,1.7027957,1.7198728,1.7619158,1.8438231,1.9112891,1.9991378,2.0898622,2.1379375,2.1056960,2.1554641,2.2230020,2.2924164,2.3217165,0
1989,"48,000","20,099.55",1.4359247,1.5159464,1.5997781,1.6379431,1.6543699,1.6948116,1.7735994,1.8384959,1.9229988,2.0102679,2.0565122,2.0254986,2.0733713,2.1383369,2.2051076,2.2332918,0
1990,"51,300","21,027.98",1.3725256,1.4490141,1.5291445,1.5656245,1.5813259,1.6199820,1.6952912,1.7573224,1.8380943,1.9215103,1.9657128,1.9360685,1.9818275,2.0439248,2.1077474,2.1346872,0
1991,"53,400","21,811.60",1.3232152,1.3969557,1.4742073,1.5093767,1.5245140,1.5617813,1.6343849,1.6941875,1.7720575,1.8524767,1.8950911,1.8665119,1.9106269,1.9704932,2.0320229,2.0579948,0
1992,"55,500","22,935.42",1.2583785,1.3285059,1.4019721,1.4354182,1.4498139,1.4852551,1.5543012,1.6111735,1.6852279,1.7617066,1.8022330,1.7750540,1.8170075,1.8739404,1.9324551,1.9571545,0
1993,"57,600","23,132.67",1.2476485,1.3171778,1.3900177,1.4231786,1.4374514,1.4725905,1.5410478,1.5974351,1.6708581,1.7466847,1.7868655,1.7599183,1.8015140,1.8579615,1.9159773,1.9404660,0
1994,"60,600","23,753.53",1.2150379,1.2827500,1.3536860,1.3859801,1.3998799,1.4341005,1.5007685,1.5556820,1.6271859,1.7010305,1.7401611,1.7139183,1.7544268,1.8093989,1.8658982,1.8897469,0
1995,"61,200","24,705.66",1.1682117,1.2333141,1.3015163,1.3325659,1.3459300,1.3788318,1.4429305,1.4957277,1.5644759,1.6354746,1.6730972,1.6478657,1.6868131,1.7396665,1.7939885,1.8169181,0
1996,"62,700","25,913.90",1.1137436,1.1758107,1.2408329,1.2704348,1.2831758,1.3145435,1.3756536,1.4259891,1.4915320,1.5592203,1.5950887,1.5710337,1.6081651,1.6585543,1.7103435,1.7322040,0
1997,"65,400","27,426.00",1.0523387,1.1109837,1.1724211,1.2003909,1.2124294,1.2420677,1.2998086,1.3473689,1.4092981,1.4732546,1.5071454,1.4844166,1.5195008,1.5671119,1.6160457,1.6367009,0
1998,"68,400","28,861.44",1.0000000,1.0557283,1.1141100,1.1406888,1.1521286,1.1802928,1.2351619,1.2803568,1.3392059,1.3999814,1.4321867,1.4105883,1.4439276,1.4891707,1.5356708,1.5552987,0
1999,"72,600","30,469.84",1.0000000,1.0000000,1.0552999,1.0804756,1.0913116,1.1179891,1.1699618,1.2127711,1.2685137,1.3260811,1.3565864,1.3361281,1.3677075,1.4105624,1.4546079,1.4731997,0
2000,"76,200","32,154.82",1.0000000,1.0000000,1.0000000,1.0238565,1.0341246,1.0594042,1.1086534,1.1492193,1.2020409,1.2565917,1.2854984,1.2661122,1.2960368,1.3366460,1.3783834,1.3960010,0
2001,"80,400","32,921.92",1.0000000,1.0000000,1.0000000,1.0000000,1.0100289,1.0347194,1.0828211,1.1224418,1.1740327,1.2273124,1.2555455,1.2366110,1.2658384,1.3055013,1.3462663,1.3634733,0
2002,"84,900","33,252.09",1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0244454,1.0720695,1.1112968,1.1623754,1.2151260,1.2430789,1.2243324,1.2532695,1.2925386,1.3328988,1.3499350,0
2003,"87,000","34,064.95",1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0464877,1.0847789,1.1346387,1.1861306,1.2134164,1.1951173,1.2233639,1.2616960,1.3010931,1.3177228,0
2004,"87,900","35,648.55",1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0365903,1.0842351,1.1334396,1.1595134,1.1420271,1.1690189,1.2056482,1.2432952,1.2591861,0
2005,"90,000","36,952.94",1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0459631,1.0934307,1.1185841,1.1017150,1.1277541,1.1630904,1.1994085,1.2147385,0
2006,"94,200","38,651.41",1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0453818,1.0694298,1.0533021,1.0781969,1.1119804,1.1467025,1.1613589,0
2007,"97,500","40,405.48",1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0230041,1.0075764,1.0313905,1.0637074,1.0969222,1.1109424,0
2008,"102,000","41,334.97",1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,0.9849193,1.0081979,1.0397881,1.0722560,1.0859609,0
2009,"106,800","40,711.61",1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0236350,1.0557089,1.0886740,1.1025887,0
2010,"106,800","41,673.83",1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0313333,1.0635372,1.0771307,0
2011,"106,800","42,979.61",1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0312255,1.0444059,0
2012,"110,100","44,321.67",1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0127813,0
2013,"113,700","44,888.16",1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,0
2014,"117,000","46,481.52",1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,0
2015,"118,500",--,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,0
,,,,,,,,,,,,,,,,,,"SOURCES: Social Security Act of 1935 (the Act), as amended through December 31, 2014; regulations issued under the Act; and precedential case decisions (rulings). Social Security Administration, ""Cost-of-Living Increase and Other Determinations for 2015,"" Federal Register, vol. 79, no. 209 (October 29, 2014). See the Social Security Program Rules page (https://www.socialsecurity.gov/regulations/index.htm) for specific laws, regulations, rulings, legislation, and a link to the Federal Register.",0
,,,,,,,,,,,,,,,,,,NOTE: -- = not available.,0
,,,,,,,,,,,,,,,,,,"a. National average wage levels. For years before 1978, average wages were determined from wages earned during the first quarter of the year and reported to the Social Security Administration (SSA) for Social Security tax purposes. These wages were then multiplied by 4 to obtain the average wage for the year. For 1973–1977, from data collected on all taxable wages reported to SSA; for 1957–1972, based on 1 percent statistical sample; for 1951–1956, based on 1/10 of 1 percent statistical sample. For 1978–1984, from wage data collected by the Internal Revenue Service during processing of annual tax returns. For years after 1984, from W-2 data processed by SSA. For years after 1977, the average wage amounts have been adjusted to be consistent with the pre-1978 series.",0
,,,,,,,,,,,,,,,,,,"b. The indexing factor for a given year represents the ratio of the average annual wage for the second year before the year of first eligibility to the average annual wage for the year to be indexed. Multiplying a worker's covered earnings, up to the maximum taxable amounts for various years after 1951, by the indicated factors gives the indexed earnings. Earnings in the year before the year of first eligibility, and any earnings thereafter, are not indexed. The actual taxable earnings for those years are considered in calculating the average indexed monthly earnings (AIME).",0
,,,,,,,,,,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.,0
