Year,Number a (thousands,,,Earnings,,,,,Social Security numbers issued e (thousands,0
,Total,With maximum earnings ,New entrants into covered employment ,Total in covered employment d (millions of dollars,Reported taxable ,,Average per worker (dollars),,,0
,,,,,Amount (millions of dollars),Percentage of total,Total earnings ,Reported taxable,,0
1937,"32,900","1,031","32,900","32,200","29,620",92.0,979,900,"37,139",0
1940,"35,390","1,196","4,430","35,700","32,970",92.4,"1,009",932,"5,227",0
1945,"46,390","6,361","3,480","71,600","62,950",87.9,"1,543","1,357","3,321",0
1950,"48,280","13,936","2,520","109,800","87,500",79.7,"2,274","1,812","2,891",0
1951,"58,120","14,270","6,000","148,900","120,770",81.1,"2,562","2,078","4,927",0
1952,"59,580","16,606","3,500","159,900","128,640",80.5,"2,684","2,159","4,363",0
1953,"60,840","19,013","3,090","173,000","135,870",78.5,"2,844","2,233","3,464",0
1954,"59,610","18,866","2,360","171,900","133,520",77.7,"2,884","2,240","2,743",0
1955,"65,200","16,704","4,760","196,100","157,540",80.3,"3,008","2,416","4,323",0
1956,"67,610","19,236","3,660","216,800","170,720",78.8,"3,207","2,525","4,376",0
1957,"70,590","21,095","3,380","233,900","181,380",77.5,"3,314","2,569","3,639",0
1958,"69,770","21,328","2,450","236,500","180,720",76.4,"3,390","2,590","2,290",0
1959,"71,700","19,112","3,180","255,000","202,310",79.3,"3,556","2,822","3,388",0
1960,"72,530","20,310","3,130","265,200","207,000",78.1,"3,656","2,854","3,415",0
1961,"72,820","21,265","2,990","270,700","209,640",77.4,"3,717","2,879","3,370",0
1962,"74,280","23,154","3,360","289,000","219,050",75.8,"3,891","2,949","4,519",0
1963,"75,540","24,570","3,520","302,300","225,550",74.6,"4,002","2,986","8,617",0
1964,"77,430","26,717","3,890","324,500","236,390",72.8,"4,191","3,053","5,623",0
1965,"80,680","29,136","4,620","351,700","250,730",71.3,"4,359","3,108","6,131",0
1966,"84,600","20,498","5,080","390,700","312,540",80.0,"4,618","3,694","6,506",0
1967,"87,040","22,948","4,530","422,300","329,960",78.1,"4,852","3,791","5,920",0
1968,"89,380","19,120","4,830","460,000","375,840",81.7,"5,147","4,205","5,862",0
1969,"92,060","22,577","5,160","502,800","402,550",80.1,"5,462","4,373","6,289",0
1970,"93,090","24,224","4,440","531,600","415,600",78.2,"5,711","4,464","6,132",0
1971,"93,340","26,404","4,470","559,700","426,960",76.3,"5,996","4,574","6,401",0
1972,"96,240","24,074","5,150","617,900","484,110",78.3,"6,420","5,030","9,564",0
1973,"99,830","20,250","5,670","686,700","561,850",81.8,"6,879","5,628","10,038",0
1974,"101,330","15,310","4,940","746,700","636,760",85.3,"7,369","6,284","7,998",0
1975,"100,200","15,070","4,120","787,600","664,660",84.4,"7,860","6,633","8,164",0
1976,"102,600","15,330","4,700","874,700","737,700",84.3,"8,525","7,190","9,043",0
1977,"105,800","15,700","5,070","960,100","816,550",85.0,"9,075","7,718","7,724",0
1978,"110,600","17,050","5,460","1,092,600","915,600",83.8,"9,879","8,278","5,260",0
1979,"112,700","11,236","4,883","1,222,200","1,067,000",87.3,"10,845","9,468","5,213",0
1980,"113,000","9,903","4,243","1,328,800","1,180,700",88.9,"11,759","10,449","5,984",0
1981,"113,000","8,594","4,090","1,450,900","1,294,100",89.2,"12,840","11,452","5,581",0
1982,"111,800","7,929","3,408","1,516,600","1,365,300",90.0,"13,565","12,212","5,362",0
1983,"112,100","7,044","3,914","1,615,200","1,454,100",90.0,"14,409","12,971","6,699",0
1984,"116,300","7,421","4,743","1,800,800","1,608,800",89.3,"15,484","13,833","5,980",0
1985,"119,800","7,766","4,756","1,936,800","1,722,600",88.9,"16,167","14,379","5,720",0
1986,"122,900","7,624","4,641","2,081,800","1,844,400",88.6,"16,939","15,007","5,711",0
1987,"125,600","7,735","4,956","2,237,000","1,960,000",87.6,"17,811","15,605","11,621",0
1988,"129,600","8,483","5,489","2,432,800","2,088,400",85.8,"18,772","16,114","11,370",0
1989,"131,700","8,110","4,856","2,578,700","2,239,500",86.8,"19,580","17,005","8,049",0
1990,"133,600","7,575","4,012","2,703,800","2,358,000",87.2,"20,238","17,650","9,054",0
