Year enacted,Effective year,Beneficiaries exempt,Earnings subject to test,Amount permitted without reduction in benefits (exempt amount),,Reduction in monthly benefit 
,,,,Annual earnings (dollars),Monthly wages a (dollars,
 ,For all beneficiaries,,,,,
1935,. . .,. . .,Covered,. . .,. . .,Full monthly benefit
1939,1940,. . .,. . .,. . .,14.99,. . .
1950,1951,Aged 75 or older,. . .,c 60,50.00,. . .
1952,1953,. . .,. . .,c 90,75.00,. . .
1954,1955,Aged 72 or older,All ,"1,200",80.00,One month's full benefit for each $80.00 or fraction thereof
1956,1958,Disabled,. . .,. . .,. . .,. . .
1958,1959,. . .,. . .,. . .,100.00,. . .
1960,1961,. . .,. . .,. . .,. . .,"$1 for each $2 of earnings from $1,201–$1,500 $1 for each $1 of earnings above $1,500"
1961,1962,. . .,. . .,. . .,. . .,"$1 for each $2 of earnings from $1,201–$1,700 $1 for each $1 of earnings above $1,700"
1965,1966,. . .,. . .,"1,500",125.00,"$1 for each $2 of earnings from $1,501–$2,700 $1 for each $1 of earnings above $2,700"
1967,1968,. . .,. . .,"1,680",140.00,"$1 for each $2 of earnings from $1,681–$2,880 $1 for each $1 of earnings above $2,880"
1972,1973,. . .,Up to age 72,"2,100",175.00,"$1 for each $2 of earnings above $2,100"
1973,1974,. . .,. . .,"2,400",200.00,"$1 for each $2 of earnings above $2,400"
,1975,,,"e 2,52",e 210.0,"$1 for each $2 of earnings above $2,520"
,1976,,,"e 2,76",e 230.0,"$1 for each $2 of earnings above $2,760"
,1977,,,"e 3,00",e 250.0,"$1 for each $2 of earnings above $3,000"
 ,For beneficiaries who have not reached full retirement age ,,,,,
1977,1978,. . .,. . .,"e 3,24",e 270.0,"$1 for each $2 of earnings above $3,240"
,1979,,,"e 3,48",e 290.0,"$1 for each $2 of earnings above $3,480"
,1980,,,"e 3,72",e 310.0,"$1 for each $2 of earnings above $3,720"
,1981,,,"e 4,08",e 340.0,"$1 for each $2 of earnings above $4,080"
,1982,,,"e 4,44",e 370.0,"$1 for each $2 of earnings above $4,440"
,1983,,,"e 4,92",e 410.0,"$1 for each $2 of earnings above $4,920"
,1984,,,"e 5,16",e 430.0,"$1 for each $2 of earnings above $5,160"
,1985,,,"e 5,40",e 450.0,"$1 for each $2 of earnings above $5,400"
,1986,,,"e 5,76",e 480.0,"$1 for each $2 of earnings above $5,760"
,1987,,,"e 6,00",e 500.0,"$1 for each $2 of earnings above $6,000"
,1988,,,"e 6,12",e 510.0,"$1 for each $2 of earnings above $6,120"
,1989,,,"e 6,48",e 540.0,"$1 for each $2 of earnings above $6,480"
,1990,,,"e 6,84",e 570.0,"$1 for each $2 of earnings above $6,840"
,1991,,,"e 7,08",e 590.0,"$1 for each $2 of earnings above $7,080"
,1992,,,"e 7,44",e 620.0,"$1 for each $2 of earnings above $7,440"
,1993,,,"e 7,68",e 640.0,"$1 for each $2 of earnings above $7,680"
,1994,,,"e 8,04",e 670.0,"$1 for each $2 of earnings above $8,040"
,1995,,,"e 8,16",e 680.0,"$1 for each $2 of earnings above $8,160"
,1996,,,"e 8,28",e 690.0,"$1 for each $2 of earnings above $8,280"
,1997,,,"e 8,64",e 720.0,"$1 for each $2 of earnings above $8,640"
,1998,,,"e 9,12",e 760.0,"$1 for each $2 of earnings above $9,120"
,1999,,,"e 9,60",e 800.0,"$1 for each $2 of earnings above $9,600"
 ,For beneficiaries who have reached full retirement age ,,,,,
1977,1978,. . .,. . .,"g 4,00",g 333.3,"$1 for each $2 of earnings above $4,000"
,1979,,,"g 4,50",g 375.0,"$1 for each $2 of earnings above $4,500"
,1980,,,"g 5,00",g 416.6,"$1 for each $2 of earnings above $5,000"
,1981,,,"g 5,50",g 458.3,"$1 for each $2 of earnings above $5,500"
,1982,,,"g 6,00",g 500.0,"$1 for each $2 of earnings above $6,000"
