Sex and primary insurance amount (dollars),Total,,With reduction for early retirement,,Without reduction for early retirement,
,Number,Percent,Number,Percent,Number,Percent
All retired workers,"2,771,933",100.0,"1,708,707",100.0,"1,063,226",100.0
Less than 500.00,"200,981",7.3,"140,588",8.2,"60,393",5.7
500.00–549.90,"30,406",1.1,"21,437",1.3,"8,969",0.8
550.00–599.90,"30,327",1.1,"21,112",1.2,"9,215",0.9
600.00–649.90,"31,934",1.2,"20,731",1.2,"11,203",1.1
650.00–699.90,"33,454",1.2,"20,451",1.2,"13,003",1.2
700.00–749.90,"43,798",1.6,"26,231",1.5,"17,567",1.7
750.00–799.90,"75,471",2.7,"52,244",3.1,"23,227",2.2
800.00–849.90,"74,952",2.7,"51,081",3.0,"23,871",2.2
850.00–899.90,"74,652",2.7,"49,911",2.9,"24,741",2.3
900.00–949.90,"73,679",2.7,"48,895",2.9,"24,784",2.3
950.00–999.90,"72,970",2.6,"48,314",2.8,"24,656",2.3
"1,000.00–1,049.90","72,578",2.6,"47,422",2.8,"25,156",2.4
"1,050.00–1,099.90","72,136",2.6,"47,003",2.8,"25,133",2.4
"1,100.00–1,149.90","71,639",2.6,"46,534",2.7,"25,105",2.4
"1,150.00–1,199.90","71,218",2.6,"46,050",2.7,"25,168",2.4
"1,200.00–1,249.90","70,529",2.5,"45,185",2.6,"25,344",2.4
"1,250.00–1,299.90","69,973",2.5,"44,724",2.6,"25,249",2.4
"1,300.00–1,349.90","69,210",2.5,"43,884",2.6,"25,326",2.4
"1,350.00–1,399.90","68,055",2.5,"43,238",2.5,"24,817",2.3
"1,400.00–1,449.90","67,388",2.4,"42,652",2.5,"24,736",2.3
"1,450.00–1,499.90","66,696",2.4,"42,324",2.5,"24,372",2.3
"1,500.00–1,549.90","64,440",2.3,"40,860",2.4,"23,580",2.2
"1,550.00–1,599.90","63,783",2.3,"40,195",2.4,"23,588",2.2
"1,600.00–1,649.90","62,212",2.2,"39,077",2.3,"23,135",2.2
"1,650.00–1,699.90","60,694",2.2,"37,995",2.2,"22,699",2.1
"1,700.00–1,749.90","59,630",2.2,"36,658",2.1,"22,972",2.2
"1,750.00–1,799.90","57,691",2.1,"35,230",2.1,"22,461",2.1
"1,800.00–1,849.90","55,196",2.0,"33,885",2.0,"21,311",2.0
"1,850.00–1,899.90","53,540",1.9,"32,794",1.9,"20,746",2.0
"1,900.00–1,949.90","51,406",1.9,"31,384",1.8,"20,022",1.9
"1,950.00–1,999.90","49,359",1.8,"29,933",1.8,"19,426",1.8
"2,000.00–2,049.90","54,561",2.0,"31,381",1.8,"23,180",2.2
"2,050.00–2,099.90","74,800",2.7,"46,240",2.7,"28,560",2.7
"2,100.00 or more","622,575",22.5,"323,064",18.9,"299,511",28.2
Average primary insurance amount (dollars),"1,480.45",,"1,417.31",,"1,581.92",
Men,"1,432,653",100.0,"839,256",100.0,"593,397",100.0
Less than 500.00,"74,470",5.2,"49,202",5.9,"25,268",4.3
500.00–549.90,"10,926",0.8,"7,544",0.9,"3,382",0.6
550.00–599.90,"10,667",0.7,"7,309",0.9,"3,358",0.6
600.00–649.90,"10,776",0.8,"6,982",0.8,"3,794",0.6
650.00–699.90,"11,010",0.8,"6,804",0.8,"4,206",0.7
