Year,Total ,Inpatient services in—,,Intermediate care facility services for—,,Nursing facility ,Physicians',Dental,Other practitioner,Outpatient hospital,Clinic,Laboratory and radiological,Home health,Prescribed drugs,Family planning,Capitation payments,Other ,0
,,General hospital,Mental hospital,Intellectually disabled,All other,,,,,,,,,,,,,0
 ,Number of recipients (thousands),,,,,,,,,,,,,,,,,0
1985,"21,814","3,434",60,147,828,547,"14,387","4,672","3,357","10,072","2,121","6,354",535,"13,921","1,636",--,"5,371",0
1986,"22,515","3,544",53,145,828,571,"14,894","5,161","3,451","10,702","2,027","7,123",593,"14,704","1,732",--,"5,573",0
1987,"23,109","3,767",57,149,849,572,"15,373","5,131","3,542","10,979","2,183","7,596",609,"15,083","1,652",--,"5,957",0
1988,"22,907","3,832",60,145,866,579,"15,265","5,072","3,480","10,533","2,256","7,579",569,"15,323","1,525",--,"6,601",0
1989,"23,511","4,170",90,148,888,564,"15,686","4,214","3,555","11,344","2,391","7,759",609,"15,916","1,564",--,"7,278",0
1990,"25,255","4,593",92,147,860,601,"17,078","4,552","3,873","12,370","2,804","8,959",719,"17,294","1,752",--,"8,302",0
1991,"28,280","5,072",65,146,b,"1,500","19,321","5,209","4,282","14,137","3,511","10,505",813,"19,602","2,185",--,"10,319",0
1992,"30,926","5,768",77,151,b,"1,573","21,627","5,700","4,711","15,120","4,115","11,804",925,"22,030","2,550",--,"12,427",0
1993,"33,432","5,894",75,149,b,"1,610","23,746","6,174","5,229","16,436","4,839","12,970","1,067","23,901","2,538",--,"15,035",0
1994,"35,053","5,866",85,159,b,"1,639","24,267","6,352","5,409","16,567","5,258","13,412","1,293","24,471","2,566",--,"17,321",0
1995,"36,282","5,561",84,151,b,"1,667","23,789","6,383","5,528","16,712","5,322","13,064","1,639","23,723","2,501",--,"19,277",0
1996,"36,118","5,362",93,140,b,"1,594","22,861","6,208","5,343","15,905","5,070","12,607","1,727","22,585","2,366",--,"21,104",0
1997,"34,873","4,746",87,136,b,"1,603","21,170","5,935","5,142","13,632","4,713","11,074","1,861","20,954","2,091",--,"20,284",0
1998,"40,649","4,273",135,126,b,"1,646","18,555","4,965","4,342","12,158","5,285","9,381","1,225","19,338","2,011",--,"34,820",0
1999,"40,300","4,479",96,121,b,"1,624","18,052","5,577","3,945","12,323","6,660","10,103",808,"19,428",. . .,--,"37,484",0
2000,"42,886","4,912",99,118,b,"1,705","18,965","5,922","4,758","13,169","7,677","11,438","1,007","20,324",. . .,--,"40,732",0
2001,"46,163","4,879",91,116,b,"1,702","20,021","7,018","5,102","13,731","8,463","12,339","1,013","21,910",. . .,--,"44,608",0
2002,"49,329","5,046",100,117,b,"1,760","22,065","7,881","5,566","14,831","9,491","14,062","1,064","24,380",. . .,--,"49,556",0
