Federally administered payments, 
Benefits paid in 2014,$54.7 billion
"Number of recipients, December 2014",8.3 million
"Average benefit, December 2014",$532.08
Federal SSI payments, 
Benefits paid in 2014,$51.6 billion
"Number of recipients, December 2014",8.2 million
"Average benefit, December 2014",$516.62
Federally administered state supplementation, 
Benefits paid in 2014,$3.1 billion
"Number of recipients, December 2014",a 1.5 millio
"Average benefit, December 2014",$141.55
a. Includes almost 1.4 million persons receiving federal SSI and state supplementation and almost 0.2 million persons receiving state supplementation only.,
