Sex and monthly benefit (dollars),Total,,With reduction for early retirement,,Without reduction for early retirement,
,Number,Percent,Number,Percent,Number,Percent
All retired workers,"2,771,933",100.0,"1,708,707",100.0,"1,063,226",100.0
Less than 500.00,"214,784",7.7,"164,123",9.6,"50,661",4.8
500.00–549.90,"31,515",1.1,"23,953",1.4,"7,562",0.7
550.00–599.90,"50,001",1.8,"42,050",2.5,"7,951",0.7
600.00–649.90,"62,179",2.2,"52,658",3.1,"9,521",0.9
650.00–699.90,"65,033",2.3,"54,060",3.2,"10,973",1.0
700.00–749.90,"71,839",2.6,"57,544",3.4,"14,295",1.3
750.00–799.90,"81,415",2.9,"62,280",3.6,"19,135",1.8
800.00–849.90,"84,598",3.1,"63,873",3.7,"20,725",1.9
850.00–899.90,"85,761",3.1,"63,675",3.7,"22,086",2.1
900.00–949.90,"87,154",3.1,"64,308",3.8,"22,846",2.1
950.00–999.90,"82,492",3.0,"58,914",3.4,"23,578",2.2
"1,000.00–1,049.90","80,857",2.9,"56,288",3.3,"24,569",2.3
"1,050.00–1,099.90","79,750",2.9,"54,794",3.2,"24,956",2.3
"1,100.00–1,149.90","78,504",2.8,"53,686",3.1,"24,818",2.3
"1,150.00–1,199.90","77,263",2.8,"51,798",3.0,"25,465",2.4
"1,200.00–1,249.90","76,771",2.8,"51,262",3.0,"25,509",2.4
"1,250.00–1,299.90","73,565",2.7,"48,010",2.8,"25,555",2.4
"1,300.00–1,349.90","72,332",2.6,"46,307",2.7,"26,025",2.4
"1,350.00–1,399.90","68,919",2.5,"44,545",2.6,"24,374",2.3
"1,400.00–1,449.90","67,064",2.4,"42,649",2.5,"24,415",2.3
"1,450.00–1,499.90","66,135",2.4,"41,345",2.4,"24,790",2.3
"1,500.00–1,549.90","64,196",2.3,"40,150",2.3,"24,046",2.3
"1,550.00–1,599.90","74,190",2.7,"50,239",2.9,"23,951",2.3
"1,600.00–1,649.90","76,222",2.7,"52,807",3.1,"23,415",2.2
"1,650.00–1,699.90","72,287",2.6,"48,832",2.9,"23,455",2.2
"1,700.00–1,749.90","67,204",2.4,"43,439",2.5,"23,765",2.2
"1,750.00–1,799.90","62,939",2.3,"39,200",2.3,"23,739",2.2
"1,800.00–1,849.90","57,353",2.1,"34,864",2.0,"22,489",2.1
"1,850.00–1,899.90","52,228",1.9,"30,625",1.8,"21,603",2.0
"1,900.00–1,949.90","48,996",1.8,"28,232",1.7,"20,764",2.0
"1,950.00–1,999.90","45,903",1.7,"25,529",1.5,"20,374",1.9
"2,000.00–2,049.90","43,038",1.6,"20,898",1.2,"22,140",2.1
"2,050.00–2,099.90","45,369",1.6,"18,377",1.1,"26,992",2.5
"2,100.00 or more","404,077",14.6,"77,393",4.5,"326,684",30.7
Average benefit (dollars),"1,363.30",,"1,179.41",,"1,658.83",
Men,"1,432,653",100.0,"839,256",100.0,"593,397",100.0
Less than 500.00,"90,230",6.3,"66,291",7.9,"23,939",4.0
500.00–549.90,"12,209",0.9,"8,876",1.1,"3,333",0.6
550.00–599.90,"18,580",1.3,"15,295",1.8,"3,285",0.6
600.00–649.90,"22,718",1.6,"19,004",2.3,"3,714",0.6
650.00–699.90,"23,213",1.6,"19,187",2.3,"4,026",0.7
