Year,Total ,Medicaid,,,,,,Separate Children's Health Insurance Program (CHIP)
,,Aged 65 or older,Blind,Permanent and total disability,Dependent children under age 21,Adults in families with dependent children,Other,
 ,Number of recipients (thousands),,,,,,,
1985,"21,814","3,061",80,"2,937","9,757","5,518","1,214",--
1986,"22,515","3,140",82,"3,100","10,029","5,647","1,362",--
1987,"23,109","3,224",85,"3,296","10,168","5,599","1,418",--
1988,"22,907","3,159",86,"3,401","10,037","5,503","1,343",--
1989,"23,511","3,132",95,"3,496","10,318","5,717","1,175",--
1990,"25,255","3,202",83,"3,635","11,220","6,010","1,105",--
1991,"28,280","3,359",85,"3,983","13,415","6,778",658,--
1992,"30,926","3,742",84,"4,378","15,104","6,954",664,--
1993,"33,432","3,863",84,"4,932","16,285","7,505",763,--
1994,"35,053","4,035",87,"5,372","17,194","7,586",779,--
1995,"36,282","4,119",92,"5,767","17,164","7,604","1,537",--
1996,"36,118","4,285",95,"6,126","16,739","7,127","1,746",--
1997,"34,872","3,955",. . .,"6,129","15,791","6,803","2,195",--
1998,"40,649","3,964",. . .,"6,638","18,964","7,908","3,176",--
1999,"40,300","4,241",. . .,"7,303","20,119","8,552",846,--
2000,"42,886","4,289",. . .,"7,479","21,086","10,543",862,--
2001,"46,163","4,420",. . .,"7,703","22,533","11,639",869,--
2002,"49,329","3,890",. . .,"7,411","22,421","11,253","4,354",--
2003,"51,971","4,041",. . .,"7,669","23,992","11,679","4,591",--
2004,"55,002","4,318",. . .,"7,933","25,613","12,225","4,913",--
2005 ,"57,643","4,396",. . .,"8,210","26,337","12,529","6,171",--
2006 ,"57,732","4,375",. . .,"8,332","26,771","12,598","5,656",--
2007 ,"56,825","4,043",. . .,"8,424","26,584","12,371","5,402",--
2008 ,"58,705","4,144",. . .,"8,689","28,043","12,891","4,939",--
2009 ,"62,458","4,188",. . .,"8,998","28,634","13,907","6,731",--
2010 ,"65,562","4,286",. . .,"9,287","30,236","15,094","6,659",--
2011 ,"69,179","4,337",. . .,"9,759","31,480","16,109","6,694",--
2012 ,"69,334","4,320",. . .,"9,856","31,466","16,522","5,996",--
2013 ,"73,656","4,113",. . .,"9,549","29,755","14,010","7,272","8,957"
 ,Total vendor payments (millions of dollars),,,,,,,
1985,"37,508","14,096",249,"13,203","4,414","4,746",798,--
1986,"41,005","15,097",277,"14,635","5,135","4,880",980,--
1987,"45,050","16,037",309,"16,507","5,508","5,592","1,078",--
1988,"48,710","17,135",344,"18,250","5,848","5,883","1,198",--
1989,"54,500","18,558",409,"20,476","6,892","6,897","1,268",--
1990,"64,859","21,508",434,"23,969","9,100","8,590","1,257",--
1991,"77,048","25,453",475,"27,798","11,690","10,439","1,193",--
1992,"90,814","29,078",530,"33,326","14,491","12,185","1,204",--
1993,"101,709","31,554",589,"38,065","16,504","13,605","1,391",--
1994,"108,270","33,618",644,"41,654","17,302","13,585","1,467",--
1995,"120,141","36,527",848,"48,570","17,976","13,511","2,708",--
1996,"121,685","36,947",869,"51,196","17,544","12,275","2,853",--
1997,"124,430","37,721",. . .,"54,130","17,544","12,307","2,727",--
1998,"142,318","40,602",. . .,"60,375","22,806","14,833","3,702",--
1999,"147,372","40,470",. . .,"63,028","20,765","15,141","7,966",--
2000,"168,442","44,560",. . .,"72,772","23,490","17,671","9,948",--
2001,"186,913","48,431",. . .,"80,493","26,770","20,096","11,121",--
2002,"213,497","52,012",. . .,"92,414","31,595","23,525","13,950",--
2003,"233,206","55,271",. . .,"102,014","35,079","26,689","14,153",--
2004,"257,748","59,541",. . .,"111,614","39,194","30,522","16,877",--
2005 ,"275,569","63,358",. . .,"119,647","42,012","32,385","18,167",--
2006 ,"268,505","58,109",. . .,"116,209","44,645","32,871","16,670",--
2007 ,"276,539","57,362",. . .,"119,621","47,763","33,764","18,029",--
2008 ,"296,560","61,116",. . .,"128,945","57,073","37,133","12,294",--
2009 ,"320,752","63,531",. . .,"139,051","57,382","43,266","17,523",--
2010 ,"338,803","65,173",. . .,"146,900","61,291","47,613","17,827",--
2011 ,"366,628","66,981",. . .,"155,630","65,582","52,712","24,289",--
2012 ,"366,993","66,309",. . .,"156,129","65,732","54,649","22,099",--
2013 ,"373,185","62,127",. . .,"153,068","68,575","49,005","12,912","27,498"
 ,Average payment (dollars),,,,,,,
1985,"1,719","4,605","3,104","4,496",452,860,658,--
1986,"1,821","4,808","3,401","4,721",512,864,719,--
1987,"1,949","4,975","3,644","5,008",542,999,761,--
1988,"2,126","5,425","4,005","5,366",583,"1,069",891,--
1989,"2,318","5,926","4,317","5,858",668,"1,206","1,079",--
1990,"2,568","6,717","5,212","6,595",811,"1,429","1,138",--
1991,"2,725","7,577","5,572","6,979",871,"1,540","1,813",--
1992,"2,936","7,770","6,298","7,612",959,"1,752","1,813",--
1993,"3,042","8,168","7,036","7,717","1,013","1,813","1,824",--
1994,"3,089","8,331","7,412","7,755","1,006","1,791","1,884",--
1995,"3,311","8,868","9,256","8,422","1,047","1,777","1,762",--
1996,"3,369","8,622","9,143","8,357","1,048","1,722","1,635",--
1997,"3,568","9,538",. . .,"8,832","1,111","1,809","3,597",--
1998,"3,501","10,242",. . .,"9,095","1,203","1,876","1,166",--
1999,"3,657","9,541",. . .,"8,630","1,032","1,770","9,407",--
2000,"3,928","10,388",. . .,"9,729","1,114","1,676","11,536",--
2001,"4,049","10,957",. . .,"10,449","1,188","1,727","12,792",--
2002,"4,328","13,370",. . .,"12,470","1,409","2,091","3,204",--
2003,"4,487","13,677",. . .,"13,303","1,462","2,285","3,083",--
2004,"4,686","13,790",. . .,"14,070","1,530","2,497","3,435",--
2005 ,"4,781","14,413",. . .,"14,574","1,595","2,585","2,944",--
2006 ,"4,651","13,283",. . .,"13,947","1,668","2,609","2,947",--
2007 ,"4,867","14,187",. . .,"14,200","1,797","2,729","3,337",--
2008 ,"5,052","14,748",. . .,"14,840","2,035","2,881","2,489",--
2009 ,"5,136","15,169",. . .,"15,454","2,004","3,111","2,603",--
2010 ,"5,168","15,206",. . .,"15,817","2,027","3,154","2,677",--
2011 ,"5,300","15,444",. . .,"15,947","2,083","3,272","3,629",--
2012 ,"5,293","15,350",. . .,"15,841","2,089","3,308","3,686",--
2013 ,"5,067","15,104",. . .,"16,030","3,498","2,305","1,776","3,070"
"SOURCES: Data through fiscal year 1998 are from HCFA Form 2082; data for fiscal years 1999–2012 are from Medicaid Statistical Information System (MSIS) State Summary Data, Centers for Medicare & Medicaid Services (CMS); data for fiscal year 2013 are from claims files in the MSIS Granular file, CMS.",,,,,,,,
