Year,"Total, all ages",Under 20,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–61,62–64,65–69,70–71,72 or older,0
 ,All self-employed workers,,,,,,,,,,,,,,,0
1951,"4,190",6,71,246,414,543,592,565,503,462,164,215,237,55,117,0
1955,"6,810",18,114,362,600,757,865,874,790,737,290,441,497,143,322,0
1960,"6,870",19,133,305,560,743,848,929,918,846,316,452,414,101,286,0
1965,"6,550",31,143,292,452,664,814,870,913,885,328,411,388,92,267,0
1970,"6,270",33,159,348,476,581,729,808,837,839,327,407,388,94,244,0
1975,"7,000",67,302,581,679,700,731,813,869,823,317,382,393,95,248,0
1980,"8,200",78,380,824,"1,052",983,869,812,851,852,307,381,419,112,280,0
1985,"10,600",112,527,"1,099","1,488","1,522","1,261","1,030",930,929,368,434,455,124,321,0
1990,"12,500",152,529,"1,123","1,663","1,854","1,736","1,377","1,113",980,381,487,567,150,389,0
1991,"12,800",136,521,"1,105","1,697","1,897","1,818","1,474","1,170",998,388,486,561,158,391,0
1992,"13,100",137,509,"1,093","1,678","1,951","1,864","1,589","1,243","1,018",382,484,576,166,410,0
1993,"13,200",131,488,"1,029","1,650","1,956","1,892","1,647","1,325","1,047",375,481,589,164,426,0
1994,"13,300",140,473,989,"1,624","1,936","1,945","1,726","1,357","1,070",375,482,580,164,437,0
1995,"13,500",143,482,"1,005","1,612","1,960","1,964","1,808","1,393","1,097",385,467,574,166,445,0
1996,"13,900",147,490,"1,036","1,614","2,013","2,035","1,873","1,471","1,144",404,475,575,164,458,0
1997,"14,020",151,498,"1,030","1,548","1,978","2,053","1,874","1,555","1,203",402,485,592,169,483,0
1998,"14,230",162,510,"1,045","1,524","1,963","2,092","1,885","1,616","1,265",415,493,590,178,492,0
1999,"14,500",171,535,"1,040","1,521","1,965","2,088","1,969","1,684","1,322",420,514,595,174,502,0
2000,"14,675",173,554,"1,016","1,495","1,948","2,093","2,014","1,785","1,345",443,522,591,180,515,0
2001,"14,930",173,598,"1,036","1,526","1,907","2,113","2,042","1,825","1,421",457,526,610,178,519,0
2002,"15,858",175,700,"1,112","1,626","1,898","2,191","2,158","1,911","1,578",537,585,651,172,564,0
2003,"15,969",176,703,"1,123","1,638","1,915","2,209","2,177","1,924","1,588",541,587,652,173,565,0
2004,"16,496",189,747,"1,194","1,643","1,948","2,236","2,228","1,992","1,684",533,649,691,183,580,0
2005,"17,098",211,815,"1,281","1,662","2,013","2,256","2,283","2,066","1,764",528,691,739,194,595,0
2006,"17,724",215,871,"1,379","1,665","2,085","2,255","2,353","2,147","1,848",580,721,780,212,612,0
2007,"18,214",226,929,"1,452","1,719","2,115","2,232","2,388","2,210","1,856",680,727,825,218,638,0
