Year,Disabled workers,,,Spouses,,Children,,,
,All,Men,Women,Wives,Husbands,All,Under age 18,Disabled adult children,Students
1957,72.80,73.50,69.80,. . .,. . .,. . .,. . .,. . .,. . .
1958,82.10,85.00,70.60,34.00,33.90,27.30,27.30,38.50,. . .
1959,89.00,92.40,76.10,36.10,34.70,31.00,30.80,39.40,. . .
1960,89.30,92.70,77.00,34.40,34.70,30.20,30.00,39.00,. . .
1965,97.80,102.10,85.30,35.00,32.60,31.60,30.90,41.60,49.30
1970,131.30,138.60,112.80,42.60,42.40,38.60,36.90,53.30,54.10
1975,225.90,244.30,185.30,67.40,61.70,62.00,58.60,84.10,86.90
1980,370.70,406.80,296.10,110.60,91.80,110.30,104.60,136.00,152.40
1985,483.80,534.10,381.00,132.70,102.70,141.80,138.90,183.80,196.90
1990,587.20,652.40,464.40,151.30,96.90,163.80,158.80,231.40,250.00
1991,609.40,677.50,484.20,154.60,101.70,167.90,162.70,240.90,253.20
1992,626.10,696.90,500.10,156.40,106.00,170.20,165.10,246.80,262.00
1993,641.70,714.80,515.70,157.50,108.60,173.10,167.70,253.30,265.90
1994,661.40,731.60,534.80,161.00,112.60,177.70,172.20,261.50,273.80
1995,681.80,761.60,554.90,165.00,116.60,183.50,177.90,270.10,284.10
1996,703.90,787.70,576.70,172.60,124.50,193.50,187.70,281.70,295.00
1997,721.60,809.30,594.50,178.00,129.10,201.20,195.20,292.20,306.30
1998,733.10,822.80,607.90,183.00,136.50,207.50,201.40,300.20,313.10
1999,754.10,846.50,629.60,190.20,145.40,216.10,209.50,310.70,319.80
2000,786.40,882.70,660.60,199.50,155.90,227.60,220.80,325.60,336.00
2001,814.50,913.70,688.30,208.20,164.50,237.90,230.70,339.90,343.50
2002,834.30,935.60,708.60,213.70,168.50,245.00,237.40,349.10,350.10
2003,861.60,965.90,734.50,222.70,176.90,253.90,245.90,360.90,359.10
2004,894.10,"1,002.20",765.00,232.90,186.10,264.90,256.90,376.10,367.80
2005,938.00,"1,051.20",805.30,247.70,197.70,278.90,270.20,394.60,387.10
2006,977.70,"1,097.40",839.80,259.40,208.40,290.40,281.30,410.10,400.50
2007,"1,004.00","1,125.90",865.60,268.80,215.00,299.00,289.10,419.90,410.60
2008,"1,063.10","1,190.70",920.20,287.60,229.40,317.60,306.60,441.50,436.00
2009,"1,064.30","1,189.40",925.20,288.60,234.60,317.90,306.80,441.80,428.70
2010,"1,067.80","1,191.10",931.30,288.40,241.70,318.40,306.80,443.00,432.20
2011,"1,110.50","1,236.72",971.54,300.46,257.27,330.18,317.89,459.34,448.32
2012,"1,130.34","1,256.20",992.98,305.74,266.55,336.12,323.19,465.60,457.16
2013,"1,146.42","1,271.42","1,011.44",309.34,282.69,341.38,328.05,471.85,465.34
2014,"1,165.39","1,290.20","1,031.91",315.53,298.73,349.01,335.04,480.12,476.71
,,,,,,,,,"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data."
,,,,,,,,,NOTE: . . . = not applicable.
,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.
