Year,"Total, all ages",Under 20,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–61,62–64,65–69,70–71,72 or older,0
 ,All workers,,,,,,,,,,,,,,,0
1937,"32,900","3,277","6,302","5,480","4,413","3,688","3,055","2,580","1,918","1,308",384,398,a 9,. . .,. . .,0
1940,"35,390","2,963","6,481","5,794","4,904","3,930","3,342","2,706","2,147","1,488",437,494,451,106,152,0
1945,"46,390","6,313","5,908","5,571","5,495","5,288","4,623","4,061","3,275","2,577",831,926,975,214,333,0
1950,"48,280","4,469","7,057","6,732","5,991","5,609","5,016","4,076","3,375","2,597",811,"1,052",979,210,306,0
1955,"65,200","5,410","7,065","7,499","7,801","7,458","7,222","6,507","5,299","4,261","1,423","1,893","2,091",537,734,0
1960,"72,530","6,328","8,749","7,461","7,812","8,301","7,938","7,432","6,448","4,996","1,643","2,102","1,989",419,912,0
1965,"80,680","8,556","11,066","8,261","7,488","8,120","8,550","7,936","7,163","5,931","1,943","2,272","2,027",424,943,0
1970,"93,090","10,790","14,945","10,587","8,492","8,028","8,539","8,647","7,700","6,594","2,236","2,692","2,362",475,"1,003",0
1975,"100,200","11,939","16,419","13,852","10,304","8,644","7,997","8,157","7,896","6,626","2,289","2,543","2,139",444,951,0
1980,"113,000","12,372","18,403","16,464","14,184","10,982","9,003","7,961","7,768","7,076","2,326","2,632","2,292",491,"1,046",0
1985,"119,800","10,685","17,727","18,012","16,193","14,276","10,961","8,713","7,435","6,870","2,410","2,726","2,206",489,"1,097",0
1990,"133,600","10,907","16,760","18,701","18,696","17,008","14,984","11,119","8,533","6,928","2,454","2,854","2,687",605,"1,362",0
1995,"141,000","10,832","15,465","17,078","18,692","18,760","16,918","14,622","10,510","7,667","2,440","2,777","2,836",699,"1,704",0
1996,"143,400","11,156","15,251","17,184","18,389","19,026","17,481","15,108","11,205","7,942","2,520","2,804","2,863",698,"1,772",0
1997,"146,145","11,402","15,486","17,156","18,033","19,279","17,964","15,369","12,023","8,453","2,569","2,902","2,913",731,"1,865",0
1998,"148,786","11,904","15,712","17,010","17,694","19,366","18,393","15,763","12,662","8,947","2,687","2,991","2,970",753,"1,932",0
1999,"151,333","12,241","16,106","16,754","17,517","19,407","18,769","16,318","13,297","9,332","2,759","3,087","3,013",771,"1,962",0
2000,"154,732","12,413","16,703","16,438","17,715","19,245","19,199","16,990","14,156","9,681","2,876","3,243","3,159",829,"2,083",0
2001,"155,416","11,753","16,981","16,081","17,688","18,783","19,336","17,449","14,571","10,288","2,989","3,331","3,230",828,"2,107",0
2002,"154,893","11,045","17,015","15,952","17,346","18,108","19,213","17,698","14,625","10,936","3,266","3,425","3,301",813,"2,150",0
2003,"154,576","10,483","17,018","15,904","16,940","17,527","19,069","17,879","14,831","11,387","3,506","3,554","3,425",825,"2,226",0
2004,"156,405","10,558","17,201","16,216","16,613","17,283","18,974","18,153","15,333","11,987","3,490","3,883","3,584",851,"2,280",0
2005,"158,511","10,850","17,359","16,654","16,179","17,312","18,694","18,414","15,845","12,591","3,416","4,181","3,754",904,"2,357",0
2006,"161,052","11,130","17,545","17,138","15,923","17,395","18,339","18,623","16,376","13,038","3,798","4,373","3,962",958,"2,453",0
2007,"162,928","11,107","17,636","17,481","16,019","17,288","17,934","18,707","16,788","13,278","4,462","4,416","4,276",967,"2,568",0
2008,"162,532","10,302","17,535","17,586","16,063","16,964","17,436","18,612","17,045","13,534","4,639","4,650","4,501","1,022","2,642",0
2009,"157,940","8,654","16,820","17,087","15,854","16,209","16,777","18,111","16,884","13,748","4,446","5,116","4,549","1,037","2,646",0
2010,"157,329","8,109","17,000","17,032","16,078","15,631","16,610","17,672","16,922","14,039","4,422","5,461","4,628","1,035","2,689",0
2011 ,"158,956","7,950","17,421","17,186","16,478","15,378","16,713","17,293","17,103","14,441","4,574","5,593","4,963","1,083","2,781",0
2012 ,"161,261","8,093","17,795","17,475","16,893","15,468","16,656","16,936","17,231","14,827","4,838","5,567","5,402","1,188","2,894",0
2013 ,"163,355","8,365","18,177","17,916","17,231","15,649","16,454","16,577","17,232","15,127","4,974","5,743","5,648","1,295","2,966",0
 ,Men,,,,,,,,,,,,,,,0
1937,"23,810","2,020","4,021","3,797","3,237","3,775","2,387","2,091","1,606","1,110",330,351,a 8,. . .,. . .,0
1940,"25,570","1,821","4,072","4,028","3,545","2,922","2,550","2,151","1,770","1,265",373,434,403,96,140,0
1945,"28,820","3,343","2,296","3,054","3,502","3,486","3,150","2,840","2,409","1,984",664,765,838,189,300,0
1950,"32,620","2,530","4,215","4,497","4,135","3,889","3,419","2,827","2,417","1,951",635,843,815,181,266,0
1955,"43,140","3,026","3,980","5,019","5,345","5,035","4,846","4,327","3,595","2,995","1,012","1,387","1,566",414,593,0
1960,"47,900","3,748","5,455","5,148","5,464","5,591","5,188","4,818","4,183","3,336","1,125","1,480","1,392",293,697,0
1965,"51,990","5,206","6,731","5,574","5,153","5,416","5,464","5,002","4,536","3,803","1,274","1,519","1,359",280,673,0
1970,"57,330","6,308","8,639","6,760","5,564","5,126","5,287","5,242","4,671","4,084","1,392","1,730","1,522",321,684,0
1975,"59,520","6,635","9,122","8,245","6,440","5,311","4,831","4,891","4,729","4,023","1,418","1,595","1,352",285,643,0
1980,"64,288","6,620","9,971","9,278","8,206","6,372","5,178","4,590","4,516","4,152","1,391","1,597","1,411",309,697,0
1985,"66,114","5,547","9,432","9,870","9,066","7,920","6,050","4,838","4,186","3,932","1,408","1,593","1,297",289,686,0
1990,"72,292","5,690","8,835","10,131","10,251","9,216","7,977","5,976","4,651","3,857","1,381","1,619","1,526",358,823,0
1995,"75,443","5,590","8,069","9,097","10,146","10,106","8,966","7,663","5,620","4,193","1,374","1,547","1,614",405,"1,053",0
1996,"76,241","5,672","7,876","9,074","9,935","10,198","9,240","7,873","5,963","4,307","1,416","1,569","1,629",403,"1,086",0
1997,"77,498","5,823","7,943","9,017","9,697","10,280","9,498","7,997","6,376","4,578","1,423","1,641","1,650",433,"1,141",0
