Sex and age,Total,Adults,Blind and disabled children a,Aged,Blind,Disabled
,All persons,,,,,
Number,805643,108440,4522,529576,163105,
Percent,100.0,100.0,100.0,100.0,100.0,
,Percentage distribution by sex,,,,,
Male,54.0,40.0,55.9,53.5,64.8,
Female,46.0,60.0,44.1,46.5,35.2,
,Percentage distribution by age,,,,,
Under 5,9.0,. . .,. . .,. . .,44.5,
5–9,5.7,. . .,. . .,. . .,28.0,
10–14,3.4,. . .,. . .,. . .,16.9,
15–17,1.4,. . .,. . .,. . .,7.1,
18–21,5.4,. . .,13.6,7.0,3.5,
22–29,5.3,. . .,9.7,8.0,. . .,
30–39,7.7,. . .,14.1,11.6,. . .,
40–49,12.5,. . .,21.1,18.8,. . .,
50–59,28.5,. . .,31.3,43.1,. . .,
60–64,7.3,. . .,9.5,11.1,. . .,
65–69,8.2,59.8,0.3,0.3,. . .,
70–74,2.5,18.3,0.2,(L),. . .,
75–79,1.5,11.1,(L),(L),. . .,
80 or older,1.4,10.7,0.2,(L),. . .,
,Male,,,,,
Number,434866,43341,2528,283345,105652,
Percent,100.0,100.0,100.0,100.0,100.0,
Under 5,10.3,. . .,. . .,. . .,42.5,
5–9,7.6,. . .,. . .,. . .,31.2,
10–14,4.1,. . .,. . .,. . .,16.9,
15–17,1.5,. . .,. . .,. . .,6.2,
18–21,6.0,. . .,13.0,8.0,3.2,
22–29,5.7,. . .,9.5,8.7,. . .,
30–39,7.4,. . .,14.7,11.2,. . .,
40–49,11.6,. . .,22.2,17.6,. . .,
50–59,28.3,. . .,30.8,43.2,. . .,
60–64,7.3,. . .,9.3,11.2,. . .,
65–69,6.2,60.7,0.3,0.2,. . .,
70–74,1.9,19.1,0.1,(L),. . .,
75–79,1.1,11.1,(L),(L),. . .,
80 or older,0.9,9.1,0.1,(L),. . .,
,Female,,,,,
Number,370777,65099,1994,246231,57453,
Percent,100.0,100.0,100.0,100.0,100.0,
Under 5,7.5,. . .,. . .,. . .,48.1,
5–9,3.4,. . .,. . .,. . .,22.0,
10–14,2.6,. . .,. . .,. . .,17.0,
15–17,1.3,. . .,. . .,. . .,8.7,
18–21,4.6,. . .,14.3,5.8,4.2,
22–29,4.9,. . .,10.0,7.3,. . .,
30–39,8.1,. . .,13.4,12.1,. . .,
40–49,13.6,. . .,19.7,20.3,. . .,
50–59,28.8,. . .,32.0,43.1,. . .,
60–64,7.4,. . .,9.7,11.0,. . .,
65–69,10.6,59.3,0.3,0.3,. . .,
70–74,3.1,17.8,0.2,(L),. . .,
75–79,2.0,11.1,. . .,(L),. . .,
80 or older,2.1,11.8,0.4,(L),. . .,
"SOURCE: Social Security Administration, Supplemental Security Record, 100 percent data.",NOTES: Totals do not necessarily equal the sum of rounded components.,. . . = not applicable; (L) = less than 0.05 percent.,a. Includes students aged 18–21.,CONTACT: (410) 965-0090 or statistics@ssa.gov.,,
