Year,"Total, all ages",Under 20,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75 or older
2012,"77,880",957,"6,976","8,512","8,625","8,127","8,953","9,245","9,576","8,683","6,941","1,287",. . .,. . .
2013,"78,031",956,"6,890","8,660","8,870","8,260","8,795","9,009","9,567","8,722","7,038","1,265",. . .,. . .
2014,"78,187","1,008","6,721","8,750","8,905","8,381","8,595","8,895","9,547","8,844","7,276","1,265",. . .,. . .
2015,"78,310","1,101","6,544","8,876","8,913","8,580","8,307","8,872","9,390","8,987","7,456","1,286",. . .,. . .
 ,Female,,,,,,,,,,,,,
1970,"25,192","1,350","5,026","3,460","1,988","1,828","2,211","2,579","2,509","2,300","1,942",. . .,. . .,. . .
1971,"26,238","1,384","5,180","3,785","2,137","1,894","2,252","2,598","2,631","2,383","1,994",. . .,. . .,. . .
1972,"27,253","1,421","5,173","4,147","2,383","1,970","2,293","2,636","2,719","2,445","2,066",. . .,. . .,. . .
1973,"28,678","1,620","5,457","4,458","2,600","2,102","2,329","2,671","2,790","2,535","2,115",. . .,. . .,. . .
1974,"30,299","1,882","5,871","4,850","2,796","2,209","2,373","2,693","2,860","2,575","2,192",. . .,. . .,. . .
1975,"31,519","1,994","6,128","5,227","2,982","2,324","2,392","2,715","2,881","2,628","2,247",. . .,. . .,. . .
1976,"32,579","1,983","6,255","5,546","3,301","2,464","2,443","2,730","2,854","2,715","2,288",. . .,. . .,. . .
1977,"33,816","2,032","6,438","5,768","3,674","2,693","2,507","2,746","2,878","2,754","2,326",. . .,. . .,. . .
1978,"36,226","2,488","7,127","6,133","4,055","2,932","2,663","2,765","2,893","2,792","2,379",. . .,. . .,. . .
1979,"38,431","2,771","7,628","6,580","4,511","3,181","2,808","2,811","2,910","2,845","2,388",. . .,. . .,. . .
1980,"40,170","2,767","7,873","7,006","4,993","3,434","3,001","2,844","2,944","2,885","2,424",. . .,. . .,. . .
1981,"41,508","2,558","7,844","7,370","5,408","3,828","3,214","2,928","2,976","2,877","2,505",. . .,. . .,. . .
1982,"42,679","2,294","7,620","7,622","5,713","4,334","3,556","3,045","3,017","2,911","2,569",. . .,. . .,. . .
1983,"43,549","1,964","7,335","7,829","6,037","4,716","3,827","3,238","3,035","2,948","2,619",. . .,. . .,. . .
1984,"44,635","1,785","7,237","7,948","6,393","5,136","4,074","3,373","3,078","2,947","2,665",. . .,. . .,. . .
1985,"46,164","1,863","7,275","8,100","6,742","5,571","4,288","3,548","3,106","2,983","2,689",. . .,. . .,. . .
1986,"47,585","1,938","7,238","8,240","7,033","5,879","4,658","3,741","3,170","3,008","2,681",. . .,. . .,. . .
1987,"48,983","2,018","7,090","8,373","7,317","6,103","5,060","4,041","3,249","3,033","2,701",. . .,. . .,. . .
1988,"50,285","2,178","6,975","8,391","7,547","6,355","5,383","4,293","3,414","3,029","2,721",. . .,. . .,. . .
1989,"51,618","2,239","6,960","8,397","7,724","6,664","5,766","4,541","3,543","3,071","2,713",. . .,. . .,. . .
1990,"52,778","2,129","6,987","8,315","7,888","6,968","6,204","4,730","3,710","3,095","2,752",. . .,. . .,. . .
1991,"53,663","1,911","6,887","8,149","8,043","7,236","6,508","5,094","3,899","3,159","2,777",. . .,. . .,. . .
1992,"54,514","1,763","6,679","7,934","8,194","7,501","6,682","5,523","4,198","3,243","2,799",. . .,. . .,. . .
1993,"55,393","1,667","6,543","7,723","8,237","7,769","6,932","5,852","4,467","3,396","2,808",. . .,. . .,. . .
1994,"56,444","1,697","6,402","7,613","8,265","7,958","7,207","6,245","4,709","3,512","2,837",. . .,. . .,. . .
1995,"57,617","1,822","6,323","7,631","8,158","8,120","7,474","6,658","4,901","3,666","2,865",. . .,. . .,. . .
1996,"58,829","1,965","6,292","7,690","7,988","8,236","7,706","6,927","5,248","3,863","2,915",. . .,. . .,. . .
1997,"60,050","2,043","6,450","7,670","7,795","8,354","7,910","7,057","5,655","4,127","2,989",. . .,. . .,. . .
1998,"61,358","2,168","6,642","7,665","7,656","8,377","8,127","7,267","5,963","4,381","3,113",. . .,. . .,. . .
1999,"62,732","2,271","6,863","7,594","7,622","8,406","8,294","7,526","6,340","4,596","3,219",. . .,. . .,. . .
2000,"64,066","2,320","7,113","7,457","7,693","8,343","8,472","7,779","6,754","4,768","3,366",. . .,. . .,. . .
2001,"65,235","2,280","7,285","7,360","7,794","8,206","8,612","8,031","7,024","5,107","3,537",. . .,. . .,. . .
2002,"66,053","2,082","7,272","7,435","7,776","8,041","8,722","8,245","7,165","5,523","3,793",. . .,. . .,. . .
2003,"66,766","1,868","7,195","7,528","7,736","7,889","8,737","8,469","7,369","5,836","4,036",103,. . .,. . .
2004,"67,556","1,763","7,110","7,648","7,620","7,818","8,704","8,609","7,628","6,204","4,242",211,. . .,. . .
2005,"68,481","1,744","7,122","7,830","7,437","7,849","8,570","8,737","7,872","6,584","4,396",340,. . .,. . .
2006,"69,460","1,777","7,228","8,020","7,279","7,889","8,368","8,808","8,084","6,825","4,705",477,. . .,. . .
2007,"70,341","1,796","7,269","8,162","7,346","7,798","8,125","8,846","8,272","6,952","5,091",684,. . .,. . .
2008,"70,970","1,734","7,261","8,282","7,432","7,711","7,908","8,815","8,463","7,142","5,383",839,. . .,. . .
2009,"71,016","1,512","7,077","8,280","7,545","7,554","7,807","8,752","8,577","7,393","5,711",808,. . .,. . .
2010,"70,878","1,204","6,804","8,255","7,681","7,362","7,797","8,594","8,682","7,613","6,062",823,. . .,. . .
2011,"71,005","1,020","6,682","8,219","7,821","7,201","7,823","8,384","8,733","7,834","6,290",998,. . .,. . .
2012,"71,291",984,"6,719","8,202","7,936","7,241","7,740","8,143","8,758","8,007","6,415","1,148",. . .,. . .
2013,"71,827","1,010","6,637","8,293","8,116","7,406","7,656","7,973","8,814","8,205","6,572","1,144",. . .,. . .
2014,"72,447","1,065","6,476","8,416","8,248","7,605","7,580","7,880","8,828","8,366","6,811","1,174",. . .,. . .
2015,"72,930","1,132","6,316","8,537","8,335","7,854","7,423","7,920","8,678","8,502","7,029","1,204",. . .,. . .
,,,,,,,,,,,,,,"SOURCE: Social Security Administration, Continuous Work History Sample, 1 percent sample."
,,,,,,,,,,,,,,"NOTES: Insured workers are those who have accumulated sufficient quarters of coverage over their working lifetimes to be eligible for benefits.
          Figures are subject to revision.
Totals do not necessarily equal the sum of rounded components.
. . . = not applicable.
"
,,,,,,,,,,,,,,a. Figures exclude people at or above normal (or full) retirement age because they are not eligible to receive disability benefits.
,,,,,,,,,,,,,,CONTACT: Michael Stephens (410) 965-3028 or statistics@ssa.gov.
