Primary insurance amount (dollars),Disabled workers,,Spouses,,Children,
,Number,Percent,Number,Percent,Number,Percent
Total,"8,954,518",100.0,"148,955",100.0,"1,827,619",100.0
Less than 300.00,"127,670",1.4,49,(L),170,(L)
300.00–349.90,"91,328",1.0,27,(L),122,(L)
350.00–399.90,"106,136",1.2,33,(L),223,(L)
400.00–449.90,"126,423",1.4,81,0.1,506,(L)
450.00–499.90,"131,057",1.5,49,(L),401,(L)
500.00–549.90,"138,483",1.5,47,(L),521,(L)
550.00–599.90,"152,143",1.7,87,0.1,790,(L)
600.00–649.90,"201,702",2.3,281,0.2,"3,924",0.2
650.00–699.90,"235,914",2.6,689,0.5,"12,943",0.7
700.00–749.90,"348,181",3.9,"1,119",0.8,"25,869",1.4
750.00–799.90,"461,795",5.2,"3,134",2.1,"107,803",5.9
800.00–849.90,"462,574",5.2,"4,011",2.7,"132,100",7.2
850.00–899.90,"453,504",5.1,"4,675",3.1,"132,351",7.2
900.00–949.90,"432,201",4.8,"5,023",3.4,"124,114",6.8
950.00–999.90,"410,584",4.6,"5,132",3.4,"114,063",6.2
"1,000.00–1,049.90","390,668",4.4,"5,419",3.6,"107,682",5.9
"1,050.00–1,099.90","371,849",4.2,"5,466",3.7,"101,955",5.6
"1,100.00–1,149.90","348,193",3.9,"5,299",3.6,"94,425",5.2
"1,150.00–1,199.90","325,823",3.6,"5,101",3.4,"86,765",4.7
"1,200.00–1,249.90","305,274",3.4,"4,969",3.3,"79,604",4.4
"1,250.00–1,299.90","282,156",3.2,"4,831",3.2,"71,756",3.9
"1,300.00–1,349.90","263,721",2.9,"4,756",3.2,"65,531",3.6
"1,350.00–1,399.90","241,777",2.7,"4,550",3.1,"58,983",3.2
"1,400.00–1,449.90","224,010",2.5,"4,308",2.9,"52,890",2.9
"1,450.00–1,499.90","206,168",2.3,"4,029",2.7,"47,306",2.6
"1,500.00–1,549.90","189,804",2.1,"3,989",2.7,"42,057",2.3
"1,550.00–1,599.90","175,636",2.0,"3,827",2.6,"37,731",2.1
"1,600.00–1,649.90","159,824",1.8,"3,754",2.5,"33,367",1.8
"1,650.00–1,699.90","147,488",1.6,"3,674",2.5,"29,345",1.6
"1,700.00–1,749.90","141,927",1.6,"3,801",2.6,"27,578",1.5
"1,750.00–1,799.90","130,660",1.5,"3,663",2.5,"24,832",1.4
"1,800.00–1,849.90","116,788",1.3,"3,549",2.4,"21,483",1.2
"1,850.00–1,899.90","106,798",1.2,"3,356",2.3,"19,319",1.1
"1,900.00–1,949.90","98,369",1.1,"3,323",2.2,"17,752",1.0
"1,950.00–1,999.90","92,181",1.0,"3,268",2.2,"16,728",0.9
"2,000.00–2,049.90","107,993",1.2,"4,036",2.7,"19,268",1.1
"2,050.00–2,099.90","120,338",1.3,"4,947",3.3,"21,355",1.2
"2,100.00–2,149.90","105,100",1.2,"4,675",3.1,"18,159",1.0
"2,150.00–2,199.90","86,210",1.0,"4,221",2.8,"14,771",0.8
"2,200.00 or more","336,068",3.8,"21,707",14.6,"61,077",3.3
Average primary insurance amount (dollars),"1,169.61",,"1,568.18",,"1,234.50",
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,
NOTES: Totals do not necessarily equal the sum of rounded components.,,,,,,
(L) = Less than 0.05 percent.,,,,,,
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,
