Effective date ,Hospital Insurance (Medicare Part A),,,,,Supplementary Medical Insurance (Medicare Parts B and D),,,,,,,,,0
,,Part B,,,,,Part D ,,,,,,,,0
,"All expenses in ""benefit period"" covered except—",,,,Monthly premium c (dollars,Annual deductible d (dollars,Coinsurance d (percent,Monthly amount per enrollee (dollars),,,Annual deductible g (dollars,Initial coverage limit g (dollars,Out-of- pocket threshold g (dollars,Base beneficiary monthly premium h (dollars,0
,Inpatient hospital deductible (IHD) covers first 60 days (dollars),Inpatient hospital daily coinsurance,,Skilled nursing facility daily coinsurance for days 21 through 100 (1/8 x IHD) (dollars),,,,Premium e (aged and disabled,Government financing for—,,,,,,0
,,Days 61 through 90 (1/4 x IHD) (dollars),Lifetime reserve days after 90 days (1/2 x IHD),,,,,,Aged,Disabled,,,,,0
1966,40,10,. . .,. . .,. . .,50,20,3.00,3.00,. . .,. . .,. . .,. . .,. . .,0
1967,40,10,. . .,5.00,. . .,50,20,3.00,3.00,. . .,. . .,. . .,. . .,. . .,0
1968,40,10,20,5.00,. . .,i 5,i 2,j 4.0,j 4.0,. . .,. . .,. . .,. . .,. . .,0
1969,44,11,22,5.50,. . .,50,20,4.00,4.00,. . .,. . .,. . .,. . .,. . .,0
1970,52,13,26,6.50,. . .,50,20,5.30,5.30,. . .,. . .,. . .,. . .,. . .,0
1971,60,15,30,7.50,. . .,50,20,5.60,5.60,. . .,. . .,. . .,. . .,. . .,0
1972,68,17,34,8.50,. . .,50,k 2,5.80,5.80,. . .,. . .,. . .,. . .,. . .,0
1973,72,18,36,9.00,33,60,20,l 6.3,6.30,22.70,. . .,. . .,. . .,. . .,0
1974,84,21,42,10.50,36,60,20,6.70,6.70,29.30,. . .,. . .,. . .,. . .,0
1975,92,23,46,11.50,40,60,20,6.70,8.30,30.30,. . .,. . .,. . .,. . .,0
1976,104,26,52,13.00,45,60,20,7.20,14.20,30.80,. . .,. . .,. . .,. . .,0
1977,124,31,62,15.50,54,60,20,7.70,16.90,42.30,. . .,. . .,. . .,. . .,0
1978,144,36,72,18.00,63,60,20,8.20,18.60,41.80,. . .,. . .,. . .,. . .,0
1979,160,40,80,20.00,69,60,20,8.70,18.10,41.30,. . .,. . .,. . .,. . .,0
1980,180,45,90,22.50,78,60,20,9.60,23.00,41.40,. . .,. . .,. . .,. . .,0
1981,204,51,102,25.50,89,"m,n",n 2,11.00,34.20,62.20,. . .,. . .,. . .,. . .,0
1982,260,65,130,32.50,113,o 7,o 2,12.20,37.00,72.00,. . .,. . .,. . .,. . .,0
1983,304,76,152,38.00,113,75,20,12.20,41.80,80.00,. . .,. . .,. . .,. . .,0
1984,356,89,178,44.50,155,75,20,14.60,43.80,94.00,. . .,. . .,. . .,. . .,0
1985,400,100,200,50.00,174,75,20,15.50,46.50,89.90,. . .,. . .,. . .,. . .,0
1986,492,123,246,61.50,214,75,20,15.50,46.50,66.10,. . .,. . .,. . .,. . .,0
1987,520,130,260,65.00,226,75,20,17.90,53.70,88.10,. . .,. . .,. . .,. . .,0
1988,540,135,270,67.50,234,75,20,24.80,74.40,72.40,. . .,. . .,. . .,. . .,0
1989,p 56,p,p,q 25.5,156,75,20,r 31.9,83.70,40.70,. . .,. . .,. . .,. . .,0
1990,592,148,296,74.00,175,75,20,28.60,85.80,59.60,. . .,. . .,. . .,. . .,0
1991,628,157,314,78.50,177,100,20,29.90,95.30,82.10,. . .,. . .,. . .,. . .,0
1992,652,163,326,81.50,192,100,20,31.80,89.80,129.80,. . .,. . .,. . .,. . .,0
1993,676,169,338,84.50,221,100,20,36.60,104.40,129.20,. . .,. . .,. . .,. . .,0
1994,696,174,348,87.00,245,100,20,41.10,82.50,111.10,. . .,. . .,. . .,. . .,0
1995,716,179,358,89.50,261,100,20,46.10,100.10,165.50,. . .,. . .,. . .,. . .,0
1996,736,184,368,92.00,289,100,20,42.50,127.30,167.70,. . .,. . .,. . .,. . .,0
1997,760,190,380,95.00,311,100,20,43.80,131.40,177.00,. . .,. . .,. . .,. . .,0
