Age,Total,,Men,,Women,,0
,Number,Average monthly benefit a (dollars,Number,Average monthly benefit a (dollars,Number,Average monthly benefit a (dollars,0
 ,Retired workers,,,,,,0
Total,"1,708,707","1,179.41","839,256","1,334.66","869,451","1,029.55",2
62,"1,026,605","1,057.88","494,339","1,194.62","532,266",930.88,0
63,"176,549","1,198.36","87,575","1,345.84","88,974","1,053.20",0
64,"177,649","1,279.39","85,468","1,457.57","92,181","1,114.18",0
65,"285,274","1,505.71","147,414","1,683.74","137,860","1,315.34",0
66,"41,292","1,419.99","24,312","1,587.24","16,980","1,180.52",0
Disability conversions,"41,116","1,420.68","24,278","1,587.14","16,838","1,180.67",1
New entitlements,176,"1,257.30",34,"1,652.89",142,"1,162.58",1
67 or older,"1,338","1,656.24",148,"2,265.02","1,190","1,580.53",0
 ,Disabled workers,,,,,,0
Total,"45,145","1,380.07","26,545","1,542.58","18,600","1,148.15",2
62,"18,346","1,392.07","10,601","1,563.28","7,745","1,157.72",0
63,"13,185","1,373.17","7,782","1,535.64","5,403","1,139.15",0
64,"9,281","1,358.67","5,557","1,514.56","3,724","1,126.04",0
65,"4,333","1,396.13","2,605","1,538.83","1,728","1,181.01",0
 ,Wives and husbands,,,,,,0
Total,"240,928",413.09,"11,788",318.22,"229,140",417.97,2
 ,By basis of entitlement,,,,,,0
Wives and husbands of retired workers,"211,989",421.59,"9,731",329.58,"202,258",426.02,0
Wives and husbands of disabled workers,"28,939",350.78,"2,057",264.49,"26,882",357.39,0
 ,By sex,,,,,,0
Wives,"229,140",417.97,. . .,. . .,"229,140",417.97,0
62,"108,809",370.51,. . .,. . .,"108,809",370.51,1
63,"32,273",383.79,. . .,. . .,"32,273",383.79,1
64,"43,621",479.62,. . .,. . .,"43,621",479.62,1
65,"41,033",509.31,. . .,. . .,"41,033",509.31,1
66,"1,327",404.87,. . .,. . .,"1,327",404.87,1
67 or older,"2,077",344.74,. . .,. . .,"2,077",344.74,1
Husbands,"11,788",318.22,"11,788",318.22,. . .,. . .,0
 ,Nondisabled widow(er)s,,,,,,0
Total,"206,232","1,151.03","23,283",969.82,"182,949","1,174.09",2
Nondisabled widows,"182,949","1,174.09",. . .,. . .,"182,949","1,174.09",0
60,"62,342","1,174.20",. . .,. . .,"62,342","1,174.20",1
61,"23,200","1,222.88",. . .,. . .,"23,200","1,222.88",1
62,"21,494","1,194.47",. . .,. . .,"21,494","1,194.47",1
63,"16,331","1,165.76",. . .,. . .,"16,331","1,165.76",1
64,"19,171","1,181.82",. . .,. . .,"19,171","1,181.82",1
65,"26,627","1,301.86",. . .,. . .,"26,627","1,301.86",1
66,"9,809",964.05,. . .,. . .,"9,809",964.05,1
67–69,460,447.05,. . .,. . .,460,447.05,1
70 or older,"3,515",435.37,. . .,. . .,"3,515",435.37,1
Nondisabled widowers,"23,283",969.82,"23,283",969.82,. . .,. . .,0
,,,,,,"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",0
,,,,,,"NOTES: Because of differences in data sources and calculation methods, statistics reported in this table may differ from those reported by the Office of the Chief Actuary.",0
,,,,,,"Effective 2006, age is based on date of entitlement and not date of award. Entitlement can be retroactive and thus precede the date of award.",0
,,,,,,. . . = not applicable.,0
,,,,,,a. Benefits awarded before the December cost-of-living increase are converted to the December rates before averages are computed.,0
,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.,0
