Year,Retired-worker families,,,,Survivor families,,,,Disabled-worker families,,,,,
,Worker only,,,Worker and wife ,Non-disabled widow only,Widowed mother or father and—,,,Worker only,,,"Worker, wife, b and",,Worker and spouse
,All,Men,Women,,,1 child,2 children,3 or more children,All,Men,Women,1 child,2 or more children,
 ,Number (thousands),,,,,,,,,,,,,
1945,416,338,78,181,95,86,48,24,. . .,. . .,. . .,. . .,. . .,. . .
1950,"1,240",939,301,498,314,82,53,33,. . .,. . .,. . .,. . .,. . .,. . .
1955,"3,266","2,054","1,212","1,124",700,126,86,80,. . .,. . .,. . .,. . .,. . .,. . .
1960,"5,742","2,922","2,820","2,122","1,527",172,113,114,357,261,96,22,32,22
1965,"8,386","4,137","4,249","2,400","2,332",182,135,153,714,481,232,54,109,30
1970,"10,533","4,904","5,629","2,457","3,080",183,155,182,"1,054",680,374,77,164,43
1975,"13,520","6,134","7,385","2,618","3,606",221,182,176,"1,750","1,080",671,137,250,66
1980,"16,314","7,286","9,028","2,736","4,033",239,184,134,"2,061","1,257",804,154,228,80
1985,"19,132","8,601","10,531","2,861","4,606",158,131,74,"2,039","1,267",772,84,140,76
1986,"19,664","8,849","10,816","2,883","4,666",151,123,68,"2,096","1,301",795,82,136,74
1987,"20,137","9,064","11,074","2,893","4,709",141,115,62,"2,154","1,338",816,79,132,74
1988,"20,567","9,264","11,302","2,896","4,749",137,112,61,"2,194","1,353",841,77,125,71
1989,"21,036","9,495","11,541","2,903","4,788",137,109,58,"2,262","1,390",872,75,120,67
1990,"21,537","9,752","11,786","2,914","4,825",133,106,57,"2,370","1,448",922,75,118,63
1991,"21,978","9,985","11,992","2,918","4,850",130,106,55,"2,523","1,529",994,76,119,61
1992,"22,434","10,218","12,216","2,928","4,871",129,103,54,"2,738","1,643","1,094",78,125,61
1993,"22,796","10,404","12,392","2,912","4,870",126,103,53,"2,935","1,743","1,192",78,127,59
1994,"23,124","10,573","12,552","2,885","4,862",123,100,51,"3,121","1,830","1,292",76,128,57
1995,"23,433","10,732","12,701","2,845","4,841",120,97,49,"3,305","1,909","1,396",75,124,55
1996,"23,705","10,874","12,831","2,799","4,815",117,78,41,"3,473","1,973","1,500",61,104,53
1997,"24,124","11,027","13,097","2,759","4,657",113,74,37,"3,593","2,006","1,588",57,91,53
