Sex and monthly benefit (dollars),Total,,With reduction for early retirement,,Without reduction for early retirement,,0
,Number,Percent,Number,Percent,Number,Percent,0
All retired workers,"39,008,771",100.0,"28,164,909",100.0,"10,843,862",100.0,2
Less than 300.00,"913,621",2.3,"713,697",2.5,"199,924",1.8,0
300.00–349.90,"321,712",0.8,"254,545",0.9,"67,167",0.6,0
350.00–399.90,"328,044",0.8,"257,898",0.9,"70,146",0.6,0
400.00–449.90,"339,527",0.9,"262,565",0.9,"76,962",0.7,0
450.00–499.90,"357,435",0.9,"283,419",1.0,"74,016",0.7,0
500.00–549.90,"424,536",1.1,"349,503",1.2,"75,033",0.7,0
550.00–599.90,"636,319",1.6,"554,671",2.0,"81,648",0.8,0
600.00–649.90,"774,427",2.0,"662,063",2.4,"112,364",1.0,0
650.00–699.90,"931,515",2.4,"799,263",2.8,"132,252",1.2,0
700.00–749.90,"1,080,184",2.8,"914,663",3.2,"165,521",1.5,0
750.00–799.90,"1,185,707",3.0,"990,702",3.5,"195,005",1.8,0
800.00–849.90,"1,233,522",3.2,"1,020,813",3.6,"212,709",2.0,0
850.00–899.90,"1,245,414",3.2,"1,015,246",3.6,"230,168",2.1,0
900.00–949.90,"1,193,986",3.1,"954,478",3.4,"239,508",2.2,0
950.00–999.90,"1,152,689",3.0,"901,738",3.2,"250,951",2.3,0
"1,000.00–1,049.90","1,129,127",2.9,"867,774",3.1,"261,353",2.4,0
"1,050.00–1,099.90","1,125,174",2.9,"859,856",3.1,"265,318",2.4,0
"1,100.00–1,149.90","1,126,275",2.9,"859,093",3.1,"267,182",2.5,0
"1,150.00–1,199.90","1,139,898",2.9,"869,468",3.1,"270,430",2.5,0
"1,200.00–1,249.90","1,166,868",3.0,"889,812",3.2,"277,056",2.6,0
"1,250.00–1,299.90","1,190,972",3.1,"911,912",3.2,"279,060",2.6,0
"1,300.00–1,349.90","1,208,335",3.1,"924,728",3.3,"283,607",2.6,0
"1,350.00–1,399.90","1,270,441",3.3,"999,382",3.5,"271,059",2.5,0
"1,400.00–1,449.90","1,345,027",3.4,"1,068,233",3.8,"276,794",2.6,0
"1,450.00–1,499.90","1,278,911",3.3,"1,002,403",3.6,"276,508",2.5,0
"1,500.00–1,549.90","1,276,467",3.3,"1,000,526",3.6,"275,941",2.5,0
"1,550.00–1,599.90","1,348,793",3.5,"1,072,397",3.8,"276,396",2.5,0
"1,600.00–1,649.90","1,289,453",3.3,"1,011,231",3.6,"278,222",2.6,0
"1,650.00–1,699.90","1,214,533",3.1,"932,899",3.3,"281,634",2.6,0
"1,700.00–1,749.90","1,160,110",3.0,"852,761",3.0,"307,349",2.8,0
"1,750.00–1,799.90","1,059,247",2.7,"752,546",2.7,"306,701",2.8,0
"1,800.00–1,849.90","910,396",2.3,"622,166",2.2,"288,230",2.7,0
"1,850.00–1,899.90","775,898",2.0,"496,227",1.8,"279,671",2.6,0
"1,900.00–1,949.90","672,856",1.7,"406,424",1.4,"266,432",2.5,0
"1,950.00–1,999.90","591,470",1.5,"337,071",1.2,"254,399",2.3,0
"2,000.00–2,049.90","576,566",1.5,"283,844",1.0,"292,722",2.7,0
"2,050.00–2,099.90","534,825",1.4,"237,661",0.8,"297,164",2.7,0
"2,100.00–2,149.90","479,108",1.2,"198,919",0.7,"280,189",2.6,0
"2,150.00–2,199.90","422,448",1.1,"167,432",0.6,"255,016",2.4,0
"2,200.00 or more","2,596,935",6.7,"604,880",2.1,"1,992,055",18.4,0
Average benefit (dollars),"1,328.58",,"1,229.91",,"1,584.85",,0
Men,"19,601,843",100.0,"13,644,248",100.0,"5,957,595",100.0,1
Less than 300.00,"452,765",2.3,"351,703",2.6,"101,062",1.7,0
300.00–349.90,"157,636",0.8,"124,147",0.9,"33,489",0.6,0
350.00–399.90,"154,392",0.8,"119,677",0.9,"34,715",0.6,0
400.00–449.90,"152,331",0.8,"114,815",0.8,"37,516",0.6,0
450.00–499.90,"149,703",0.8,"114,863",0.8,"34,840",0.6,0
500.00–549.90,"162,538",0.8,"128,512",0.9,"34,026",0.6,0
550.00–599.90,"226,764",1.2,"192,069",1.4,"34,695",0.6,0
600.00–649.90,"256,814",1.3,"212,443",1.6,"44,371",0.7,0
650.00–699.90,"273,443",1.4,"223,100",1.6,"50,343",0.8,0
700.00–749.90,"294,566",1.5,"233,472",1.7,"61,094",1.0,0
750.00–799.90,"310,535",1.6,"241,119",1.8,"69,416",1.2,0
800.00–849.90,"322,735",1.6,"249,330",1.8,"73,405",1.2,0
850.00–899.90,"337,987",1.7,"261,124",1.9,"76,863",1.3,0
900.00–949.90,"350,932",1.8,"272,455",2.0,"78,477",1.3,0
950.00–999.90,"368,858",1.9,"287,394",2.1,"81,464",1.4,0
"1,000.00–1,049.90","390,862",2.0,"305,939",2.2,"84,923",1.4,0
"1,050.00–1,099.90","415,433",2.1,"326,766",2.4,"88,667",1.5,0
"1,100.00–1,149.90","441,161",2.3,"349,909",2.6,"91,252",1.5,0
"1,150.00–1,199.90","470,729",2.4,"375,894",2.8,"94,835",1.6,0
