Income,Income-related monthly adjustment (dollars)
"Beneficiaries who file individual tax returns and are single individuals, heads of households, qualifying widow(er)s with dependent children, or married individuals who lived apart from their spouse for the entire taxable year and file separately",
"Less than or equal to $85,000",0
"Greater than $85,000 and less than or equal to $107,000",12.70
"Greater than $107,000 and less than or equal to $160,000",32.80
"Greater than $160,000 and less than or equal to $214,000",52.80
"Greater than $214,000",72.90
Beneficiaries who file joint tax returns,
"Less than or equal to $170,000",0
"Greater than $170,000 and less than or equal to $214,000",12.70
"Greater than $214,000 and less than or equal to $320,000",32.80
"Greater than $320,000 and less than or equal to $428,000",52.80
"Greater than $428,000",72.90
Beneficiaries who are married and lived with their spouse at any time during the year but file separate tax returns,
"Less than or equal to $85,000",0
"Greater than $85,000 and less than or equal to $129,000",52.80
"Greater than $129,000",72.90
 ,
