Act,Effective date,Amount a (dollars,
,,Individual,Couple
 ,Own household ,,
1972,"January 1, 1974 ",130.00,195.00
1973,"January 1, 1974",140.00,210.00
1973,"July 1, 1974",146.00,219.00
1974 ,"July 1, 1975",157.70,236.60
,"July 1, 1976",167.80,251.80
,"July 1, 1977",177.70,266.70
,"July 1, 1978",189.40,284.10
,"July 1, 1979",208.20,312.30
,"July 1, 1980",238.00,357.00
,"July 1, 1981",264.70,397.00
,"July 1, 1982",284.30,426.40
1983,"July 1, 1983 ",304.30,456.40
,"January 1, 1984",314.00,472.00
,"January 1, 1985",325.00,488.00
,"January 1, 1986",336.00,504.00
,"January 1, 1987",340.00,510.00
,"January 1, 1988",354.00,532.00
,"January 1, 1989",368.00,553.00
,"January 1, 1990",386.00,579.00
,"January 1, 1991",407.00,610.00
,"January 1, 1992",422.00,633.00
,"January 1, 1993",434.00,652.00
,"January 1, 1994",446.00,669.00
,"January 1, 1995",458.00,687.00
,"January 1, 1996",470.00,705.00
,"January 1, 1997",484.00,726.00
,"January 1, 1998",494.00,741.00
,"January 1, 1999",500.00,751.00
,"January 1, 2000",f 513.0,769.00
,"January 1, 2001",f 531.0,796.00
,"January 1, 2002",545.00,817.00
,"January 1, 2003",552.00,829.00
,"January 1, 2004",564.00,846.00
,"January 1, 2005",579.00,869.00
,"January 1, 2006",603.00,904.00
,"January 1, 2007",623.00,934.00
,"January 1, 2008",637.00,956.00
,"January 1, 2009",674.00,"1,011.00"
,"January 1, 2010",674.00,"1,011.00"
,"January 1, 2011",674.00,"1,011.00"
,"January 1, 2012",698.00,"1,048.00"
,"January 1, 2013",710.00,"1,066.00"
,"January 1, 2014",721.00,"1,082.00"
,"January 1, 2015",733.00,"1,100.00"
 ,Receiving institutional care covered by Medicaid ,,
1972,"January 1, 1974",25.00,50.00
1987,"July 1, 1988",30.00,60.00
"SOURCES: Social Security Act of 1935 (the Act), as amended through December 31, 2014; regulations issued under the Act; and precedential case decisions (rulings). Social Security Administration, Office of the Chief Actuary, ""SSI Federal Payment Amounts,"" https://www.socialsecurity.gov/OACT/COLA/SSIamts.html. See the Social Security Program Rules page (https://www.socialsecurity.gov/regulations/index.htm) for specific laws, regulations, rulings, legislation, and a link to the Federal Register.",,,
"NOTE: For those in another person's household receiving support and maintenance there, the federal benefit rate is reduced by one-third.",,,
a. For those without countable income. These payments are reduced by the amount of countable income of the individual or couple.,,,
b. Includes persons in private institutions whose care is not provided by Medicaid.,,,
c. Superseded by the provision of 1973.,,,
d. Mechanism established for providing cost-of-living adjustments.,,,
e. General benefit increase.,,,
"f. Benefits originally paid in 2000 and through July 2001 were based on federal benefit rates of $512 and $530, respectively. Pursuant to Public Law 106-554, monthly payments beginning in August 2001 were effectively based on the higher $531 amount. Lump-sum compensation payments were made on the basis of an adjusted benefit rate for months prior to August 2001.",,,
g. Must be receiving more than 50 percent of the cost of the care from Medicaid (Title XIX of the Social Security Act).,,,
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,
