, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,U.S.-chartered depository institutions; gross saving including foreign earnings retained abroad and CCAdj less net capital transfers paid (other than for financial stabilization program)(1),FA766000105,-64.1,-67.4,-49.8,-59.0,-94.0,-60.6,-32.6,-86.2,-19.7,1
1,"U.S.-chartered depository institutions; gross fixed investment, nonresidential structures, equipment, and intellectual property products",FA765013005,20.3,22.5,29.9,25.0,27.1,27.6,28.5,32.2,31.2,2
2,"U.S.-chartered depository institutions, including IBFs; total financial assets",FA764090005,845.5,579.2,729.2,347.6,686.0,1272.7,477.6,1143.1,23.4,3
3,U.S.-chartered depository institutions; vault cash; asset,FA763025000,2.0,-1.4,1.7,-1.2,-15.7,22.6,16.8,-34.1,1.6,4
4,U.S.-chartered depository institutions; depository institution reserves; asset,FA763013005,190.7,-207.9,-95.8,-108.1,-172.5,304.7,-376.9,156.7,-467.6,5
5,"U.S.-chartered depository institutions, including IBFs; federal funds and security repurchase agreements; asset",FA762050005,-30.4,24.8,8.7,13.6,-10.0,-16.8,40.0,75.2,-63.7,6
6,U.S.-chartered depository institutions; debt securities; asset,FA764022005,241.5,214.4,287.1,49.4,306.9,94.7,222.2,475.6,355.8,7
7,U.S.-chartered depository institutions; open market paper; asset,FA763069175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
8,U.S.-chartered depository institutions; Treasury securities; asset,FA763061100,203.3,14.8,96.0,-11.1,-2.9,12.8,92.9,179.5,98.9,9
9,U.S.-chartered depository institutions; agency- and GSE-backed securities; asset,FA763061705,43.0,164.4,147.4,64.1,253.0,21.7,73.9,229.5,264.5,10
10,U.S.-chartered depository institutions; agency issued residential mortgage pass-through securities; asset,FA763061803,26.2,149.9,152.2,76.6,207.3,1.8,114.1,237.2,255.8,11
11,U.S.-chartered depository institutions; agency issued commercial mortgage pass-through securities; asset,FA763061303,12.2,19.1,21.6,17.7,30.6,19.5,18.4,35.0,13.6,12
