, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,All sectors; farm mortgages; asset,FA893065603,11.6,12.0,15.6,12.1,12.1,15.5,15.5,15.7,15.7,1
1,Corporate farm business; farm mortgages; liability,FA183165605,4.3,4.2,3.8,3.6,2.7,4.1,3.6,4.0,3.6,2
2,Noncorporate farm business; farm mortgages; liability,FA233165605,7.3,7.8,11.8,8.5,9.4,11.5,11.9,11.6,12.1,3
3,All sectors; farm mortgages; asset,FA893065603,11.6,12.0,15.6,12.1,12.1,15.5,15.5,15.7,15.7,4
4,Households and nonprofit organizations; farm mortgages; asset,FA153065605,1.3,-4.2,2.5,-4.6,-12.4,5.4,0.3,0.3,4.1,5
5,Nonfinancial noncorporate business; farm mortgages; asset,FA113065603,-0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,6
6,Federal government; farm mortgages; asset,FA313065605,0.9,0.7,0.6,0.7,0.6,0.5,-1.2,2.5,0.5,7
7,"State and local governments, excluding employee retirement funds; farm mortgages; asset",FA213065603,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,8
8,U.S.-chartered depository institutions; farm mortgages; asset (USDA),FA763065633,4.6,6.0,4.8,4.7,7.0,4.0,6.8,4.7,3.7,9
9,Foreign banking offices in the U.S.; farm mortgages; asset,FA753065603,0.2,0.0,-0.0,-0.0,0.2,-0.1,-0.1,-0.0,0.1,10
10,Life insurance companies; farm mortgages on farm land; asset,FA543065633,-0.0,0.0,0.9,0.2,1.0,0.6,1.0,0.9,1.1,11
11,State and local government employee defined benefit retirement funds; farm mortgages; asset,FA223065643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
12,Government-sponsored enterprises; farm mortgages; asset,FA403065605,4.8,8.7,6.5,7.8,15.7,3.5,8.5,7.4,6.7,13
13,Agency-and GSE-backed mortgage pools; farm mortgages; asset,FA413065605,-0.1,0.7,0.2,3.2,-0.1,1.4,0.1,-0.2,-0.5,14
