, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Government-sponsored enterprises; total financial assets,FL404090005,6399.9,6487.7,6689.4,6407.3,6487.7,6456.9,6568.0,6611.1,6689.4,1
1,Government-sponsored enterprises; checkable deposits and currency; asset,FL403020005,65.0,41.0,48.5,47.4,41.0,34.7,43.6,39.7,48.5,2
2,Government-sponsored enterprises; total time and savings deposits; asset,FL403030005,3.3,2.5,6.7,2.7,2.5,3.3,4.1,5.3,6.7,3
3,Government-sponsored enterprises; federal funds and security repurchase agreements; asset,FL402050005,162.6,182.9,185.7,149.0,182.9,159.9,164.8,172.2,185.7,4
4,Government-sponsored enterprises; debt securities; asset,FL404022005,472.1,446.9,444.4,442.7,446.9,443.8,456.4,453.2,444.4,5
5,Government-sponsored enterprises; commercial paper; asset,FL403069105,6.0,5.5,5.9,5.0,5.5,5.5,5.6,5.8,5.9,6
6,Government-sponsored enterprises; Treasury securities; asset,FL403061105,64.3,87.5,102.5,77.6,87.5,90.9,90.5,103.8,102.5,7
7,Government-sponsored enterprises; agency- and GSE-backed securities; asset,FL403061705,295.7,281.4,289.5,281.4,281.4,282.7,299.5,291.3,289.5,8
8,Government-sponsored enterprises; municipal securities and Sallie Mae public academic facilities financing and Sallie Mae public warehousing advances; asset,FL403062005,10.8,8.2,5.4,8.7,8.2,7.5,7.5,6.3,5.4,9
9,Government-sponsored enterprises; corporate and foreign bonds; asset,FL403063005,95.4,64.3,41.1,69.8,64.3,57.2,53.3,46.0,41.1,10
10,Government-sponsored enterprises; loans; asset,FL404023005,5542.3,5666.3,5853.3,5611.4,5666.3,5659.1,5735.1,5769.2,5853.3,11
11,"Government-sponsored enterprises; FHLB, Farm Credit System, and Sallie Mae loans and advances; asset",FL403069305,671.8,746.2,826.1,696.5,746.2,730.1,804.3,800.7,826.1,12
12,Government-sponsored enterprises; Sallie Mae loans; asset,FL403069385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
13,Government-sponsored enterprises; Farm Credit System loans; asset,FL403069345,106.1,115.0,120.8,110.3,115.0,116.3,119.4,115.9,120.8,14
14,Government-sponsored enterprises; FHLB advances; asset,FL403069330,565.7,631.2,705.2,586.2,631.2,613.8,685.0,684.9,705.2,15
15,Government-sponsored enterprises; total mortgages; asset,FL403065005,4870.5,4920.1,5027.3,4914.8,4920.1,4929.0,4930.7,4968.4,5027.3,16
16,Government-sponsored enterprises; home mortgages; asset,FL403065105,4537.0,4569.6,4644.0,4564.6,4569.6,4567.7,4571.6,4596.7,4644.0,17
17,Government-sponsored enterprises; securitized home mortgages; asset(2),FL403065195,4104.2,4171.8,4284.2,4162.0,4171.8,4180.6,4186.3,4221.2,4284.2,18
18,Government-sponsored enterprises; other home mortgages; asset,FL403065185,432.8,397.8,359.8,402.7,397.8,387.1,385.3,375.6,359.8,19
19,Government-sponsored enterprises; multifamily residential mortgages; asset,FL403065405,240.8,249.1,275.4,252.8,249.1,259.1,254.7,265.4,275.4,20
20,Government-sponsored enterprises; securitized multifamily residential mortgages; asset(2),FL403065495,164.6,187.0,223.6,183.3,187.0,194.9,201.7,214.2,223.6,21
21,Government-sponsored enterprises; other multifamily residential mortgages; asset,FL403065485,76.2,62.2,51.8,69.5,62.2,64.1,53.1,51.3,51.8,22
22,Government-sponsored enterprises; farm mortgages; asset,FL403065605,92.6,101.4,107.9,97.4,101.4,102.3,104.4,106.2,107.9,23
23,Government-sponsored enterprises; consumer credit held by Sallie Mae; asset(3),FL403066005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
24,Government-sponsored enterprises; unidentified miscellaneous assets,FL403093005,154.7,148.2,150.8,154.2,148.2,156.1,164.0,171.5,150.8,25
25,Government-sponsored enterprises; total liabilities,FL404190005,6386.6,6475.4,6674.1,6399.6,6475.4,6455.1,6561.1,6611.6,6674.1,26
26,Government-sponsored enterprises; federal funds and security repurchase agreements; liability,FL402150005,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,27
27,Government-sponsored enterprises; GSE issues; liability(4),FL403161705,6275.5,6369.0,6563.4,6293.5,6369.0,6350.1,6455.5,6505.0,6563.4,28
28,Government-sponsored enterprises; securitized GSE issues; liability(2),FL403161795,4268.8,4358.7,4507.7,4345.2,4358.7,4375.5,4387.9,4435.3,4507.7,29
29,Government-sponsored enterprises; other GSE issues; liability,FL403161785,2006.7,2010.3,2055.6,1948.3,2010.3,1974.6,2067.6,2069.7,2055.6,30
30,Government-sponsored enterprises; U.S. government loans to Sallie Mae; liability,FL403169283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
31,Government-sponsored enterprises; total miscellaneous liabilities,FL403190005,111.0,106.5,110.7,106.0,106.5,105.0,105.5,106.6,110.7,32
