, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,All sectors; total mortgages; asset,FA893065005,200.1,378.5,519.9,383.8,440.4,381.6,501.5,612.6,584.1,1
1,All sectors; home mortgages; asset,FA893065105,40.4,142.9,266.5,150.9,181.5,166.9,260.8,318.1,320.0,2
2,All sectors; multifamily residential mortgages; asset,FA893065405,58.2,94.5,106.1,86.2,111.4,103.0,95.2,108.8,117.2,3
3,All sectors; commercial mortgages; asset,FA893065505,89.9,129.1,131.8,134.6,135.4,96.1,130.1,170.0,131.1,4
4,All sectors; farm mortgages; asset,FA893065603,11.6,12.0,15.6,12.1,12.1,15.5,15.5,15.7,15.7,5
5,All sectors; total mortgages; asset,FA893065005,200.1,378.5,519.9,383.8,440.4,381.6,501.5,612.6,584.1,6
6,Households and nonprofit organizations; total mortgages; liability,FA153165005,39.1,135.3,253.8,140.0,172.2,161.7,248.3,295.6,309.5,7
7,Nonfinancial business; total mortgages; liability,FA143165005,151.8,239.2,272.1,229.5,296.1,197.1,271.2,342.6,277.6,8
8,Nonfinancial corporate business; total mortgages; liability,FA103165005,-36.0,39.5,43.7,32.9,58.4,6.7,51.6,68.6,47.9,9
9,Nonfinancial noncorporate business; total mortgages; liability,FA113165005,187.8,199.7,228.4,196.6,237.7,190.4,219.6,273.9,229.8,10
10,Federal government; multifamily residential mortgages; liability,FA313165403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11,Real estate investment trusts; total mortgages; liability,FA643165005,9.3,4.0,-6.0,14.4,-28.0,22.7,-17.9,-25.6,-3.1,12
12,All sectors; total mortgages; asset,FA893065005,200.1,378.5,519.9,383.8,440.4,381.6,501.5,612.6,584.1,13
13,Households and nonprofit organizations; total mortgages; asset,FA153065005,-2.0,-7.6,-0.9,-8.0,-15.8,2.0,-3.1,-3.1,0.7,14
14,Nonfinancial corporate business; total mortgages; asset,FA103065003,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,15
15,Nonfinancial noncorporate business; total mortgages; asset,FA113065005,-0.4,2.4,2.4,1.8,3.1,2.7,2.2,2.5,2.1,16
16,Federal government; total mortgages; asset,FA313065005,1.7,-0.7,3.2,-4.0,-1.9,3.6,-0.2,0.6,8.7,17
17,"State and local governments, excluding employee retirement funds; total mortgages; asset",FA213065005,5.4,13.1,7.8,16.2,16.0,5.3,5.8,14.2,5.7,18
18,U.S.-chartered depository institutions; total mortgages; asset,FA763065005,117.9,213.0,246.4,206.3,276.4,220.9,313.5,268.9,182.1,19
19,Foreign banking offices in the U.S.; total mortgages; asset,FA753065005,7.3,13.8,15.8,22.7,18.8,18.9,17.9,17.4,9.1,20
20,Banks in U.S.-affiliated areas; total mortgages; asset,FA743065003,-2.1,-3.8,-0.7,-0.9,-0.9,0.0,-1.5,-0.5,-1.0,21
21,Credit unions; home mortgages; asset,FA473065100,26.9,32.7,37.1,32.8,32.3,2.3,52.5,43.9,49.7,22
22,Property-casualty insurance companies; commercial mortgages; asset,FA513065503,2.0,2.4,3.4,2.3,3.4,2.8,3.0,4.1,3.9,23
23,Life insurance companies; total mortgages; asset,FA543065005,21.6,40.0,28.7,31.6,59.9,31.1,36.2,26.7,20.9,24
24,Private pension funds; total mortgages; asset,FA573065005,1.7,-2.8,0.0,-1.7,-1.3,0.4,-0.1,-0.4,0.2,25
25,State and local government employee defined benefit retirement funds; total mortgages; asset,FA223065043,0.6,-0.4,-3.2,-1.9,-1.3,-5.1,0.0,-6.2,-1.5,26
26,Government-sponsored enterprises; total mortgages; asset(1),FA403065005,4.3,64.7,112.4,76.9,31.9,63.2,50.0,97.7,238.9,27
27,Agency-and GSE-backed mortgage pools; total mortgages; asset,FA413065005,75.0,126.9,157.4,176.5,196.2,136.4,158.7,131.8,202.4,28
28,Issuers of asset-backed securities; total mortgages; asset,FA673065005,-72.9,-59.3,-84.0,-96.1,-96.9,-129.0,-114.7,-11.9,-80.5,29
29,Finance companies; total mortgages; asset,FA613065000,-8.7,-28.3,-16.0,-27.3,-30.9,-16.0,-12.9,-17.3,-17.8,30
30,Real estate investment trusts; total mortgages; asset,FA643065005,19.9,-29.4,8.2,-45.2,-50.6,40.0,-7.7,42.1,-41.6,31
