, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,All sectors; total debt securities; liability,FA894122005,1341.2,1242.4,1555.3,796.4,2624.4,1703.2,1504.4,2003.0,1010.4,1
1,All sectors; open market paper; liability,FA893169175,-21.2,11.1,-56.6,22.6,-7.1,260.0,-93.4,-490.8,97.8,2
2,Federal government; Treasury securities; liability,FA313161105,736.0,724.4,842.8,302.5,2243.0,852.4,770.0,1285.4,463.3,3
3,All sectors; U.S. government agency securities; liability,FA893161705,150.2,220.6,351.6,316.4,499.9,60.4,580.8,329.0,436.3,4
4,Domestic nonfinancial sectors; municipal securities; liability,FA383162005,-42.0,14.9,42.4,13.3,-48.4,36.8,94.7,37.3,0.9,5
5,All sectors; corporate and foreign bonds; liability,FA893163005,518.2,271.4,375.1,141.7,-63.1,493.6,152.3,842.1,12.1,6
6,All sectors; total debt securities; liability,FA894122005,1341.2,1242.4,1555.3,796.4,2624.4,1703.2,1504.4,2003.0,1010.4,7
7,Domestic nonfinancial sectors; debt securities; liability,FA384122005,1003.9,1133.0,1163.0,707.7,2428.9,1446.5,1163.7,1523.0,518.9,8
8,Nonprofit organizations; municipal securities; liability(2),FA163162003,-6.7,-8.0,-3.4,-10.5,-5.2,2.6,-0.9,-9.5,-5.9,9
9,Nonfinancial corporate business; debt securities; liability,FA104122005,310.1,407.9,295.7,410.6,226.4,570.5,327.9,224.6,59.5,10
10,Federal government; debt securities; liability,FA314122005,735.9,724.6,842.7,300.2,2244.8,851.9,770.5,1284.6,463.7,11
11,"State and local governments, excluding employee retirement funds; municipal securities; liability",FA213162005,-35.4,8.6,28.1,7.3,-37.1,21.4,66.2,23.2,1.7,12
12,Domestic financial sectors; debt securities; liability,FA794122005,174.4,152.6,386.6,275.4,324.3,349.7,421.0,503.7,272.1,13
13,U.S.-chartered depository institutions; debt securities; liability,FA764122005,-17.2,-9.3,-21.4,10.4,27.9,36.9,-26.0,-44.2,-52.5,14
14,Foreign banking offices in the U.S.; bankers' acceptances; liability,FA753169603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
15,Government-sponsored enterprises; GSE issues; liability,FA403161705,75.3,93.5,194.4,142.1,301.9,-75.6,421.7,197.9,233.5,16
16,Agency-and GSE-backed mortgage pools; total mortgages; asset,FA413065005,75.0,126.9,157.4,176.5,196.2,136.4,158.7,131.8,202.4,17
17,Issuers of asset-backed securities; debt securities; liability,FA674122005,-52.8,-59.0,-79.6,-159.9,-86.9,-70.6,-141.9,-20.1,-85.7,18
18,Finance companies; debt securities; liability,FA614122005,2.0,-16.0,-56.1,6.7,-17.4,23.2,-126.1,-81.9,-39.6,19
19,Real estate investment trusts; debt securities; liability,FA644122005,46.9,-7.8,19.4,-12.1,-11.1,82.8,42.1,-23.1,-24.2,20
20,Security brokers and dealers; corporate and foreign bonds; liability,FA663163003,11.5,7.4,-2.2,-1.6,-16.4,-47.3,-33.8,58.5,14.0,21
