, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Nonfinancial corporate business; corporate profits before tax excluding IVA and CCAdj,FA106060005,1371.6,1258.6,1273.7,1277.2,1130.1,1229.3,1288.5,1299.9,1277.4,1
1,Nonfinancial corporate business; taxes on corporate income,FA106231005,313.7,308.1,322.3,306.1,277.6,312.7,321.4,329.8,325.4,2
2,Nonfinancial corporate business; net dividends paid,FA106121075,579.6,608.0,622.2,617.9,625.5,626.8,613.7,605.5,642.7,3
3,Nonfinancial corporate business; capital consumption allowance(1),FA106300015,1203.6,1266.1,1305.9,1276.8,1289.3,1290.2,1301.2,1311.4,1320.9,4
4,"Nonfinancial corporate business; U.S. internal funds, book",FA106000135,1682.0,1608.5,1635.2,1630.0,1516.2,1580.1,1654.5,1676.0,1630.1,5
5,Nonfinancial corporate business; foreign earnings retained abroad,FA106006065,228.1,216.2,212.8,199.0,230.6,208.1,216.7,202.7,223.7,6
6,Nonfinancial corporate business; inventory valuation adjustment (IVA),FA105020601,3.0,54.8,-2.0,59.7,71.4,61.2,-53.5,-2.0,-13.8,7
7,Nonfinancial corporate business; net capital transfers paid(2),FA105440005,-6.7,-3.2,2.6,-3.7,-1.9,-1.7,-1.6,-1.6,15.4,8
8,Nonfinancial corporate business; gross saving including foreign earnings retained abroad less net capital transfers paid,FA106000105,1919.8,1882.8,1843.3,1892.3,1820.1,1851.0,1819.3,1878.3,1824.6,9
9,Nonfinancial corporate business; gross investment,FA105090005,1219.0,1797.6,1805.0,1737.0,1611.5,1713.4,1781.4,1836.7,1888.7,10
10,Nonfinancial corporate business; total capital expenditures,FA105050005,1677.4,1765.7,1667.3,1752.8,1710.0,1678.0,1655.9,1649.4,1685.9,11
11,Nonfinancial corporate business; gross fixed investment(3),FA105019005,1617.7,1654.6,1638.7,1686.4,1653.9,1637.8,1633.5,1643.5,1639.9,12
12,Nonfinancial corporate business; inventories including IVA,FA105020005,57.9,81.2,20.8,66.6,56.5,40.8,-9.5,5.1,46.7,13
13,Nonfinancial corporate business; acquisition of nonproduced nonfinancial assets (net),FA105420005,1.8,29.9,7.9,-0.2,-0.3,-0.6,31.9,0.9,-0.7,14
14,Nonfinancial corporate business; net lending (+) or borrowing (-) (financial account),FA105000005,-458.4,31.9,137.7,-15.8,-98.5,35.4,125.6,187.3,202.8,15
15,Nonfinancial corporate business; total financial assets,FA104090005,923.7,911.3,958.6,762.6,849.8,1005.5,1209.6,963.3,656.0,16
16,Nonfinancial corporate business; private foreign deposits; asset,FA103091003,-7.8,-20.9,3.5,-32.5,-4.1,-42.5,46.5,11.3,-1.4,17
17,Nonfinancial corporate business; checkable deposits and currency; asset,FA103020005,63.9,-12.9,66.9,-13.6,-85.0,1.2,186.0,86.6,-6.3,18
18,Nonfinancial corporate business; total time and savings deposits; asset,FA103030003,-18.0,-31.0,34.0,15.2,-55.2,-9.5,18.1,162.8,-35.5,19
19,Nonfinancial corporate business; money market mutual fund shares; asset,FA103034003,-0.9,18.6,6.3,50.2,72.2,-8.8,9.7,-7.2,31.3,20
20,Nonfinancial corporate business; security repurchase agreements; asset,FA102051003,12.9,6.0,-1.8,12.2,2.9,-12.7,-5.0,0.6,10.0,21
21,Nonfinancial corporate business; debt securities; asset,FA104022005,11.5,-6.9,19.9,-18.3,26.2,32.0,-4.2,82.1,-30.2,22
22,Nonfinancial corporate business; commercial paper; asset,FA103069100,3.7,-1.8,10.9,-7.7,-9.9,0.8,26.1,9.7,6.8,23
23,Nonfinancial corporate business; Treasury securities; asset,FA103061103,2.9,-5.9,3.7,-3.9,21.6,33.6,-40.5,10.9,11.0,24
24,Nonfinancial corporate business; agency- and GSE-backed securities; asset,FA103061703,5.0,-2.0,1.2,-1.3,7.2,11.2,6.5,-16.4,3.7,25
25,Nonfinancial corporate business; municipal securities; asset,FA103062003,0.1,2.8,4.1,-5.5,7.3,-13.6,3.8,77.8,-51.7,26
26,Nonfinancial corporate business; loans; asset,FA104023005,2.9,1.2,1.2,5.5,-11.6,2.5,1.8,6.1,-5.7,27
27,Nonfinancial corporate business; total mortgages; asset,FA103065003,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,28
28,Nonfinancial corporate business; consumer credit; asset,FA103066005,0.9,-0.8,-0.8,3.5,-13.6,0.6,-0.1,4.2,-7.7,29
29,Nonfinancial corporate business; mutual fund shares; asset,FA103064203,15.2,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,30
30,Nonfinancial corporate business; trade receivables; asset,FA103070005,104.1,-21.1,118.7,-46.2,-52.8,-46.8,225.3,197.7,98.8,31
31,Nonfinancial corporate business; U.S. direct investment abroad; asset(4),FA103092005,293.1,296.7,260.9,171.2,384.0,270.6,249.4,268.7,255.0,32
32,Nonfinancial corporate business; total miscellaneous assets,FA103090005,446.7,674.1,441.6,611.5,565.8,812.1,474.6,147.3,332.5,33
33,Nonfinancial corporate business; insurance receivables due from property-casualty insurance companies; asset,FA103076005,10.4,2.4,13.8,11.9,-5.7,6.6,11.2,15.8,21.5,34
34,Nonfinancial corporate business; equity in Fannie Mae and Farm Credit System; asset,FA103092405,0.1,0.1,0.1,0.0,0.1,0.4,0.1,-0.2,0.1,35
35,Nonfinancial corporate business; equity investment in finance company subsidiaries; asset,FA103094105,14.1,-4.1,-13.8,-1.6,8.8,-23.0,0.7,-19.9,-12.7,36
36,Nonfinancial corporate business; unidentified miscellaneous assets,FA103093005,422.2,675.7,441.5,601.1,562.5,828.2,462.7,151.6,323.6,37
37,Nonfinancial corporate business; total liabilities,FA104190005,1382.1,879.4,820.8,778.4,948.3,970.1,1084.1,776.0,453.1,38
38,Nonfinancial corporate business; debt securities; liability,FA104122005,310.1,407.9,295.7,410.6,226.4,570.5,327.9,224.6,59.5,39
39,Nonfinancial corporate business; commercial paper; liability,FA103169100,37.5,-5.4,6.2,70.3,22.5,30.6,9.0,-138.7,124.0,40
