, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Nonfinancial corporate business; total financial assets,FL104090005,17274.4,18173.0,19223.9,17882.4,18173.0,18385.1,18723.5,18998.2,19223.9,1
1,Nonfinancial corporate business; private foreign deposits; asset,FL103091003,69.7,48.8,52.3,49.8,48.8,38.2,49.8,52.6,52.3,2
2,Nonfinancial corporate business; checkable deposits and currency; asset,FL103020005,347.2,334.3,401.2,355.5,334.3,334.6,381.1,402.7,401.2,3
3,Nonfinancial corporate business; total time and savings deposits; asset,FL103030003,613.1,582.1,616.0,595.9,582.1,579.7,584.2,624.9,616.0,4
4,Nonfinancial corporate business; money market mutual fund shares; asset,FL103034003,558.2,576.8,583.1,558.8,576.8,574.6,577.0,575.2,583.1,5
5,Nonfinancial corporate business; security repurchase agreements; asset,FL102051003,21.7,27.7,25.9,27.0,27.7,24.5,23.3,23.4,25.9,6
6,Nonfinancial corporate business; debt securities; asset,FL104022005,133.3,126.5,146.4,117.5,126.5,134.5,130.9,151.5,146.4,7
7,Nonfinancial corporate business; commercial paper; asset,FL103069100,56.5,54.8,65.6,54.9,54.8,55.1,59.0,61.5,65.6,8
8,Nonfinancial corporate business; Treasury securities; asset,FL103061103,41.7,35.8,39.5,30.4,35.8,44.2,34.0,36.8,39.5,9
9,Nonfinancial corporate business; agency- and GSE-backed securities; asset,FL103061703,13.9,11.9,13.2,10.1,11.9,14.7,16.3,12.3,13.2,10
10,Nonfinancial corporate business; municipal securities; asset,FL103062003,21.2,24.0,28.1,22.2,24.0,20.6,21.5,41.0,28.1,11
11,Nonfinancial corporate business; loans; asset,FL104023005,73.4,74.6,75.8,75.5,74.6,73.2,73.9,74.6,75.8,12
12,Nonfinancial corporate business; total mortgages; asset,FL103065003,29.0,31.0,32.9,30.5,31.0,31.5,32.0,32.4,32.9,13
13,Nonfinancial corporate business; consumer credit; asset,FL103066005,44.4,43.6,42.8,45.0,43.6,41.7,41.9,42.2,42.8,14
14,Nonfinancial corporate business; mutual fund shares; asset,LM103064203,234.5,235.7,255.9,228.3,235.7,238.1,244.1,254.5,255.9,15
15,Nonfinancial corporate business; trade receivables; asset,FL103070005,2658.9,2637.9,2756.6,2733.8,2637.9,2670.6,2774.3,2815.3,2756.6,16
16,Nonfinancial corporate business; U.S. direct investment abroad; asset(1),FL103092005,4615.6,4807.2,5090.4,4724.6,4807.2,4903.9,4969.4,5044.4,5090.4,17
