,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
0,Federal government; gross value added (IMA),FA316902505,637.6,668.8,704.5,720.9,723.7,715.2,725.7,735.1,1
1,"Federal government; consumption of fixed capital, structures, equipment, and intellectual property products, current cost basis (NIPA basis)",FA316300003,226.3,234.5,245.3,257.4,264.3,268.0,271.3,271.5,2
2,Federal government; net value added (IMA),FA316902605,411.3,434.3,459.1,463.5,459.4,447.2,454.4,463.6,3
3,Federal government; compensation of employees paid (IMA),FA316025001,410.4,433.5,462.2,470.6,468.3,458.3,462.7,471.1,4
4,Federal government; wages and salaries paid (IMA),FA316020001,296.7,312.2,328.5,331.7,327.7,320.4,324.0,329.7,5
5,Federal government; employers' social contributions paid (IMA),FA316401005,113.7,121.3,133.7,138.9,140.7,137.9,138.7,141.4,6
6,"Federal government; operating surplus, net",FA316402101,0.8,0.8,-3.1,-7.1,-8.9,-11.1,-8.3,-7.4,7
7,"Federal government; net national income/balance of primary incomes, net (IMA)",FA316140005,-308.9,-269.9,-286.6,-327.3,-321.6,-198.0,-295.7,-313.2,8
8,"Federal government; operating surplus, net",FA316402101,0.8,0.8,-3.1,-7.1,-8.9,-11.1,-8.3,-7.4,9
9,"Federal government; taxes on production and imports, receivable (IMA)",FA316240001,94.0,91.4,96.8,108.6,115.1,124.8,134.6,139.4,10
10,Federal government; subsidies paid (with negative sign) (IMA),FA316402015,-49.6,-56.9,-54.3,-59.5,-57.6,-58.8,-56.2,-56.1,11
11,Federal government; property income (received) (IMA Q4),FA316150195,33.9,48.5,54.6,56.4,52.6,163.3,74.8,49.2,12
12,Federal government; interest received (IMA),FA316130101,19.5,22.8,29.5,27.7,21.3,22.8,23.5,26.9,13
13,Federal government; dividends received (IMA),FA316121101,0.6,18.7,17.0,18.8,21.1,131.3,40.7,16.1,14
14,Federal government; rents on land and natural resources received (IMA),FA316112101,13.8,7.0,8.0,9.9,10.2,9.2,10.6,6.2,15
15,Federal government; interest paid (IMA Q4),FA316130095,388.0,353.6,380.6,425.7,422.9,416.2,440.5,438.2,16
16,"Federal government; net national income/balance of primary incomes, net (IMA)",FA316140005,-308.9,-269.9,-286.6,-327.3,-321.6,-198.0,-295.7,-313.2,17
17,"Federal government; current taxes on income, wealth, etc. received (IMA)",FA316220001,1426.7,1079.7,1256.0,1445.2,1546.0,1699.4,1860.4,2009.9,18
18,Federal government; contributions for government social insurance received,FA316601001,974.4,950.8,970.9,904.0,938.1,1091.3,1140.9,1189.5,19
19,Federal government; social contributions paid,FA316404001,1480.0,1632.2,1774.4,1796.9,1801.5,1842.4,1901.5,1981.7,20
20,Federal government; other current transfers received,FA316403105,49.7,67.2,68.1,67.1,56.1,70.7,86.1,72.7,21
21,Federal government; other current transfers paid (IMA),FA316403001,416.1,510.7,558.8,530.1,499.3,503.9,547.1,583.2,22
22,"Federal government; disposable income, net (IMA)",FA316012005,245.8,-315.1,-324.8,-238.1,-82.2,317.2,343.1,394.1,23
23,Federal government; consumption expenditures,FA316901001,879.8,933.7,1003.9,1006.1,1007.8,961.0,955.9,963.7,24
24,"Federal government; net saving including net capital transfers paid, insurance and pension fund reserves adjustment and contributions for government social insurance for U.S. affiliated areas (IMA)",FA316006085,-634.0,-1248.8,-1328.7,-1244.1,-1090.1,-643.8,-612.9,-569.7,25
25,Federal government; net saving less net capital transfers paid and including insurance and pension fund reserves adjustment and contributions for government social insurance for U.S. affiliated areas (IMA),FA316006385,-751.6,-1435.1,-1455.0,-1358.0,-1175.0,-702.0,-671.3,-621.2,26
26,"Federal government; net saving including net capital transfers paid, insurance and pension fund reserves adjustment and contributions for government social insurance for U.S. affiliated areas (IMA)",FA316006085,-634.0,-1248.8,-1328.7,-1244.1,-1090.1,-643.8,-612.9,-569.7,27
27,Federal government; net capital transfers paid,FA315440005,117.6,186.3,126.3,113.9,85.0,58.2,58.4,51.5,28
28,"Federal government; capital formation, net (IMA)",FA315050905,29.1,40.6,53.7,39.1,18.4,-2.0,-11.1,-41.1,29
29,Federal government; gross fixed investment,FA315019001,275.8,284.0,300.0,297.4,284.7,268.4,262.9,261.2,30
30,"Federal government; consumption of fixed capital, structures, equipment, and intellectual property products, current cost basis (NIPA basis)",FA316300003,226.3,234.5,245.3,257.4,264.3,268.0,271.3,271.5,31
31,Federal government; acquisition of nonproduced nonfinancial assets (net),FA315420003,-20.4,-8.9,-1.0,-0.9,-2.0,-2.4,-2.7,-30.9,32
32,Federal government; net lending (+) or borrowing (-) (capital account) (IMA),FA315000995,-780.6,-1475.7,-1508.7,-1397.1,-1193.4,-700.0,-660.3,-580.1,33
33,Federal government; net lending (+) or borrowing (-) (capital account) (IMA),FA315000995,-780.6,-1475.7,-1508.7,-1397.1,-1193.4,-700.0,-660.3,-580.1,34
34,Federal government; total financial assets,FA314090005,579.8,247.4,279.9,-148.4,118.5,217.7,172.8,252.4,35
35,Federal government; monetary gold and SDRs; asset,FA313011105,0.1,48.2,0.0,-1.8,0.0,0.0,0.0,0.0,36
36,Federal government; monetary gold; asset,FA313011205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
37,Federal government; special drawing rights (SDRs) holdings; asset,FA313011303,0.1,48.2,0.0,-1.8,0.0,0.0,0.0,0.0,38
38,Federal government; total currency and deposits; asset,FA314000005,316.0,-170.2,150.5,-239.9,11.1,65.8,57.2,103.5,39
39,Federal government; other reserves; asset,FA313011505,0.6,0.3,0.3,-0.2,0.2,0.2,0.1,0.1,40
40,Federal government; reserve position in IMF (net); asset,FA313011405,3.5,3.4,1.3,18.2,4.0,-3.4,-3.9,-6.5,41
41,Federal government; checkable deposits and currency; asset,FA313020005,313.1,-174.2,148.9,-257.6,6.7,69.6,60.8,109.9,42
42,Federal government; total time and savings deposits; asset,FA313030003,-1.3,0.3,0.1,-0.3,0.2,-0.5,0.2,0.0,43
43,Federal government; nonofficial foreign currencies; asset,FA313091105,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,44
44,Federal government; debt securities; asset,FA314022005,54.4,142.5,-46.9,-118.2,-31.3,-0.1,-0.0,-0.0,45
