,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
0,Pension funds; gross value added (IMA),FA596902505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,"Pension funds; consumption of fixed capital, structures, equipment, and intellectual property products, including noncorporate financial, current cost basis (IMA)",FA596300081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2,Pension funds; net value added (IMA),FA596902605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
3,Pension funds; compensation of employees paid (IMA),FA596025005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
4,Pension funds; wages and salaries paid (IMA),FA596020001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
5,Pension funds; employers' social contributions paid (IMA),FA596401001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
6,"Pension funds; taxes on production and imports less subsidies, payable (IMA)",FA596240101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
7,"Pension funds; operating surplus, net (IMA)",FA596402101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
8,"Pension funds; net national income/balance of primary incomes, net (IMA)",FA596140005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
9,"Pension funds; operating surplus, net (IMA)",FA596402101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
10,Pension funds; property income (received) (IMA),FA596150105,465.1,489.4,476.5,482.6,504.7,520.9,531.9,566.3,11
11,Pension funds; interest received (IMA),FA596130101,335.4,371.3,360.9,366.2,375.4,378.3,372.6,394.4,12
12,Pension funds; dividends received (IMA),FA596121101,129.7,118.0,115.6,116.4,129.3,142.6,159.3,171.9,13
13,Pension funds; reinvested earnings on U.S. direct investment abroad; received (IMA),FA593092281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
14,Pension funds; uses of property income (paid) (IMA),FA596150005,465.1,489.4,476.5,482.6,504.7,520.9,531.9,566.3,15
15,Pension funds; interest paid (IMA),FA596130001,335.4,371.3,360.9,366.2,375.4,378.3,372.6,394.4,16
16,"Pension funds; distributed income of corporations, paid (IMA)",FA596120005,129.7,118.0,115.6,116.4,129.3,142.6,159.3,171.9,17
17,Pension funds; dividends paid (IMA),FA596121001,129.7,118.0,115.6,116.4,129.3,142.6,159.3,171.9,18
18,"Pension funds; withdrawals from income of quasi-corporations, paid (IMA)(1)",FA596122001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
19,Pension funds; reinvested earnings on foreign direct investment in U.S.; paid (IMA),FA593192281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
20,Pension funds; rents on land and natural resources paid (IMA),FA596112001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
21,"Pension funds; net national income/balance of primary incomes, net (IMA)",FA596140005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
22,"Pension funds; current taxes on income, wealth, etc. paid (IMA)",FA596220001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
23,"Pension funds; other current transfers received, net (IMA)",FA596403105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,24
24,"Pension funds; disposable income, net; net saving including foreign earnings retained abroad and CCAdj (IMA)",FA596012005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,25
25,"Pension funds; disposable income, net; net saving including foreign earnings retained abroad and CCAdj (IMA)",FA596012005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,26
26,Pension funds; net saving including foreign earnings retained abroad and CCAdj less net capital transfers paid,FA596006385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,27
27,"Pension funds; disposable income, net; net saving including foreign earnings retained abroad and CCAdj (IMA)",FA596012005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,28
28,Pension funds; net capital transfers paid (IMA),FA595440083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
29,"Pension funds; capital formation, net (IMA)",FA595015085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
30,Pension funds; gross fixed capital formation (IMA),FA595013081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
31,"Pension funds; consumption of fixed capital, structures, equipment, and intellectual property products, including noncorporate financial, current cost basis (IMA)",FA596300081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
32,Pension funds; net lending (+) or borrowing (-) (capital account) (IMA),FA595000995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,33
33,"Pension funds; other current transfers received, net (IMA)",FA596403105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,34
34,"Pension funds; other current transfers received, contributions received (IMA)",FA596403115,1162.5,1183.2,1206.1,1227.0,1269.9,1310.1,1342.8,1406.2,35
35,"Pension funds; other current transfers received, claims on pension benefits (IMA)",FA596403125,700.2,697.3,734.2,749.1,770.3,794.9,817.1,846.3,36
36,"Pension funds; other current transfers received, actual employer contributions (IMA)",FA596403133,453.3,467.0,503.5,525.8,539.1,549.2,560.2,559.4,37
37,"Pension funds; other current transfers received, imputed employer contributions (IMA)",FA596403143,-5.8,-22.9,-30.1,-51.5,-59.1,-61.7,-63.5,-48.1,38
38,"Pension funds; other current transfers received, actual household contributions (IMA)",FA596403153,273.3,271.0,280.5,295.2,311.9,330.4,345.1,361.3,39
39,"Pension funds; other current transfers paid, pension service charges for defined benefit pension plans (IMA)",FA596403013,20.6,17.9,19.7,20.3,21.6,23.0,24.7,26.3,40
40,"Pension funds; other current transfers received, household pension contribution supplements (IMA)",FA596403163,465.1,489.4,476.5,482.6,504.7,520.9,531.9,566.3,41
41,"Pension funds; other current transfers paid, pension service charges for defined contribution pension plans (IMA)",FA596403023,2.8,3.4,4.5,4.8,5.1,5.7,6.2,6.4,42
42,"Pension funds; other current transfers paid, benefit payments and withdrawals (IMA)",FA596403033,766.4,762.2,831.7,864.7,945.5,1052.2,1122.4,1209.0,43
43,"Pension funds; other current transfers paid, net change in benefit entitlements from defined benefit plans (IMA)",FA596403043,211.9,231.4,221.7,207.2,177.2,130.9,98.2,95.5,44
44,"Pension funds; other current transfers paid, net change in assets from current transactions for defined contribution plans (IMA)",FA596403053,184.1,189.6,152.7,155.1,147.2,126.9,122.2,101.7,45
45,Pension funds; net lending (+) or borrowing (-) (capital account) (IMA),FA595000995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,46
46,Pension funds; total financial assets,FA594090005,364.3,535.2,533.4,413.9,447.9,455.3,273.9,381.8,47
47,Pension funds; total currency and deposits; asset,FA594000005,-9.3,0.8,7.8,9.7,-8.9,6.9,8.7,2.6,48
48,Pension funds; checkable deposits and currency; asset,FA593020005,-5.7,-2.7,2.6,5.7,-2.3,-0.1,3.6,1.0,49
49,Pension funds; total time and savings deposits; asset,FA593030005,-3.6,3.5,5.1,4.0,-6.7,7.0,5.1,1.6,50
50,Pension funds; debt securities; asset,FA594022005,69.8,-9.3,216.0,176.1,196.2,287.4,128.4,131.9,51
51,Pension funds; commercial paper; asset,FA593069105,-5.9,2.2,3.9,4.5,-7.8,7.9,5.4,3.3,52
52,Pension funds; Treasury securities; asset,FA593061105,79.5,118.4,113.8,139.7,128.2,124.3,75.8,106.3,53
53,Pension funds; agency- and GSE-backed securities; asset(2),FA593061705,-31.6,-11.0,9.7,-35.2,-21.2,-4.7,-7.1,-15.2,54
54,State and local government employee defined benefit retirement funds; municipal securities; asset,FA223062043,-0.1,0.1,0.7,-0.6,-0.0,1.0,-0.2,-0.2,55
55,Pension funds; corporate and foreign bonds; asset,FA593063005,28.0,-119.0,87.8,67.7,97.0,158.9,54.4,37.7,56
56,Pension funds; total loans including security repurchase agreements; asset,FA594035005,-11.9,-5.1,2.6,-5.0,-0.4,-0.6,2.7,-3.4,57
57,Pension funds; security repurchase agreements; asset,FA592051005,-1.1,-0.0,0.1,0.1,-0.6,0.6,0.5,-0.2,58
58,Pension funds; total mortgages; asset,FA593065005,-10.8,-5.1,2.5,-5.2,0.2,-1.2,2.2,-3.2,59
59,Pension funds; equity and investment fund shares; asset (IMA),FA593081005,64.9,15.0,0.1,-151.4,-122.8,-213.3,-256.9,-133.6,60
60,Pension funds; corporate equities; asset,FA593064105,40.2,-57.1,-47.1,-151.6,-104.0,-377.6,-312.6,-179.1,61
61,Pension funds; mutual fund shares; asset,FA593064205,20.3,87.4,56.6,-15.8,2.1,148.3,51.8,49.8,62
62,Pension funds; money market mutual fund shares; asset,FA593034005,4.4,-15.3,-9.4,16.0,-20.8,16.0,3.8,-4.3,63
63,Pension funds; retirement entitlements; asset (IMA),FA593052025,270.7,510.5,274.0,337.8,350.0,332.8,351.3,335.4,64
