,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
0,Private depository institutions; gross value added (IMA),FA706902505,304.4,282.1,261.2,238.5,274.2,289.9,300.8,343.5,1
1,"Private depository institutions; consumption of fixed capital, structures, equipment, and intellectual property products, including noncorporate financial, current cost basis (IMA)",FA706300081,31.9,32.1,31.8,31.8,32.3,32.6,32.7,32.5,2
2,Private depository institutions; net value added (IMA),FA706902605,272.5,250.0,229.4,206.8,241.9,257.3,268.1,311.0,3
3,Private depository institutions; compensation of employees paid (IMA),FA706025005,132.9,147.3,151.0,158.8,167.5,170.8,169.6,180.3,4
4,Private depository institutions; wages and salaries paid (IMA),FA706020001,111.7,125.3,128.3,134.3,143.1,146.0,144.7,154.1,5
5,Private depository institutions; employers' social contributions paid (IMA),FA706401001,21.2,22.0,22.7,24.5,24.4,24.8,24.9,26.2,6
6,"Private depository institutions; taxes on production and imports less subsidies, payable (IMA)",FA706240101,8.4,9.4,9.4,9.6,10.0,10.4,11.0,11.2,7
7,"Private depository institutions; operating surplus, net (IMA)",FA706402101,131.2,93.4,68.9,38.4,64.4,76.1,87.5,119.5,8
8,"Private depository institutions; net national income/balance of primary incomes, net (IMA)",FA706140005,132.6,178.7,180.7,124.7,117.5,133.8,120.7,124.8,9
9,"Private depository institutions; operating surplus, net (IMA)",FA706402101,131.2,93.4,68.9,38.4,64.4,76.1,87.5,119.5,10
10,Private depository institutions; property income (received) (IMA),FA706150105,408.2,410.6,412.5,380.9,346.9,320.9,308.9,317.6,11
11,Private depository institutions; interest received (IMA),FA706130101,392.9,393.7,388.7,357.1,326.6,299.1,287.8,298.7,12
12,Private depository institutions; dividends received (IMA),FA706121101,2.8,1.9,2.1,2.1,2.2,2.4,2.7,3.0,13
13,Private depository institutions; reinvested earnings on U.S. direct investment abroad; received (IMA),FA703092281,12.5,15.0,21.7,21.7,18.1,19.3,18.3,15.9,14
14,Private depository institutions; uses of property income (paid) (IMA),FA706150005,406.8,325.2,300.7,294.6,293.8,263.2,275.6,312.3,15
15,Private depository institutions; interest paid (IMA),FA706130001,354.3,277.0,243.9,212.4,191.9,173.8,179.5,203.1,16
16,"Private depository institutions; distributed income of corporations, paid (IMA)",FA706120005,50.9,47.3,54.1,77.9,96.2,84.0,89.8,104.3,17
17,Private depository institutions; dividends paid (IMA),FA706121001,50.6,47.1,53.9,77.8,96.0,83.9,89.8,104.3,18
18,"Private depository institutions; withdrawals from income of quasi-corporations, paid (IMA)(1)",FA706122001,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,19
19,Private depository institutions; reinvested earnings on foreign direct investment in U.S.; paid (IMA),FA703192281,1.7,0.9,2.8,4.3,5.7,5.4,6.3,4.8,20
20,Private depository institutions; rents on land and natural resources paid (IMA),FA706112001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
21,"Private depository institutions; net national income/balance of primary incomes, net (IMA)",FA706140005,132.6,178.7,180.7,124.7,117.5,133.8,120.7,124.8,22
22,"Private depository institutions; current taxes on income, wealth, etc. paid (IMA)",FA706220001,15.8,2.7,18.7,23.5,30.5,26.6,41.0,46.9,23
23,Private depository institutions; other current transfers paid (IMA),FA706403001,4.2,4.3,4.5,5.6,6.2,6.8,7.5,8.2,24
24,"Private depository institutions; disposable income, net; net saving including foreign earnings retained abroad and CCAdj (IMA)",FA706012005,112.6,171.7,157.5,95.6,80.8,100.3,72.2,69.8,25
25,"Private depository institutions; disposable income, net; net saving including foreign earnings retained abroad and CCAdj (IMA)",FA706012005,112.6,171.7,157.5,95.6,80.8,100.3,72.2,69.8,26
26,Private depository institutions; net saving including foreign earnings retained abroad and CCAdj less net capital transfers paid (IMA),FA706006385,155.4,189.8,157.5,95.9,80.8,100.3,72.2,69.8,27
27,"Private depository institutions; disposable income, net; net saving including foreign earnings retained abroad and CCAdj (IMA)",FA706012005,112.6,171.7,157.5,95.6,80.8,100.3,72.2,69.8,28
28,Private depository institutions; net capital transfers paid (IMA),FA705440083,-42.8,-18.0,0.0,-0.3,0.0,0.0,0.0,0.0,29
29,"Private depository institutions; capital formation, net (IMA)",FA705015085,3.8,-0.1,-4.6,-5.0,-3.6,-5.8,-4.8,-2.2,30
30,Private depository institutions; gross fixed capital formation (IMA),FA705013081,35.6,32.0,27.2,26.8,28.8,26.8,27.9,30.4,31
31,"Private depository institutions; consumption of fixed capital, structures, equipment, and intellectual property products, including noncorporate financial, current cost basis (IMA)",FA706300081,31.9,32.1,31.8,31.8,32.3,32.6,32.7,32.5,32
32,Private depository institutions; net lending (+) or borrowing (-) (capital account) (IMA),FA705000995,151.6,189.8,162.2,100.9,84.4,106.1,77.0,72.0,33
33,Private depository institutions; net lending (+) or borrowing (-) (capital account) (IMA),FA705000995,151.6,189.8,162.2,100.9,84.4,106.1,77.0,72.0,34
34,Private depository institutions; total financial assets,FA704090005,1198.4,-699.2,-193.2,840.5,500.1,993.4,972.1,518.7,35
35,Private depository institutions; total currency and deposits; asset,FA704000005,836.6,114.6,-12.6,600.4,-63.0,757.4,129.5,-402.8,36
36,Private depository institutions; vault cash; asset,FA703025005,2.7,-2.8,-2.2,8.1,7.1,2.6,2.0,-1.4,37
37,Monetary authority; depository institution reserves; liability,FA713113003,839.2,117.0,-8.9,594.2,-71.2,758.0,128.9,-400.8,38
38,Government-sponsored enterprises; U.S.-chartered depository institutions deposits at Federal Home Loan Banks; liability,FA403197033,-5.4,0.4,-1.5,-1.8,1.2,-3.2,-1.5,-0.5,39
39,Private depository institutions; debt securities; asset,FA704022005,117.7,117.2,146.1,138.0,190.4,46.3,216.7,203.3,40
40,Private depository institutions; open market paper; asset,FA703069175,15.3,-15.7,0.0,0.0,0.0,0.0,0.0,0.0,41
41,Private depository institutions; Treasury securities; asset,FA703061105,-20.8,94.7,103.0,-46.7,86.6,-35.1,195.4,36.8,42
42,Private depository institutions; agency- and GSE-backed securities; asset(2),FA703061705,142.2,172.6,138.5,133.6,49.7,42.4,26.2,155.2,43
43,Private depository institutions; municipal securities; asset,FA703062005,20.4,3.4,29.3,46.8,68.0,55.1,31.0,47.4,44
44,Private depository institutions; corporate and foreign bonds; asset,FA703063005,-39.3,-137.8,-124.7,4.3,-13.8,-16.2,-35.9,-36.0,45
45,Private depository institutions; total loans including security repurchase agreements; asset,FA704035005,179.5,-969.8,-258.5,165.4,389.2,162.8,589.4,701.2,46
46,"Private depository institutions; loans including security repurchase agreements, excluding mortgages; asset",FA704041005,141.3,-790.4,-101.3,271.3,367.5,173.8,439.5,445.5,47
47,Private depository institutions; total mortgages; asset,FA703065005,38.3,-179.4,-157.2,-105.8,21.7,-11.0,149.9,255.7,48
48,Private depository institutions; equity and investment fund shares; asset (IMA),FA703081005,17.0,24.0,-7.2,-10.7,-14.6,1.4,4.0,1.7,49
49,Private depository institutions; corporate equities; asset,FA703064105,0.9,6.3,-1.7,0.9,-10.5,0.8,0.7,2.0,50
50,Private depository institutions; mutual fund shares; asset,FA703064205,2.2,13.6,-5.8,-0.4,-0.9,1.1,-0.9,-1.0,51
51,Private depository institutions; equity in FHLB; asset(2),FA703092405,-6.2,0.3,-3.2,-5.4,-2.1,-1.1,-0.0,-0.9,52
52,U.S.-chartered depository institutions; U.S. direct investment abroad; asset,FA763092000,17.6,-0.8,2.7,-6.2,-1.6,0.4,3.2,0.8,53
53,Monetary authority; Federal Reserve bank stock; liability,FA713164003,2.6,4.6,0.9,0.4,0.5,0.1,1.1,0.9,54
54,U.S.-chartered depository institutions; life insurance reserves; asset,FA763040005,6.4,0.8,4.5,5.2,7.4,5.7,5.9,6.5,55
55,Private depository institutions; unidentified miscellaneous assets,FA703093005,41.1,14.0,-65.4,-57.9,-9.3,19.8,26.5,8.7,56
56,Private depository institutions; total liabilities,FA704190005,1116.1,-384.7,-169.3,854.8,569.9,947.0,1096.8,453.2,57
57,Private depository institutions; total currency and deposits excluding Federal Reserve loans to domestic banks; liability,FA704100005,881.3,265.4,161.7,979.0,595.8,970.8,696.3,366.5,58
58,Private depository institutions; checkable deposits; liability,FA703127005,140.2,109.7,81.3,356.7,205.6,193.1,198.8,87.8,59
59,Private depository institutions; other deposits including time and savings deposits; liabilty (IMA),FA703130205,741.1,155.7,80.4,622.3,390.2,777.7,497.5,278.8,60
60,Private depository institutions; debt securities; liability,FA704122005,0.1,-28.3,-69.3,10.0,-115.4,-102.7,-17.2,-9.3,61
61,U.S.-chartered depository institutions; corporate and foreign bonds; liability,FA763163005,0.1,-28.5,-49.2,2.4,-82.3,-74.9,-12.0,-8.4,62
62,Private depository institutions; open market paper; liability,FA703169175,0.0,0.1,-20.2,7.6,-33.1,-27.8,-5.2,-0.9,63
63,Private depository institutions; short-term loans including security repurchase agreements; liability,FA704141005,350.7,-875.5,-239.0,-89.8,-26.6,-17.6,92.0,35.6,64
64,Private depository institutions; equity and investment fund shares excluding mutual fund shares and money market fund shares; liability (IMA),FA703181105,186.1,121.4,26.1,74.8,88.7,67.7,179.8,54.8,65
65,U.S.-chartered depository institutions; corporate equities; liability,FA763164103,12.1,11.6,11.9,6.4,1.6,2.2,2.7,9.5,66
66,Foreign banking offices in the U.S.; foreign direct investment in the U.S.; liability,FA753192003,24.8,16.6,12.4,26.0,-2.3,8.8,1.5,1.1,67
67,Private depository institutions; investment by parent companies; liability,FA703194005,149.3,93.2,1.8,42.4,89.4,56.7,175.6,44.3,68
68,Private depository institutions; other accounts payable; liability (IMA),FA703196005,-302.2,132.4,-48.8,-119.3,27.4,28.8,145.8,5.5,69
69,Private depository institutions; net lending (+) or borrowing (-) (financial account),FA705000005,82.3,-314.5,-23.8,-14.3,-69.8,46.4,-124.7,65.5,70
70,Private depository institutions; total other volume changes (IMA),FV708090185,-67.3,-711.7,-219.6,-144.4,-302.8,-98.6,-209.2,-4.4,71
71,Private depository institutions; nonfinancial assets (does not include land),FV702010095,-0.3,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,72
72,Private depository institutions; other volume changes (IMA),FV708090085,2.2,-207.3,-33.6,-29.3,-148.1,-38.8,-7.4,2.1,73
73,Private depository institutions; statistical discrepancy (IMA)(3),FU707005045,69.3,504.4,186.0,115.2,154.2,59.8,201.8,6.4,74
74,Private depository institutions; nonfinancial assets (does not include land),FR702010095,8.3,-29.1,-8.7,9.8,3.6,9.0,6.9,4.6,75
75,"Private depository institutions; nonresidential structures, current cost basis",FR705013665,11.8,-16.2,-1.5,9.1,3.8,8.0,6.2,4.9,76
76,"Private depository institutions; nonresidential equipment, current cost basis",FR705013265,-1.1,-7.5,-3.6,0.8,-0.1,0.9,0.9,-0.2,77
77,"Private depository institutions; nonresidential intellectual property products, current cost basis",FR705013765,-2.5,-5.4,-3.5,-0.0,-0.1,0.1,-0.3,-0.0,78
78,Private depository institutions; revaluation of equity and investment fund shares; asset (IMA),FR703081085,-34.4,96.7,32.4,-11.2,26.1,31.2,-1.7,-23.2,79
79,Private depository institutions; corporate equities; asset,FR703064105,-55.8,23.5,11.7,-7.2,14.4,29.1,6.6,-10.5,80
80,Private depository institutions; mutual fund shares; asset,FR703064205,-12.2,12.2,4.9,-2.6,5.5,10.9,2.6,-3.9,81
81,U.S.-chartered depository institutions; U.S. direct investment abroad; asset,FR763092000,33.6,61.0,15.7,-1.4,6.1,-8.8,-10.8,-8.7,82
82,Private depository institutions; equity and investment fund shares excluding mutual fund shares and money market fund shares; liability (IMA),FR703181105,-561.6,5.6,59.5,-138.8,189.1,212.4,70.5,-10.9,83
83,U.S.-chartered depository institutions; corporate equities; liability,FR763164103,-514.3,-13.8,59.5,-169.3,157.6,212.2,84.0,-5.0,84
84,Foreign banking offices in the U.S.; foreign direct investment in the U.S.; liability,FR753192003,-47.3,19.5,-0.1,30.5,31.6,0.2,-13.6,-5.9,85
85,Private depository institutions; investment by parent companies; liability,FR703194005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86
