, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,All sectors; total loans; liability,FA894123005,976.8,821.8,997.9,476.1,937.9,1235.6,973.6,1190.7,591.7,1
1,Domestic financial sectors; depository institution loans n.e.c.; asset,FA793068005,320.0,280.6,153.6,180.4,248.7,424.2,155.6,168.8,-134.1,2
2,All sectors; other loans and advances; liability,FA893169005,234.9,-70.0,95.4,-332.1,32.5,233.1,87.5,147.8,-87.1,3
3,All sectors; total mortgages; asset,FA893065005,200.1,378.5,519.9,383.8,440.4,381.6,501.5,612.6,584.1,4
4,All sectors; home mortgages; asset,FA893065105,40.4,142.9,266.5,150.9,181.5,166.9,260.8,318.1,320.0,5
5,All sectors; multifamily residential mortgages; asset,FA893065405,58.2,94.5,106.1,86.2,111.4,103.0,95.2,108.8,117.2,6
6,All sectors; commercial mortgages; asset,FA893065505,89.9,129.1,131.8,134.6,135.4,96.1,130.1,170.0,131.1,7
7,All sectors; farm mortgages; asset,FA893065603,11.6,12.0,15.6,12.1,12.1,15.5,15.5,15.7,15.7,8
8,Households and nonprofit organizations; consumer credit; liability,FA153166000,221.8,232.7,229.0,244.1,216.3,196.7,228.9,261.4,228.8,9
9,All sectors; total loans; liability,FA894123005,976.8,821.8,997.9,476.1,937.9,1235.6,973.6,1190.7,591.7,10
10,Domestic nonfinancial sectors; loans; liability,FA384123005,796.7,795.8,953.5,467.5,1019.9,968.1,820.5,1179.8,845.7,11
11,Households and nonprofit organizations; loans; liability,FA154123005,415.2,391.9,524.5,195.9,537.2,332.8,624.3,581.2,559.6,12
12,Nonfinancial corporate business; loans; liability,FA104123005,97.3,100.2,124.1,29.5,88.9,297.4,-97.9,287.6,9.0,13
13,Nonfinancial noncorporate business; loans; liability,FA114123005,283.9,303.4,304.0,242.4,392.9,337.1,293.8,311.9,273.5,14
14,Federal government; multifamily residential mortgages; liability,FA313165403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
15,"State and local governments, excluding employee retirement funds; U.S. government loans; liability",FA213169203,0.4,0.3,0.9,-0.3,0.8,0.8,0.2,-0.9,3.6,16
16,Domestic financial sectors; loans; liability,FA794123005,149.2,2.6,60.1,11.5,-96.0,264.3,155.6,36.4,-216.0,17
17,U.S.-chartered depository institutions; FHLB advances and Sallie Mae loans; liability,FA763169305,58.2,30.4,68.7,-21.4,96.4,64.8,140.6,45.3,23.9,18
18,Credit unions; FHLB advances; liability,FA473169333,8.4,9.3,2.0,19.8,-0.9,-6.9,6.2,7.6,1.3,19
19,Property-casualty insurance companies; FHLB advances; liability,FA513169333,0.1,0.2,1.0,0.0,0.9,-0.3,4.9,1.1,-1.6,20
20,"Life insurance companies, general accounts; FHLB advances; liability",FA543169373,1.8,6.2,9.6,4.1,3.5,10.0,18.4,9.1,1.0,21
21,Government-sponsored enterprises; U.S. government loans to Sallie Mae; liability,FA403169283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
22,Finance companies; loans; liability,FA614123005,10.2,15.3,-0.0,2.8,8.3,21.3,-11.7,2.4,-12.1,23
23,Real estate investment trusts; loans; liability,FA644123005,21.3,29.2,-23.4,57.8,-24.3,-0.4,-30.7,-35.7,-26.6,24
24,Security brokers and dealers; loans; liability,FA664123005,65.4,-49.3,8.1,-16.5,-86.7,156.6,48.3,-88.8,-83.7,25
25,Holding companies; depository institution loans n.e.c.; liability,FA733168003,-16.3,-38.7,-6.0,-35.1,-93.2,19.2,-20.4,95.3,-118.2,26
26,Funding corporations; loans; liability,FA504123005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
27,Rest of the world; loans; liability,FA264123005,30.9,23.4,-15.7,-2.8,14.0,3.2,-2.5,-25.5,-38.0,28
28,All sectors; total loans; liability,FA894123005,976.8,821.8,997.9,476.1,937.9,1235.6,973.6,1190.7,591.7,29
29,Domestic nonfinancial sectors; loans; asset,FA384023005,168.0,60.6,109.5,89.1,6.8,278.0,105.8,17.9,36.4,30
30,Households and nonprofit organizations; loans; asset,FA154023005,45.6,-61.6,-7.4,-16.6,-115.6,163.5,-1.0,-104.8,-87.1,31
31,Nonfinancial corporate business; loans; asset,FA104023005,2.9,1.2,1.2,5.5,-11.6,2.5,1.8,6.1,-5.7,32
32,Nonfinancial noncorporate business; loans; asset,FA114023005,-0.4,2.4,2.4,1.8,3.1,2.7,2.2,2.5,2.1,33
33,Federal government; loans; asset,FA314023005,114.5,105.6,105.6,82.2,114.9,104.0,97.0,99.8,121.4,34
34,"State and local governments, excluding employee retirement funds; total mortgages; asset",FA213065005,5.4,13.1,7.8,16.2,16.0,5.3,5.8,14.2,5.7,35
35,Domestic financial sectors; loans; asset,FA794023005,777.8,724.3,881.8,353.4,860.3,938.7,939.5,1136.6,512.4,36
36,Monetary authority; depository institution loans n.e.c.; asset,FA713068005,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
37,U.S.-chartered depository institutions; loans; asset,FA764023005,439.2,527.4,486.6,465.2,615.1,679.4,514.9,511.7,240.2,38
38,Foreign banking offices in the U.S.; loans; asset,FA754023005,74.7,78.1,23.2,54.1,73.0,55.3,89.0,16.8,-68.4,39
39,Banks in U.S.-affiliated areas; loans; asset,FA744023003,-4.3,-5.8,-1.9,-2.6,-1.0,-1.9,-2.7,-1.5,-1.6,40
40,Credit unions; loans; asset,FA474023000,69.2,76.3,87.8,78.1,74.1,50.1,72.1,124.7,104.3,41
41,Property-casualty insurance companies; commercial mortgages; asset,FA513065503,2.0,2.4,3.4,2.3,3.4,2.8,3.0,4.1,3.9,42
42,Life insurance companies; loans; asset,FA544023005,29.5,39.5,31.2,34.5,57.7,46.4,31.4,31.9,15.0,43
43,Private pension funds; total mortgages; asset,FA573065005,1.7,-2.8,0.0,-1.7,-1.3,0.4,-0.1,-0.4,0.2,44
44,State and local government employee defined benefit retirement funds; total mortgages; asset,FA223065043,0.6,-0.4,-3.2,-1.9,-1.3,-5.1,0.0,-6.2,-1.5,45
45,Mutual funds; syndicated loans to nonfinancial corporate business; asset,FA653069803,9.4,-15.6,18.6,-50.9,-11.0,22.1,-19.5,30.4,41.4,46
46,Government-sponsored enterprises; loans; asset,FA404023005,88.5,139.1,192.3,140.0,168.5,104.1,244.5,145.8,274.9,47
47,Agency-and GSE-backed mortgage pools; total mortgages; asset,FA413065005,75.0,126.9,157.4,176.5,196.2,136.4,158.7,131.8,202.4,48
48,Issuers of asset-backed securities; loans; asset,FA674023005,-63.1,-64.1,-77.2,-144.5,-112.8,-68.5,-139.2,-6.4,-94.6,49
49,Finance companies; loans; asset,FA614023005,6.5,-17.2,-37.8,12.6,-81.2,-73.5,-28.8,-6.4,-42.5,50
50,Real estate investment trusts; total mortgages; asset,FA643065005,19.9,-29.4,8.2,-45.2,-50.6,40.0,-7.7,42.1,-41.6,51
51,Security brokers and dealers; other loans and advances; asset,FA663069005,38.5,-90.1,-8.4,-297.4,-12.8,-63.6,19.9,119.9,-109.8,52
52,Holding companies; other loans and advances; asset,FA733069005,-10.9,-40.9,-1.4,-69.7,-54.9,-3.0,-4.8,9.9,-7.6,53
53,Funding corporations; syndicated loans to nonfinancial corporate business; asset,FA503069805,1.5,0.8,3.0,4.0,-0.9,17.4,8.8,-11.6,-2.4,54
54,Rest of the world; U.S. nonfinancial business loans; asset,FA263069500,30.9,36.9,6.6,33.6,70.8,18.9,-71.8,36.1,42.9,55
