, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,"Banks in U.S.-affiliated areas; consumption of fixed capital, nonresidential structures, equipment, and intellectual property products, current cost basis (gross saving)",FA746330005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1
1,"Banks in U.S.-affiliated areas; gross fixed investment, nonresidential structures, equipment, and intellectual property products",FA745013005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2
2,Banks in U.S.-affiliated areas; total financial assets,FA744090005,7.3,-3.4,6.0,-6.0,-3.7,19.5,-12.8,-6.6,23.9,3
3,Banks in U.S.-affiliated areas; debt securities; asset,FA744022003,-1.2,0.8,1.2,-0.0,1.9,-0.4,3.0,-1.3,3.8,4
4,Banks in U.S.-affiliated areas; Treasury securities; asset,FA743061103,0.2,1.1,0.8,1.5,0.8,0.3,1.4,-0.7,2.3,5
5,Banks in U.S.-affiliated areas; agency- and GSE-backed securities; asset,FA743061703,-0.1,0.1,-0.3,0.0,-0.0,-1.2,-0.1,-0.1,0.2,6
6,Banks in U.S.-affiliated areas; municipal securities; asset,FA743062003,-0.9,-0.6,-0.4,-1.1,-0.4,-0.6,-0.0,-0.7,-0.3,7
7,Banks in U.S.-affiliated areas; corporate and foreign bonds; asset,FA743063005,-0.4,0.2,1.1,-0.5,1.6,1.1,1.7,0.2,1.6,8
8,Banks in U.S.-affiliated areas; loans; asset,FA744023003,-4.3,-5.8,-1.9,-2.6,-1.0,-1.9,-2.7,-1.5,-1.6,9
9,Banks in U.S.-affiliated areas; depository institution loans n.e.c.; asset,FA743068005,-2.3,-2.0,-1.2,-1.6,-0.1,-1.9,-1.2,-1.0,-0.6,10
10,Banks in U.S.-affiliated areas; home mortgages; asset,FA743065103,-1.5,-1.5,-0.7,-0.8,-0.9,-0.6,-0.9,-0.6,-0.7,11
11,Banks in U.S.-affiliated areas; commercial mortgages; asset,FA743065505,-0.5,-2.2,-0.0,-0.2,0.0,0.7,-0.6,0.1,-0.3,12
12,Banks in U.S.-affiliated areas; unidentified miscellaneous assets,FA743093005,12.8,1.5,6.6,-3.4,-4.6,21.8,-13.1,-3.8,21.7,13
13,Banks in U.S.-affiliated areas; total liabilities,FA744190005,7.1,-3.4,7.0,-9.8,-4.7,22.7,-12.4,-1.4,19.2,14
14,Banks in U.S.-affiliated areas; net interbank transactions; liability,FA744110005,-0.6,0.2,-0.9,3.2,1.4,-2.8,-0.4,-5.4,5.0,15
15,Banks in U.S.-affiliated areas; checkable deposits; liability,FA743127003,5.2,1.6,5.7,-1.6,-1.4,13.5,-3.8,4.2,9.0,16
16,Banks in U.S.-affiliated areas; total time and savings deposits; liability,FA743130003,4.1,-2.9,2.5,-4.3,-2.7,10.5,-8.0,-3.5,10.9,17
17,Banks in U.S.-affiliated areas; unidentified miscellaneous liabilities,FA743193005,-1.6,-2.3,-0.3,-7.0,-2.0,1.6,-0.2,3.3,-5.8,18
18,Banks in U.S.-affiliated areas; sector discrepancy,FA747005005,-0.2,0.1,1.0,-3.8,-0.9,3.2,0.4,5.3,-4.7,19
19,Banks in U.S.-affiliated areas; uninsured checkable and time and savings deposits; liability(2),FA743139105,2.2,0.7,4.2,-0.6,0.3,6.2,-0.1,6.5,4.4,20
