, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Money market mutual funds; total financial assets,FA634090005,6.8,30.1,-26.6,43.4,118.0,257.0,-94.7,-266.1,-2.6,1
1,Money market mutual funds; total financial assets,FA634090005,6.8,30.1,-26.6,43.4,118.0,257.0,-94.7,-266.1,-2.6,2
2,Households and nonprofit organizations; money market mutual fund shares; asset,FA153034005,-25.6,-44.3,-45.2,-139.3,19.0,110.9,-30.5,-253.0,-8.3,3
3,Nonfinancial corporate business; money market mutual fund shares; asset,FA103034003,-0.9,18.6,6.3,50.2,72.2,-8.8,9.7,-7.2,31.3,4
4,Nonfinancial noncorporate business; money market mutual fund shares; asset,FA113034003,2.9,5.9,5.9,4.5,7.6,6.6,5.5,6.3,5.3,5
5,"State and local governments, excluding employee retirement funds; money market mutual fund shares; asset",FA213034003,5.9,12.1,5.9,14.9,14.8,3.8,4.3,11.1,4.4,6
6,Property-casualty insurance companies; money market mutual fund shares; asset,FA513034003,-1.8,3.2,-2.5,4.1,3.3,-4.2,1.5,-4.9,-2.2,7
7,Life insurance companies; money market mutual fund shares; asset,FA543034005,3.9,2.6,-0.3,44.3,-22.4,9.0,-14.4,3.3,0.9,8
8,Private pension funds; money market mutual fund shares; asset,FA573034005,0.9,-4.6,4.7,10.1,-0.6,8.8,2.2,2.1,5.6,9
9,State and local government employee retirement funds; money market mutual fund shares; asset,FA223034005,2.9,0.3,0.2,-6.4,2.4,-12.2,7.2,5.2,0.7,10
10,Funding corporations; money market mutual fund shares; asset,FA503034003,13.4,35.1,-0.5,52.2,7.2,142.3,-69.1,-25.5,-49.8,11
11,Rest of the world; U.S. money market mutual fund shares; asset,FA263034003,5.1,1.3,-1.1,8.7,14.5,0.7,-11.1,-3.4,9.4,12
