,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
0,Nonfinancial noncorporate business; gross value added,FA116902505,2632.4,2466.4,2546.2,2751.6,2909.8,3020.8,3177.2,3305.5,1
1,"Nonfinancial noncorporate business; consumption of fixed capital, structures, equipment, and intellectual property products, current cost basis",FA116300001,254.5,253.0,251.8,265.0,273.0,284.4,298.6,308.7,2
2,Nonfinancial noncorporate business; net value added,FA116902605,2378.0,2213.4,2294.4,2486.6,2636.8,2736.4,2878.7,2996.8,3
3,Nonfinancial noncorporate business; compensation of employees paid,FA116025001,843.4,805.4,816.6,845.9,892.6,920.5,967.8,1019.6,4
4,Nonfinancial noncorporate business; wages and salaries paid,FA116020001,712.1,675.0,684.6,713.1,752.7,775.7,818.3,864.0,5
5,Nonfinancial noncorporate business; employers' social contributions paid,FA116401005,131.3,130.4,131.9,132.8,139.9,144.8,149.5,155.6,6
6,"Nonfinancial noncorporate business; taxes on production and imports less subsidies, payable",FA116240101,157.9,145.4,150.7,158.7,167.5,176.6,188.0,191.8,7
7,"Nonfinancial noncorporate business; operating surplus, net",FA116402105,1376.7,1262.6,1327.1,1482.0,1576.7,1639.3,1722.9,1785.4,8
8,"Nonfinancial noncorporate business; net national income/balance of primary incomes, net",FA116140001,15.0,21.0,23.0,25.5,27.3,29.8,29.4,25.6,9
9,"Nonfinancial noncorporate business; operating surplus, net",FA116402105,1376.7,1262.6,1327.1,1482.0,1576.7,1639.3,1722.9,1785.4,10
10,Nonfinancial noncorporate business; interest received,FA116130101,13.6,9.4,8.4,9.1,10.6,9.7,12.3,18.2,11
11,Nonfinancial noncorporate business; uses of property income (paid),FA116150005,1375.3,1251.0,1312.5,1465.5,1560.1,1619.3,1705.8,1778.0,12
12,Nonfinancial noncorporate business; interest paid,FA116130001,263.1,242.7,237.9,226.9,226.1,216.8,221.8,244.0,13
13,"Nonfinancial noncorporate business; withdrawals from income of quasi-corporations, paid(1)",FA116122001,1112.2,1008.3,1074.5,1238.4,1333.8,1402.3,1483.8,1533.7,14
14,Nonfinancial noncorporate business; reinvested earnings on foreign direct investment in U.S.; paid,FA113192281,0.1,0.0,0.1,0.2,0.2,0.2,0.2,0.3,15
15,Nonfinancial noncorporate business; rents on land and natural resources paid,FA116112001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
16,"Nonfinancial noncorporate business; net national income/balance of primary incomes, net",FA116140001,15.0,21.0,23.0,25.5,27.3,29.8,29.4,25.6,17
