, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,State and local government employee retirement funds; total financial assets(1),FL224090005,5559.4,5819.5,6096.9,5740.3,5819.5,5893.1,5962.9,6036.5,6096.9,1
1,State and local government employee defined benefit retirement funds; checkable deposits and currency; asset,FL223020043,4.4,4.5,4.6,4.5,4.5,4.2,4.4,4.6,4.6,2
2,State and local government employee defined benefit retirement funds; total time and savings deposits; asset,FL223030045,37.9,38.1,39.3,38.4,38.1,36.4,37.9,39.1,39.3,3
3,State and local government employee retirement funds; money market mutual fund shares; asset,FL223034005,51.6,51.9,52.1,51.3,51.9,48.8,50.6,51.9,52.1,4
4,State and local government employee defined benefit retirement funds; security repurchase agreements; asset,FL222051043,3.6,3.6,3.7,3.6,3.6,3.4,3.6,3.7,3.7,5
5,State and local government employee defined benefit retirement funds retirement funds; debt securities; asset,FL224022045,836.4,855.7,915.4,847.2,855.7,870.2,890.1,910.1,915.4,6
6,State and local government employee defined benefit retirement funds; commercial paper; asset,FL223069143,41.3,41.5,42.9,41.9,41.5,39.6,41.3,42.6,42.9,7
7,State and local government employee defined benefit retirement funds; Treasury securities; asset,FL223061143,181.3,174.8,187.4,173.5,174.8,175.6,182.2,187.3,187.4,8
8,State and local government employee defined benefit retirement funds; agency- and GSE-backed securities; asset,FL223061743,102.2,95.5,101.9,95.1,95.5,95.9,99.6,102.4,101.9,9
9,State and local government employee defined benefit retirement funds; municipal securities; asset,FL223062043,2.2,2.0,2.1,2.0,2.0,2.4,2.4,2.1,2.1,10
10,State and local government employee defined benefit retirement funds; corporate and foreign bonds; asset,FL223063045,509.3,541.9,581.1,534.6,541.9,556.7,564.4,575.6,581.1,11
11,State and local government employee defined benefit retirement funds; total mortgages; asset,FL223065043,10.0,9.6,6.4,9.9,9.6,8.3,8.3,6.8,6.4,12
12,State and local government employee defined benefit retirement funds; corporate equities; asset,LM223064145,2257.8,2157.2,2277.3,2057.7,2157.2,2155.1,2175.8,2241.8,2277.3,13
13,State and local government employee retirement funds; mutual fund shares; asset,LM223064205,540.5,548.0,572.0,532.3,548.0,551.7,557.6,570.0,572.0,14
14,State and local government employee retirement funds; miscellaneous assets,FL223090005,1817.3,2151.0,2226.1,2195.4,2151.0,2214.9,2234.6,2208.5,2226.1,15
15,State and local government employee defined contribution retirement funds; unallocated insurance contracts; asset(2),FL223095505,144.9,146.4,155.3,143.0,146.4,151.3,153.4,156.1,155.3,16
16,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset(3),FL223073045,1503.7,1831.6,1902.9,1878.3,1831.6,1898.4,1915.8,1884.2,1902.9,17
17,State and local government employee retirement funds; unidentified miscellaneous assets,FL223093005,168.7,173.0,168.0,174.1,173.0,165.2,165.3,168.2,168.0,18
18,State and local government employee retirement funds; pension entitlements (total liabilities)(4),FL224190005,5715.5,5967.6,6254.3,5886.4,5967.6,6041.3,6112.8,6190.1,6254.3,19
19,State and local government employee defined benefit retirement funds; pension entitlements (total liabilities),FL224190043,5233.9,5496.0,5763.7,5429.1,5496.0,5562.9,5629.8,5696.8,5763.7,20
20,State and local government employee defined benefit retirement funds; total funded assets(5),FL222000075,3730.2,3664.4,3860.8,3550.8,3664.4,3664.5,3714.0,3812.5,3860.8,21
21,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,FL223073045,1503.7,1831.6,1902.9,1878.3,1831.6,1898.4,1915.8,1884.2,1902.9,22
22,State and local government employee defined benefit retirement funds; total financial assets,FL224090045,5077.9,5347.9,5606.3,5283.0,5347.9,5414.8,5479.9,5543.2,5606.3,23
23,State and local government employee defined contribution retirement funds; total financial assets,FL224090055,481.6,471.6,490.6,457.3,471.6,478.4,482.9,493.3,490.6,24
