,Year,Household Net Worth1,Growth of domestic nonfinancial debt; Total 2,Growth of domestic nonfinancial debt; Households,Growth of domestic nonfinancial debt; Businesses,Growth of domestic nonfinancial debt; Federal government,Growth of domestic nonfinancial debt; State and local govt's
0,2007,66499,8.1,7.2,12.4,4.7,6.0
1,2008,56191,5.8,0.1,5.9,21.4,1.2
2,2009,57953,3.6,0.4,-4.0,20.4,4.4
3,2010,62100,4.4,-0.4,-0.7,18.5,2.4
4,2011,63390,3.5,-0.4,2.7,10.8,-1.5
5,2012,69240,5.0,2.0,4.6,10.1,-0.2
6,2013,78904,3.8,1.8,4.6,6.7,-1.8
7,2014,83884,4.3,3.0,6.1,5.4,-1.1
8,2015,87287,4.4,2.8,6.8,5.0,0.3
9,2016,92805,4.7,3.6,5.7,5.6,1.0
10,2014:Q4,83884,3.5,2.3,6.4,3.1,0.7
11,2015:Q1,85798,2.7,2.0,7.4,-0.3,1.6
12,2015:Q2,86434,4.4,3.8,8.0,2.7,0.5
13,2015:Q3,85249,2.7,1.3,5.5,2.1,0.2
14,2015:Q4,87287,7.8,3.8,5.6,15.4,-1.2
15,2016:Q1,87889,5.3,2.3,9.4,5.6,0.7
16,2016:Q2,88708,4.3,4.3,4.0,5.0,2.2
17,2016:Q3,90762,5.8,3.9,6.3,8.2,0.7
18,2016:Q4,92805,2.9,3.8,2.6,2.9,0.2
