, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,All sectors; multifamily residential mortgages; asset,FL893065405,986.1,1080.6,1186.7,1052.7,1080.6,1106.4,1130.2,1157.4,1186.7,1
1,Nonfinancial corporate business; multifamily residential mortgages; liability,FL103165405,47.8,52.5,57.7,51.0,52.5,53.8,54.9,56.3,57.7,2
2,Nonfinancial noncorporate business; multifamily residential mortgages; liability,FL113165405,907.2,997.3,1097.1,969.6,997.3,1021.8,1043.9,1069.3,1097.1,3
3,Federal government; multifamily residential mortgages; liability,FL313165403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
4,Equity real estate investment trusts; multifamily residential mortgages; liability,FL643165483,31.1,30.8,31.8,32.1,30.8,30.8,31.4,31.7,31.8,5
5,All sectors; multifamily residential mortgages; asset,FL893065405,986.1,1080.6,1186.7,1052.7,1080.6,1106.4,1130.2,1157.4,1186.7,6
6,Households and nonprofit organizations; multifamily residential mortgages; asset,FL153065403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
7,Nonfinancial corporate business; multifamily residential mortgages; asset,FL103065403,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,8
8,Nonfinancial noncorporate business; multifamily residential mortgages; asset,FL113065403,11.7,12.5,13.3,12.2,12.5,12.7,12.9,13.1,13.3,9
9,Federal government; multifamily residential mortgages; asset,FL313065405,13.2,12.8,12.6,12.8,12.8,12.8,12.7,12.5,12.6,10
10,"State and local governments, excluding employee retirement funds; multifamily residential mortgages; asset",FL213065403,83.6,88.6,91.5,87.0,88.6,89.0,89.6,91.0,91.5,11
11,U.S.-chartered depository institutions; multifamily residential mortgages; asset,FL763065403,325.9,376.9,420.2,360.9,376.9,386.0,400.3,410.2,420.2,12
12,Foreign banking offices in the U.S.; multifamily residential mortgages; asset,FL753065403,1.3,2.4,4.6,2.2,2.4,2.6,3.4,3.9,4.6,13
13,Life insurance companies; multifamily residential mortgages; asset,FL543065405,56.4,60.6,66.0,59.4,60.6,62.6,63.9,65.1,66.0,14
14,Private pension funds; multifamily residential mortgages; asset,FL573065403,2.1,1.9,1.6,1.9,1.9,1.8,1.8,1.7,1.6,15
15,State and local government employee defined benefit retirement funds; multifamily residential mortgages; asset,FL223065443,3.0,2.9,1.9,3.0,2.9,2.5,2.5,2.0,1.9,16
16,Government-sponsored enterprises; multifamily residential mortgages; asset,FL403065405,240.8,249.1,275.4,252.8,249.1,259.1,254.7,265.4,275.4,17
17,Agency-and GSE-backed mortgage pools; multifamily residential mortgages; asset,FL413065405,172.1,204.3,245.6,190.6,204.3,213.4,226.5,234.3,245.6,18
18,Issuers of asset-backed securities; multifamily residential mortgages; asset,FL673065405,68.4,62.0,47.3,63.3,62.0,57.2,55.4,51.4,47.3,19
19,Finance companies; multifamily residential mortgages; asset,FL613065403,2.0,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.2,20
20,Real estate investment trusts; multifamily residential mortgages; asset,FL643065405,5.1,4.8,4.9,4.9,4.8,4.9,4.8,4.9,4.9,21
