, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,All sectors; trade payables; liability,FA893170005,203.6,76.1,230.8,5.5,5.7,81.4,303.2,340.2,198.4,1
1,Nonprofit organizations; trade payables; liability(1),FA163170005,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,2
2,Nonfinancial corporate business; trade payables; liability,FA103170005,150.1,-40.7,98.2,-106.9,-126.2,-46.0,203.3,182.4,53.1,3
3,Nonfinancial noncorporate business; trade payables; liability,FA113170005,9.2,51.0,58.1,33.3,72.8,52.8,45.4,71.9,62.4,4
4,Federal government; trade payables; liability,FA313170005,1.1,12.2,15.0,25.7,6.8,18.7,10.0,15.1,16.1,5
5,"State and local governments, excluding employee retirement funds; trade payables; liability",FA213170003,38.9,40.1,40.8,40.7,40.3,40.7,40.6,40.6,41.3,6
6,Security brokers and dealers; trade payables; liability,FA663170003,3.4,8.4,10.4,2.4,8.4,-4.1,6.5,18.2,20.9,7
7,Rest of the world; trade credit and advances; liability,FA263170003,-5.8,-1.7,1.5,3.6,-3.3,12.4,-9.4,5.2,-2.2,8
8,All sectors; trade receivables; asset,FA893070005,153.4,68.5,201.6,19.5,48.0,56.8,307.7,284.9,157.1,9
9,Nonprofit organizations; grants and trade receivables; asset(1),FA163070005,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,10
10,Nonfinancial corporate business; trade receivables; asset,FA103070005,104.1,-21.1,118.7,-46.2,-52.8,-46.8,225.3,197.7,98.8,11
11,Nonfinancial noncorporate business; trade receivables; asset,FA113070003,21.2,46.0,46.3,35.1,59.7,51.9,42.8,49.1,41.3,12
12,Federal government; trade receivables; asset,FA313070000,-5.2,12.7,1.3,4.1,46.7,6.0,-8.1,11.5,-4.2,13
13,"State and local governments, excluding employee retirement funds; trade receivables; asset",FA213070003,11.1,0.7,10.6,-6.4,-4.3,-1.6,21.6,16.4,6.0,14
14,Property-casualty insurance companies; trade receivables; asset,FA513070003,5.7,6.3,13.6,6.6,-15.5,15.9,1.5,19.1,17.8,15
15,Issuers of asset-backed securities; trade receivables; asset,FA673070003,-4.4,2.7,-0.7,-2.0,9.5,5.8,-1.5,-3.1,-4.1,16
16,Rest of the world; trade receivables; asset,FA263070003,14.0,14.2,4.9,21.4,-2.2,18.6,19.2,-12.7,-5.4,17
17,Instrument discrepancies; trade receivables,FA903070005,50.2,7.7,29.2,-14.0,-42.3,24.6,-4.5,55.3,41.3,18
