, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Nonfinancial corporate business; total assets,FL102000005,37310.5,39568.4,41758.6,39007.5,39568.4,39903.9,40603.3,41268.8,41758.6,1
1,Nonfinancial corporate business; nonfinancial assets,FL102010005,20036.1,21395.4,22534.7,21125.2,21395.4,21518.9,21879.8,22270.6,22534.7,2
2,Nonfinancial corporate business; real estate at market value(1),LM105035005,11378.4,12522.6,13318.7,12286.0,12522.6,12573.6,12813.5,13146.7,13318.7,3
3,"Nonfinancial corporate business; equipment, current cost basis(2)",FL105015205,4446.7,4584.3,4709.1,4553.9,4584.3,4618.6,4648.5,4686.9,4709.1,4
4,"Nonfinancial corporate business; nonresidential intellectual property products, current cost basis(2)",FL105013765,2007.0,2105.0,2226.9,2089.5,2105.0,2134.7,2168.4,2192.4,2226.9,5
5,"Nonfinancial corporate business; inventories excluding IVA, current cost basis(2)",FL105020015,2203.9,2183.5,2280.0,2195.9,2183.5,2192.0,2249.4,2244.7,2280.0,6
6,Nonfinancial corporate business; total financial assets,FL104090005,17274.4,18173.0,19223.9,17882.4,18173.0,18385.1,18723.5,18998.2,19223.9,7
7,Nonfinancial corporate business; private foreign deposits; asset,FL103091003,69.7,48.8,52.3,49.8,48.8,38.2,49.8,52.6,52.3,8
8,Nonfinancial corporate business; checkable deposits and currency; asset,FL103020005,347.2,334.3,401.2,355.5,334.3,334.6,381.1,402.7,401.2,9
9,Nonfinancial corporate business; total time and savings deposits; asset,FL103030003,613.1,582.1,616.0,595.9,582.1,579.7,584.2,624.9,616.0,10
10,Nonfinancial corporate business; money market mutual fund shares; asset,FL103034003,558.2,576.8,583.1,558.8,576.8,574.6,577.0,575.2,583.1,11
11,Nonfinancial corporate business; security repurchase agreements; asset,FL102051003,21.7,27.7,25.9,27.0,27.7,24.5,23.3,23.4,25.9,12
12,Nonfinancial corporate business; debt securities; asset,FL104022005,133.3,126.5,146.4,117.5,126.5,134.5,130.9,151.5,146.4,13
