,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
0,Domestic financial sectors; gross value added (IMA),FA796902505,851.9,1015.4,1042.8,1045.8,1187.3,1172.1,1303.7,1354.9,1
1,"Domestic financial sectors; consumption of fixed capital, structures, equipment, and intellectual property products, including noncorporate financial and excluding REIT residential structures, current cost basis (IMA)",FA796300081,173.9,177.4,176.7,168.6,174.2,182.2,190.2,198.2,2
2,Domestic financial sectors; net value added (IMA),FA796902605,678.1,838.0,866.1,877.2,1013.1,989.9,1113.6,1156.7,3
3,Domestic financial sectors; compensation of employees paid (IMA),FA796025005,612.9,549.0,574.3,606.8,630.2,640.3,681.1,714.2,4
4,Domestic financial sectors; wages and salaries paid (IMA),FA796020001,517.9,466.2,486.4,513.5,536.8,545.5,581.0,609.7,5
5,Domestic financial sectors; employers' social contributions paid (IMA),FA796401001,95.0,82.8,87.9,93.3,93.3,94.8,100.1,104.4,6
6,"Domestic financial sectors; taxes on production and imports less subsidies, payable (IMA)",FA796240101,55.6,64.2,64.8,58.3,60.2,59.8,67.6,73.8,7
7,"Domestic financial sectors; operating surplus, net (IMA)",FA796402101,9.5,224.8,227.1,212.1,322.7,289.8,364.9,368.7,8
8,"Domestic financial sectors; net national income/balance of primary incomes, net (IMA)",FA796140005,-2.1,290.1,376.8,320.0,289.7,159.1,242.3,281.5,9
9,"Domestic financial sectors; operating surplus, net (IMA)",FA796402101,9.5,224.8,227.1,212.1,322.7,289.8,364.9,368.7,10
10,Domestic financial sectors; property income (received) (IMA),FA796150105,2833.1,2203.8,2126.7,2109.1,2052.3,2011.6,2041.7,2116.0,11
11,Domestic financial sectors; interest received (IMA),FA796130101,2444.8,1877.4,1749.5,1722.4,1635.7,1536.3,1536.8,1586.6,12
12,Domestic financial sectors; dividends received (IMA),FA796121101,338.8,275.7,308.9,319.5,359.8,414.8,447.4,477.5,13
13,Domestic financial sectors; reinvested earnings on U.S. direct investment abroad; received (IMA),FA793092281,49.5,50.7,68.3,67.2,56.8,60.5,57.5,52.0,14
14,Domestic financial sectors; uses of property income (paid) (IMA),FA796150005,2844.7,2138.6,1977.0,2001.2,2085.3,2142.4,2164.3,2203.3,15
15,Domestic financial sectors; interest paid (IMA),FA796130001,2321.6,1679.7,1505.2,1504.6,1478.3,1406.3,1421.3,1447.1,16
16,"Domestic financial sectors; distributed income of corporations, paid (IMA)",FA796120005,515.8,455.1,460.8,481.5,589.8,721.3,725.6,741.9,17
17,Domestic financial sectors; dividends paid (IMA),FA796121001,492.8,380.8,376.0,427.2,521.9,673.8,697.9,710.5,18
18,"Domestic financial sectors; withdrawals from income of quasi-corporations, paid (IMA)(1)",FA796122001,23.0,74.4,84.9,54.3,67.9,47.5,27.8,31.4,19
19,Domestic financial sectors; reinvested earnings on foreign direct investment in U.S.; paid (IMA),FA793192281,7.3,3.7,10.9,15.1,17.2,14.7,17.4,14.3,20
20,Domestic financial sectors; rents on land and natural resources paid (IMA),FA796112001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
21,"Domestic financial sectors; net national income/balance of primary incomes, net (IMA)",FA796140005,-2.1,290.1,376.8,320.0,289.7,159.1,242.3,281.5,22
22,"Domestic financial sectors; current taxes on income, wealth, etc. paid (IMA)",FA796220001,81.7,91.6,150.0,150.3,180.9,184.1,219.1,245.7,23
23,Domestic financial sectors; other current transfers paid (IMA),FA796403005,45.6,26.5,18.4,20.0,-25.7,-19.0,8.6,24.4,24
24,"Domestic financial sectors; disposable income, net; net saving including foreign earnings retained abroad and CCAdj (IMA Q4)",FA796012095,-129.4,171.9,208.4,149.7,134.5,-6.0,14.5,11.4,25
25,"Domestic financial sectors; disposable income, net; net saving including foreign earnings retained abroad and CCAdj (IMA Q4)",FA796012095,-129.4,171.9,208.4,149.7,134.5,-6.0,14.5,11.4,26
26,Domestic financial sectors; net saving including foreign earnings retained abroad and CCAdj less net capital transfers paid (IMA),FA796006385,-68.9,293.9,249.9,182.1,124.9,-6.0,4.5,11.4,27
27,"Domestic financial sectors; disposable income, net; net saving including foreign earnings retained abroad and CCAdj (IMA Q4)",FA796012095,-129.4,171.9,208.4,149.7,134.5,-6.0,14.5,11.4,28
28,Domestic financial sectors; net capital transfers paid,FA795440005,-60.5,-121.9,-41.5,-32.4,9.6,0.0,10.0,0.0,29
