, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Real estate investment trusts; total financial assets,FL644090005,724.7,658.8,669.1,690.8,658.8,678.9,687.8,688.4,669.1,1
1,Real estate investment trusts; checkable deposits and currency; asset,FL643020005,38.5,35.7,36.4,38.8,35.7,37.5,41.6,40.1,36.4,2
2,Real estate investment trusts; debt securities; asset,FL644022005,312.0,267.3,248.7,280.4,267.3,266.2,265.5,254.0,248.7,3
3,Mortgage real estate investment trusts; agency- and GSE-backed securities; asset,FL643061773,277.8,228.1,210.0,241.1,228.1,227.3,225.3,212.9,210.0,4
4,Real estate investment trusts; corporate and foreign bonds; asset,FL643063005,34.2,39.2,38.6,39.3,39.2,38.9,40.2,41.1,38.6,5
5,Real estate investment trusts; total mortgages; asset,FL643065005,247.3,217.7,221.3,230.4,217.7,227.7,225.8,236.3,221.3,6
6,Real estate investment trusts; home mortgages; asset,FL643065105,44.0,46.1,58.3,48.1,46.1,49.0,51.5,60.9,58.3,7
7,Real estate investment trusts; multifamily residential mortgages; asset,FL643065405,5.1,4.8,4.9,4.9,4.8,4.9,4.8,4.9,4.9,8
8,Real estate investment trusts; commercial mortgages; asset,FL643065505,198.2,166.8,158.0,177.4,166.8,173.8,169.5,170.5,158.0,9
9,Real estate investment trusts; total miscellaneous assets,FL643090005,126.9,138.1,162.7,141.2,138.1,147.5,155.0,158.1,162.7,10
10,Real estate investment trusts; total liabilities,FL644190005,1021.5,995.5,991.7,1026.3,995.5,1022.4,1029.5,1007.6,991.7,11
11,Mortgage real estate investment trusts; security repurchase agreements; liability,FL642151073,265.5,220.0,208.4,229.1,220.0,219.8,216.7,209.4,208.4,12
12,Real estate investment trusts; debt securities; liability,FL644122005,403.3,395.5,414.9,398.3,395.5,416.2,426.7,421.0,414.9,13
13,Mortgage real estate investment trusts; commercial paper; liability,FL643169173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
14,Real estate investment trusts; corporate and foreign bonds; liability,FL643163005,403.3,395.5,414.9,398.3,395.5,416.2,426.7,421.0,414.9,15
15,Real estate investment trusts; loans; liability,FL644123005,270.4,299.6,276.2,305.7,299.6,299.5,291.8,282.9,276.2,16
16,Real estate investment trusts; depository institution loans n.e.c.; liability,FL643168005,33.1,40.4,30.1,44.3,40.4,38.7,36.1,35.3,30.1,17
17,Mortgage real estate investment trusts; FHLB advances; liability,FL643169373,5.9,23.8,16.6,18.9,23.8,19.7,19.1,17.4,16.6,18
18,Real estate investment trusts; total mortgages; liability,FL643165005,231.4,235.4,229.5,242.4,235.4,241.1,236.6,230.2,229.5,19
19,Real estate investment trusts; unidentified miscellaneous liabilities,FL643193005,82.3,80.4,92.2,93.3,80.4,86.9,94.2,94.3,92.2,20
20,Real estate investment trusts; securitized assets,FL643065045,172.5,143.0,126.9,150.3,143.0,151.8,147.9,137.8,126.9,21
21,Mortgage real estate investment trusts; securitized agency- and GSE-backed securities; asset,FL643061743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
22,Mortgage real estate investment trusts; securitized home mortgages; asset,FL643065143,23.1,33.1,30.8,32.4,33.1,33.0,34.8,32.5,30.8,23
23,Mortgage real estate investment trusts; securitized multifamily residential mortgages; asset,FL643065443,3.3,3.1,2.9,3.1,3.1,2.9,2.9,3.0,2.9,24
24,Mortgage real estate investment trusts; securitized commercial mortgages; asset,FL643065543,146.2,106.8,93.2,114.8,106.8,116.0,110.2,102.3,93.2,25
