, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Rest of the world; nonofficial U.S. currencies; liability,FL263191103,4.2,3.6,8.2,3.3,3.6,2.8,5.6,9.6,8.2,1
1,Federal government; nonofficial foreign currencies; asset,FL313091105,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2
2,Monetary authority; nonofficial foreign currencies (swap lines); asset(1),FL713091103,1.5,1.0,5.6,0.7,1.0,0.1,3.0,7.0,5.6,3
3,Federal government; postal savings system deposits; liability,FL313131003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
4,Federal government; postal savings system deposits; liability,FL313131003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
5,Government-sponsored enterprises; U.S.-chartered depository institutions deposits at Federal Home Loan Banks; liability,FL403197033,9.1,8.5,9.2,8.3,8.5,8.3,8.7,8.8,9.2,6
6,Government-sponsored enterprises; U.S.-chartered depository institutions deposits at Federal Home Loan Banks; liability,FL403197033,9.1,8.5,9.2,8.3,8.5,8.3,8.7,8.8,9.2,7
7,Issuers of asset-backed securities; funding agreements backing securities; asset,FL673090543,62.3,63.8,70.6,59.3,63.8,62.9,64.9,66.0,70.6,8
8,Issuers of asset-backed securities; funding agreements backing securities; asset,FL673090543,62.3,63.8,70.6,59.3,63.8,62.9,64.9,66.0,70.6,9
9,"Life insurance companies, general accounts; deferred and unpaid life insurance premiums; asset",FL543077073,29.9,31.6,32.1,31.7,31.6,32.8,33.6,32.7,32.1,10
10,"Life insurance companies, general accounts; deferred and unpaid life insurance premiums; asset",FL543077073,29.9,31.6,32.1,31.7,31.6,32.8,33.6,32.7,32.1,11
11,"Life insurance companies; insurance reserves, excluding life insurance reserves and pension entitlements; liability",FL543195005,310.0,313.1,339.7,314.6,313.1,320.8,328.2,332.1,339.7,12
12,Life insurance companies; health insurance reserves; liability,FL543195105,228.3,236.1,257.2,234.8,236.1,242.2,248.7,251.7,257.2,13
13,Life insurance companies; insurance reserve policy dividend accumulation; liability,FL543195205,38.8,33.5,37.0,34.7,33.5,34.0,34.9,35.5,37.0,14
14,"Life insurance companies, general accounts; policy and contract claims; liability",FL543195373,42.9,43.5,45.5,45.0,43.5,44.6,44.7,45.0,45.5,15
15,"Life insurance companies; insurance reserves, excluding life insurance reserves and pension entitlements; liability",FL543195005,310.0,313.1,339.7,314.6,313.1,320.8,328.2,332.1,339.7,16
16,Property-casualty insurance companies; policy payables; liability,FL513176003,822.5,838.1,873.3,838.9,838.1,842.8,850.4,860.6,873.3,17
17,Households and nonprofit organizations; insurance receivables due from property-casualty insurance companies; asset,FL153076005,350.1,373.5,393.0,370.0,373.5,376.7,381.2,386.6,393.0,18
18,Nonfinancial corporate business; insurance receivables due from property-casualty insurance companies; asset,FL103076005,343.3,345.7,359.5,347.1,345.7,347.3,350.1,354.1,359.5,19
19,Nonfinancial noncorporate business; insurance receivables due from property-casualty insurance companies; asset,FL113076005,129.1,118.9,120.8,121.8,118.9,118.7,119.1,119.8,120.8,20
20,Pension funds; unallocated insurance contracts; asset,FL593095005,672.3,664.0,698.3,654.8,664.0,679.0,686.5,697.4,698.3,21
21,Private pension funds; unallocated insurance contracts; asset,FL573095005,527.4,517.6,543.0,511.8,517.6,527.6,533.1,541.3,543.0,22
22,State and local government employee defined contribution retirement funds; unallocated insurance contracts; asset,FL223095505,144.9,146.4,155.3,143.0,146.4,151.3,153.4,156.1,155.3,23
23,Private pension funds; pension fund contributions receivable; asset,FL573074005,76.1,71.8,70.4,72.7,71.8,71.5,71.0,70.4,70.4,24
24,Private pension funds; pension fund contributions receivable; asset,FL573074005,76.1,71.8,70.4,72.7,71.8,71.5,71.0,70.4,70.4,25
25,Security brokers and dealers; securities borrowed (net); asset,FL663097005,720.6,706.8,666.3,747.5,706.8,785.7,719.0,692.4,666.3,26
26,Security brokers and dealers; securities borrowed (net); asset,FL663097005,720.6,706.8,666.3,747.5,706.8,785.7,719.0,692.4,666.3,27
27,Federal government; retiree health care funds; liability,FL313195105,257.3,264.7,277.6,251.0,264.7,263.0,265.0,265.0,277.6,28
28,Federal government; retiree health care funds; liability,FL313195105,257.3,264.7,277.6,251.0,264.7,263.0,265.0,265.0,277.6,29
29,Private defined benefit pension funds; claims of pension fund on sponsor; asset,FL573073005,283.5,497.4,496.0,520.1,497.4,522.0,528.4,507.5,496.0,30
30,Federal government retirement funds; claims of pension fund on sponsor; asset,FL343073005,1806.2,1821.7,1832.4,2210.6,1821.7,1860.2,1883.5,1889.5,1832.4,31
31,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,FL223073045,1503.7,1831.6,1902.9,1878.3,1831.6,1898.4,1915.8,1884.2,1902.9,32
32,Private defined benefit pension funds; claims of pension fund on sponsor; asset,FL573073005,283.5,497.4,496.0,520.1,497.4,522.0,528.4,507.5,496.0,33
33,Federal government retirement funds; claims of pension fund on sponsor; asset,FL343073005,1806.2,1821.7,1832.4,2210.6,1821.7,1860.2,1883.5,1889.5,1832.4,34
34,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,FL223073045,1503.7,1831.6,1902.9,1878.3,1831.6,1898.4,1915.8,1884.2,1902.9,35
