, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,State and local government employee defined benefit retirement funds; total financial assets(1),FA224090045,205.3,210.1,215.7,212.6,215.7,215.7,215.7,215.7,215.7,1
1,State and local government employee defined benefit retirement funds; checkable deposits and currency; asset,FA223020043,0.4,0.0,0.1,-0.3,-0.1,-0.8,0.7,0.5,0.1,2
2,State and local government employee defined benefit retirement funds; total time and savings deposits; asset,FA223030045,3.2,0.2,1.2,-2.2,-1.2,-7.0,6.2,4.7,0.9,3
3,State and local government employee defined benefit retirement funds; money market mutual fund shares; asset,FA223034043,3.8,0.3,1.4,-2.7,-1.5,-8.3,7.5,5.6,1.1,4
4,State and local government employee defined benefit retirement funds; security repurchase agreements; asset,FA222051043,0.3,0.0,0.1,-0.2,-0.1,-0.7,0.6,0.4,0.1,5
5,State and local government employee defined benefit retirement funds retirement funds; debt securities; asset,FA224022045,20.3,-5.7,59.7,-20.0,34.1,58.0,79.4,80.0,21.3,6
6,State and local government employee defined benefit retirement funds; commercial paper; asset,FA223069143,3.4,0.3,1.3,-2.4,-1.4,-7.6,6.8,5.1,1.0,7
7,State and local government employee defined benefit retirement funds; Treasury securities; asset,FA223061143,-7.0,-6.5,12.5,-17.8,5.2,3.1,26.6,20.3,0.1,8
8,State and local government employee defined benefit retirement funds; agency- and GSE-backed securities; asset,FA223061743,-4.1,-6.7,6.4,-7.8,1.5,1.7,14.7,11.1,-1.8,9
9,State and local government employee defined benefit retirement funds; municipal securities; asset,FA223062043,-0.2,-0.2,0.1,-0.7,-0.1,1.6,0.2,-1.2,-0.1,10
10,State and local government employee defined benefit retirement funds; corporate and foreign bonds; asset,FA223063045,28.2,7.5,39.3,8.8,28.9,59.2,31.1,44.7,22.1,11
11,State and local government employee defined benefit retirement funds; total mortgages; asset,FA223065043,0.6,-0.4,-3.2,-1.9,-1.3,-5.1,0.0,-6.2,-1.5,12
12,State and local government employee defined benefit retirement funds; corporate equities; asset,FA223064145,-132.2,-66.7,-68.4,-47.7,-72.9,-8.6,-77.3,-119.8,-67.9,13
13,State and local government employee defined benefit retirement funds; mutual fund shares; asset,FA223064243,37.3,24.6,-3.4,-0.9,0.0,-8.5,-2.0,-19.2,16.1,14
14,State and local government employee defined benefit retirement funds; miscellaneous assets,FA223090045,271.7,257.7,228.1,288.6,258.7,196.7,200.5,269.8,245.6,15
15,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset(2),FA223073045,261.1,256.0,232.1,298.0,267.3,218.1,204.0,261.2,245.2,16
16,State and local government employee defined benefit retirement funds; unidentified miscellaneous assets,FA223093043,10.6,1.7,-4.0,-9.4,-8.6,-21.4,-3.5,8.5,0.4,17
17,State and local government employee defined benefit retirement funds; pension entitlements (total liabilities)(3),FA224190043,205.3,210.1,215.6,212.6,215.6,215.6,215.6,215.6,215.6,18
