, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Private pension funds; total financial assets(2),FL574090005,8425.5,8630.9,9086.1,8446.4,8630.9,8723.5,8839.2,9016.8,9086.1,1
1,Private pension funds; checkable deposits and currency; asset,FL573020005,18.8,19.9,22.2,19.3,19.9,20.5,21.2,21.6,22.2,2
2,Private pension funds; total time and savings deposits; asset,FL573030005,35.5,36.8,38.3,36.5,36.8,37.3,37.7,38.0,38.3,3
3,Private pension funds; money market mutual fund shares; asset,FL573034005,155.6,151.0,155.7,151.2,151.0,153.3,153.8,154.3,155.7,4
4,Private pension funds; security repurchase agreements; asset,FL572051005,3.0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,5
5,Private pension funds; debt securities; asset,FL574022005,1181.2,1226.6,1257.9,1215.4,1226.6,1233.6,1242.5,1249.1,1257.9,6
6,Private pension funds; total commercial paper; asset,FL573069105,43.2,46.3,49.0,45.6,46.3,47.1,47.8,48.3,49.0,7
7,Private pension funds; Treasury securities; asset,FL573061105,295.6,317.1,325.8,313.7,317.1,318.2,320.9,322.5,325.8,8
8,Private pension funds; agency- and GSE-backed securities; asset,FL573061705,163.1,154.4,152.2,154.8,154.4,154.0,153.0,152.5,152.2,9
9,Private pension funds; corporate and foreign bonds; asset,FL573063005,679.3,708.8,731.0,701.3,708.8,714.4,720.8,725.8,731.0,10
10,Private pension funds; total mortgages; asset,FL573065005,24.0,21.3,21.3,21.6,21.3,21.4,21.3,21.2,21.3,11
11,"Private pension funds, including 403(b) plans; corporate equities; asset",LM573064105,2284.3,2163.9,2326.9,2071.4,2163.9,2160.7,2184.7,2251.7,2326.9,12
12,Private pension funds; mutual fund shares; asset,LM573064205,3175.5,3216.7,3416.0,3126.8,3216.7,3260.9,3320.7,3430.9,3416.0,13
13,Private pension funds; total miscellaneous assets,FL573090005,1547.6,1792.0,1845.0,1801.4,1792.0,1833.1,1854.4,1847.1,1845.0,14
14,Private pension funds; unallocated insurance contracts; asset(3),FL573095005,527.4,517.6,543.0,511.8,517.6,527.6,533.1,541.3,543.0,15
15,Private pension funds; pension fund contributions receivable; asset,FL573074005,76.1,71.8,70.4,72.7,71.8,71.5,71.0,70.4,70.4,16
16,Private defined benefit pension funds; claims of pension fund on sponsor; asset(4),FL573073005,283.5,497.4,496.0,520.1,497.4,522.0,528.4,507.5,496.0,17
17,Private pension funds; unidentified miscellaneous assets,FL573093005,660.6,705.2,735.6,696.9,705.2,711.9,721.9,727.8,735.6,18
18,Private pension funds; total liabilities(5),FL574190005,8462.0,8667.5,9122.7,8483.0,8667.5,8760.1,8875.8,9053.4,9122.7,19
19,Private defined benefit pension funds; pension entitlements (total liabilities),FL574190043,3222.9,3306.9,3380.2,3288.6,3306.9,3325.2,3343.5,3361.8,3380.2,20
20,Private defined benefit pension funds; total funded assets(6),FL572000075,2939.5,2809.5,2884.2,2768.5,2809.5,2803.2,2815.1,2854.3,2884.2,21
21,Private defined benefit pension funds; claims of pension fund on sponsor; asset,FL573073005,283.5,497.4,496.0,520.1,497.4,522.0,528.4,507.5,496.0,22
22,Private defined benefit pension funds; total financial assets,FL574090045,3186.4,3270.3,3343.5,3252.0,3270.3,3288.6,3306.9,3325.2,3343.5,23
23,Private defined contribution pension funds; total financial assets,FL574090055,5239.1,5360.6,5742.5,5194.4,5360.6,5434.8,5532.3,5691.5,5742.5,24
