, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,All sectors; home mortgages; asset,FL893065105,9938.4,10031.0,10265.7,10001.0,10031.0,10041.9,10103.7,10198.5,10265.7,1
1,Households and nonprofit organizations; home mortgages; liability,FL153165105,9454.9,9536.2,9753.7,9509.6,9536.2,9544.8,9602.3,9690.3,9753.7,2
2,Nonfinancial corporate business; home mortgages; liability,FL103165105,11.5,13.4,15.2,12.9,13.4,13.9,14.3,14.9,15.2,3
3,Nonfinancial noncorporate business; home mortgages; liability,FL113165105,472.0,481.3,496.8,478.5,481.3,483.2,487.1,493.2,496.8,4
4,All sectors; home mortgages; asset,FL893065105,9938.4,10031.0,10265.7,10001.0,10031.0,10041.9,10103.7,10198.5,10265.7,5
5,Households and nonprofit organizations; home mortgages; asset,FL153065103,110.6,107.2,103.8,108.1,107.2,106.3,105.5,104.6,103.8,6
6,Nonfinancial corporate business; home mortgages; asset,FL103065105,17.4,18.6,19.8,18.3,18.6,18.9,19.2,19.5,19.8,7
7,Nonfinancial noncorporate business; home mortgages; asset,FL113065103,12.6,13.5,14.4,13.2,13.5,13.8,14.0,14.2,14.4,8
8,Federal government; home mortgages; asset,FL313065105,26.8,28.4,29.9,28.6,28.4,28.9,29.1,29.0,29.9,9
9,"State and local governments, excluding employee retirement funds; home mortgages; asset",FL213065103,107.7,114.0,117.8,112.0,114.0,114.6,115.3,117.1,117.8,10
10,"U.S.-chartered depository institutions; home mortgages, including farm houses; asset",FL763065105,2390.3,2433.7,2510.1,2419.6,2433.7,2442.6,2484.0,2509.1,2510.1,11
11,Foreign banking offices in the U.S.; home mortgages; asset,FL753065103,2.9,1.5,1.2,2.6,1.5,1.4,1.1,1.1,1.2,12
12,Banks in U.S.-affiliated areas; home mortgages; asset,FL743065103,17.4,15.8,15.1,16.1,15.8,15.7,15.5,15.3,15.1,13
13,Credit unions; home mortgages; asset,FL473065100,372.5,404.9,441.8,397.7,404.9,403.0,416.7,430.4,441.8,14
14,"Life insurance companies; home mortgages, including farm houses; asset",FL543065105,15.2,19.5,20.5,17.9,19.5,19.7,20.1,20.5,20.5,15
15,Private pension funds; home mortgages; asset,FL573065103,1.4,1.2,1.1,1.3,1.2,1.2,1.2,1.1,1.1,16
16,State and local government employee defined benefit retirement funds; home mortgages; asset,FL223065143,3.6,3.5,2.1,3.6,3.5,3.0,3.0,2.4,2.1,17
17,Government-sponsored enterprises; home mortgages; asset,FL403065105,4537.0,4569.6,4644.0,4564.6,4569.6,4567.7,4571.6,4596.7,4644.0,18
18,Agency-and GSE-backed mortgage pools; home mortgages; asset,FL413065105,1474.8,1568.8,1684.6,1536.5,1568.8,1587.7,1614.8,1648.4,1684.6,19
19,Issuers of asset-backed securities; home mortgages; asset,FL673065105,699.6,595.0,522.7,620.1,595.0,580.5,556.4,545.3,522.7,20
20,Finance companies; home mortgages; asset,FL613065105,104.6,89.8,78.6,92.9,89.8,87.9,84.8,82.9,78.6,21
21,Real estate investment trusts; home mortgages; asset,FL643065105,44.0,46.1,58.3,48.1,46.1,49.0,51.5,60.9,58.3,22
22,All sectors; home equity loans; asset(2),FL893065125,673.1,634.9,595.4,643.3,634.9,624.0,618.6,608.0,595.4,23
23,U.S.-chartered depository institutions; home equity loans; asset,FL763065125,568.2,532.9,494.8,541.1,532.9,523.4,516.4,506.6,494.8,24
24,Foreign banking offices in the U.S.; home-equity lines of credit; asset,FL753065203,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.3,0.3,25
25,Credit unions; home equity loans; asset,FL473065125,73.6,75.7,78.5,74.8,75.7,75.3,78.2,78.1,78.5,26
26,Issuers of asset-backed securities; home equity loans; asset,FL673065123,9.9,8.0,6.0,8.4,8.0,7.5,6.7,6.4,6.0,27
27,Finance companies; home equity loans; asset,FL613065123,20.9,18.0,15.7,18.6,18.0,17.6,17.0,16.6,15.7,28
