, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,"Rest of the world; U.S. direct investment abroad, including Netherlands Antillean Financial subsidiaries; liability (current cost)(1)",FA263192005,312.3,322.5,300.0,178.8,396.9,307.7,301.1,310.1,280.9,1
1,Rest of the world; U.S. direct investment abroad: equity; liability (current cost),FA263192101,340.9,316.3,322.6,318.0,294.5,310.6,360.7,312.4,306.8,2
2,Rest of the world; U.S. direct investment abroad: equity other than reinvested earnings; liability,FA263192113,6.5,12.0,26.6,24.0,-1.7,29.8,51.9,10.7,14.2,3
3,Rest of the world; U.S. direct investment abroad: reinvested earnings; liability (current cost),FA263192125,334.5,304.4,296.0,294.1,296.2,280.8,308.8,301.6,292.6,4
4,Rest of the world; U.S. direct investment abroad: current-cost adjustment on reinvested earnings; liability,FA263192193,20.0,19.3,19.3,19.2,19.2,19.3,19.3,19.3,19.3,5
5,"Rest of the world; U.S. direct investment abroad: intercompany debt, including Netherlands Antillean Financial subsidiaries; liability(2)",FA263192305,-28.7,6.1,-22.7,-139.2,102.4,-2.9,-59.5,-2.2,-26.0,6
6,"Rest of the world; U.S. direct investment abroad: intercompany debt, U.S. parents' claims; liability",FA263192313,-13.9,22.9,20.8,-102.1,80.2,27.8,9.4,36.5,9.6,7
7,"Rest of the world; foreign direct investment in U.S.: intercompany debt, U.S. parents' liabilities; asset",FA263092313,14.8,16.7,43.5,37.2,-22.2,30.7,68.9,38.7,35.6,8
8,Nonfinancial corporate business; U.S. direct investment abroad; asset,FA103092005,293.1,296.7,260.9,171.2,384.0,270.6,249.4,268.7,255.0,9
9,Rest of the world; U.S. direct investment abroad: current-cost adjustment on reinvested earnings; liability,FA263192193,20.0,19.3,19.3,19.2,19.2,19.3,19.3,19.3,19.3,10
10,U.S.-chartered depository institutions; U.S. direct investment abroad; asset,FA763092000,3.2,0.8,-15.3,-6.6,13.7,-3.1,-60.1,10.0,-7.8,11
11,Property-casualty insurance companies; U.S. direct investment abroad; asset,FA513092003,1.0,4.9,2.0,1.8,2.6,1.8,3.8,0.5,2.0,12
12,"Life insurance companies, general accounts; U.S. direct investment abroad; asset",FA543092073,1.4,-0.4,3.6,-5.3,-3.9,2.8,2.9,4.0,4.5,13
13,Finance companies; U.S. direct investment abroad; asset,FA613092003,7.5,9.2,36.6,8.2,-9.9,16.4,96.6,14.1,19.5,14
14,Security brokers and dealers; U.S. direct investment abroad; asset,FA663092003,6.0,11.2,12.1,9.4,10.3,19.2,8.5,12.9,7.7,15
