, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Households and nonprofit organizations; consumer credit; liability,FA153166000,221.8,232.7,229.0,244.1,216.3,196.7,228.9,261.4,228.8,1
1,Households and nonprofit organizations; consumer credit; liability,FA153166000,221.8,232.7,229.0,244.1,216.3,196.7,228.9,261.4,228.8,2
2,"Nonprofit organizations; consumer credit, student loans; asset(1)",FA163066223,-4.2,-3.4,-5.4,-2.4,-5.3,-5.6,-5.6,-5.7,-4.8,3
3,Nonfinancial corporate business; consumer credit; asset,FA103066005,0.9,-0.8,-0.8,3.5,-13.6,0.6,-0.1,4.2,-7.7,4
4,Nonfinancial noncorporate business; consumer credit; asset,FA113066003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
5,"Federal government; consumer credit, student loans; asset(2)",FA313066220,110.7,103.4,100.4,94.5,103.2,101.5,95.5,97.3,107.4,6
6,U.S.-chartered depository institutions; consumer credit; asset,FA763066000,71.5,100.2,103.7,116.6,146.6,87.5,101.9,94.5,131.0,7
7,Credit unions; consumer credit; asset,FA473066000,37.2,39.5,39.7,37.0,39.4,28.9,33.5,58.7,37.6,8
8,Government-sponsored enterprises; consumer credit held by Sallie Mae; asset,FA403066005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
9,Issuers of asset-backed securities; consumer credit; asset,FA673066000,0.6,-3.8,5.8,-17.2,-12.1,-2.3,21.8,4.2,-0.5,10
10,Finance companies; consumer credit; asset,FA613066005,5.0,-2.4,-14.5,12.0,-41.9,-14.0,-18.0,8.3,-34.3,11
11,Households and nonprofit organizations; revolving consumer credit; liability(3),FA153166100,33.8,46.4,61.0,51.0,54.6,44.7,68.7,51.0,79.7,12
12,"Households and nonprofit organizations; consumer credit, automobile loans; liability",FA153166400,79.1,80.9,71.8,93.9,63.3,57.6,73.5,83.8,72.2,13
13,"Households and nonprofit organizations; consumer credit, student loans; liability(4)",FA153166220,89.8,84.1,86.5,84.9,80.9,90.4,84.6,83.2,87.7,14
14,Households and nonprofit organizations; other non-revolving consumer credit; liability(5),FA153166205,19.0,21.4,9.7,14.3,17.6,3.9,2.2,43.5,-10.9,15
