, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,All sectors; taxes payable; liability,FA893178005,23.2,-10.4,-14.1,-23.2,-44.9,16.0,-7.1,1.5,-66.7,1
1,Nonfinancial corporate business; taxes payable; liability,FA103178000,-1.4,-1.8,-13.0,-10.7,-35.7,-37.8,-9.1,-2.8,-2.4,2
2,Nonfinancial noncorporate business; taxes payable; liability,FA113178003,6.8,3.4,3.4,2.6,4.4,3.8,3.1,3.6,3.0,3
3,U.S.-chartered depository institutions; taxes payable (net); liability,FA763178003,15.2,-4.4,-0.1,8.6,-17.7,41.4,17.6,-0.1,-59.1,4
4,Property-casualty insurance companies; taxes payable (net); liability,FA513178003,2.1,-7.6,-2.1,-17.9,7.4,0.8,-14.5,2.9,2.4,5
5,"Life insurance companies, general accounts; taxes payable (net); liability",FA543178073,-0.8,0.1,-1.8,-5.4,0.8,2.7,0.4,-5.0,-5.4,6
6,Finance companies; taxes payable; liability,FA613178003,1.0,0.8,-0.5,0.4,-0.6,1.8,-2.4,0.8,-2.1,7
7,Security brokers and dealers; taxes payable; liability,FA663178003,0.3,-0.8,0.1,-0.7,-3.4,3.4,-2.3,2.1,-3.0,8
8,All sectors; taxes receivable; asset,FA893078005,3.3,19.6,79.6,-24.5,-34.5,72.3,97.8,80.3,67.9,9
9,Federal government; taxes receivable; asset,FA313078005,-4.5,16.2,76.2,-26.6,-37.0,68.3,93.6,75.6,67.2,10
10,"State and local governments, excluding employee retirement funds; taxes receivable; asset",FA213078005,7.8,3.4,3.4,2.1,2.5,4.0,4.2,4.7,0.7,11
11,Instrument discrepancies; taxes receivable,FA903078005,19.9,-30.0,-93.6,1.3,-10.4,-56.3,-104.9,-78.8,-134.5,12
