, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Instrument discrepancies; total discrepancy,FA907005005,208.9,-149.4,-60.0,-36.1,89.6,-198.8,289.8,-398.3,67.4,1
1,Instrument discrepancies; Treasury currency (seigniorage),FA903012005,-1.1,-1.3,-1.0,-1.3,-1.0,-0.6,-1.3,-1.3,-0.7,2
2,Instrument discrepancies; private foreign deposits,FA903091005,-94.0,-192.4,-34.2,-178.6,-298.7,166.3,-201.8,-32.0,-69.2,3
3,Instrument discrepancies; net interbank transactions,FA904010005,-47.1,-9.4,-5.5,69.0,-125.6,312.3,-336.1,127.1,-125.1,4
4,Instrument discrepancies; federal funds and security repurchase agreements,FA902050005,-109.6,119.7,-67.1,118.4,165.8,-74.1,-48.6,-470.9,325.4,5
5,Instrument discrepancies; checkable deposits and currency (total mail float),FA903020005,0.9,-0.3,0.4,-12.7,-2.8,-27.0,39.0,-7.6,-2.8,6
6,Instrument discrepancies; federal goverment mail float,FA903023005,1.1,-0.0,-0.2,-11.7,-3.4,-25.8,39.2,-10.5,-3.7,7
7,Instrument discrepancies; state and local governments mail float,FA903028003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
8,Instrument discrepancies; private domestic mail float,FA903029200,-0.3,-0.2,0.6,-1.0,0.5,-1.2,-0.2,3.0,0.9,9
9,Instrument discrepancies; trade receivables,FA903070005,50.2,7.7,29.2,-14.0,-42.3,24.6,-4.5,55.3,41.3,10
10,Instrument discrepancies; taxes receivable,FA903078005,19.9,-30.0,-93.6,1.3,-10.4,-56.3,-104.9,-78.8,-134.5,11
11,Instrument discrepancies; total miscellaneous assets,FA903090005,136.9,-292.0,-146.7,-249.1,144.8,-803.2,719.1,-289.6,-213.1,12
12,Instrument discrepancies; gross saving including foreign earnings retained abroad less net capital transfers paid less capital expenditures,FA906000105,252.8,248.6,258.4,231.0,259.8,259.3,228.8,299.5,246.0,13
13,Gross domestic product (GDP); statistical discrepancy (calculated from components),FA087005005,-258.0,-253.7,-263.5,-236.1,-264.8,-264.3,-233.9,-304.7,-251.2,14
14,Households and nonprofit organizations; adjustment to contributions for government social insurance paid for U.S. affiliated areas,FA156600075,5.1,5.1,5.1,5.1,5.0,5.0,5.1,5.1,5.2,15
