, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,All sectors; commercial mortgages; asset,FA893065505,89.9,129.1,131.8,134.6,135.4,96.1,130.1,170.0,131.1,1
1,Nonprofit organizations; commercial mortgages; liability(1),FA163165505,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,2
2,Nonfinancial corporate business; commercial mortgages; liability,FA103165505,-44.7,28.6,32.9,23.1,47.8,-4.4,41.8,56.7,37.4,3
3,Nonfinancial noncorporate business; commercial mortgages; liability,FA113165505,120.6,90.1,99.8,88.9,104.1,71.9,102.3,134.1,91.1,4
4,Equity real estate investment trusts; commercial mortgages; liability,FA643165583,7.9,4.3,-7.0,16.4,-22.6,22.5,-20.1,-27.0,-3.5,5
5,All sectors; commercial mortgages; asset,FA893065505,89.9,129.1,131.8,134.6,135.4,96.1,130.1,170.0,131.1,6
6,Households and nonprofit organizations; commercial mortgages; asset,FA153065505,0.2,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,7
7,Nonfinancial corporate business; commercial mortgages; asset,FA103065503,0.8,0.7,0.7,0.8,0.7,0.7,0.8,0.7,0.7,8
8,Nonfinancial noncorporate business; commercial mortgages; asset,FA113065503,-0.1,0.7,0.7,0.5,0.8,0.7,0.6,0.7,0.6,9
9,Federal government; commercial mortgages; asset,FA313065505,0.2,-2.7,1.4,-5.8,-1.9,1.3,0.5,-0.8,4.5,10
10,"State and local governments, excluding employee retirement funds; commercial mortgages; asset",FA213065503,0.4,1.0,0.6,1.3,1.2,0.4,0.4,1.1,0.4,11
11,U.S.-chartered depository institutions; commercial mortgages; asset,FA763065503,60.1,105.2,116.8,129.0,141.2,100.0,138.0,108.0,121.3,12
12,Foreign banking offices in the U.S.; commercial mortgages; asset,FA753065503,5.5,13.9,14.1,21.4,21.8,18.5,16.1,15.5,6.2,13
13,Banks in U.S.-affiliated areas; commercial mortgages; asset,FA743065505,-0.5,-2.2,-0.0,-0.2,0.0,0.7,-0.6,0.1,-0.3,14
14,Property-casualty insurance companies; commercial mortgages; asset,FA513065503,2.0,2.4,3.4,2.3,3.4,2.8,3.0,4.1,3.9,15
15,Life insurance companies; commercial mortgages; asset,FA543065505,14.9,31.4,21.4,22.0,47.8,21.5,28.2,19.8,16.0,16
16,Private pension funds; commercial mortgages; asset,FA573065505,1.7,-2.4,0.4,-1.3,-0.9,0.8,0.3,0.0,0.6,17
17,State and local government employee defined benefit retirement funds; commercial mortgages; asset,FA223065545,0.2,-0.1,-0.8,-0.7,-0.4,-1.7,0.0,-2.1,0.5,18
18,Agency-and GSE-backed mortgage pools; commercial mortgages; asset,FA413065505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
19,Issuers of asset-backed securities; commercial mortgages; asset,FA673065505,-11.1,25.5,-17.7,16.6,-14.9,-74.8,-31.8,26.4,9.3,20
20,Finance companies; commercial mortgages; asset,FA613065503,1.1,-12.9,-4.9,-9.7,-21.0,-2.9,-8.1,-7.6,-1.1,21
21,Real estate investment trusts; commercial mortgages; asset,FA643065505,14.7,-31.4,-4.2,-41.8,-42.5,28.1,-17.3,4.0,-31.6,22
