, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Rest of the world; nonofficial U.S. currencies; liability,FA263191103,1.3,-0.5,4.6,0.2,1.3,-3.4,11.4,16.0,-5.8,1
1,Federal government; nonofficial foreign currencies; asset,FA313091105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2
2,Monetary authority; nonofficial foreign currencies (swap lines); asset(1),FA713091103,1.3,-0.5,4.6,0.2,1.3,-3.4,11.4,16.0,-5.8,3
3,Federal government; postal savings system deposits; liability,FA313131003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
4,Federal government; postal savings system deposits; liability,FA313131003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
5,Government-sponsored enterprises; U.S.-chartered depository institutions deposits at Federal Home Loan Banks; liability,FA403197033,-1.5,-0.5,0.7,-3.9,1.1,-1.0,1.5,0.5,1.7,6
6,Government-sponsored enterprises; U.S.-chartered depository institutions deposits at Federal Home Loan Banks; liability,FA403197033,-1.5,-0.5,0.7,-3.9,1.1,-1.0,1.5,0.5,1.7,7
7,Issuers of asset-backed securities; funding agreements backing securities; asset,FA673090543,9.2,1.6,6.7,-12.2,18.2,-3.9,8.0,4.5,18.3,8
8,Issuers of asset-backed securities; funding agreements backing securities; asset,FA673090543,9.2,1.6,6.7,-12.2,18.2,-3.9,8.0,4.5,18.3,9
9,"Life insurance companies, general accounts; deferred and unpaid life insurance premiums; asset",FA543077073,1.2,1.7,0.5,-0.9,-0.2,4.8,3.3,-3.9,-2.2,10
10,"Life insurance companies, general accounts; deferred and unpaid life insurance premiums; asset",FA543077073,1.2,1.7,0.5,-0.9,-0.2,4.8,3.3,-3.9,-2.2,11
11,"Life insurance companies; insurance reserves, excluding life insurance reserves and pension entitlements; liability",FA543195005,5.8,3.1,26.6,13.7,-5.8,30.7,29.7,15.7,30.4,12
12,Life insurance companies; health insurance reserves; liability,FA543195105,5.5,7.8,21.1,14.7,5.2,24.3,26.1,11.9,22.2,13
13,Life insurance companies; insurance reserve policy dividend accumulation; liability,FA543195205,0.2,-5.3,3.5,-5.2,-5.0,2.0,3.5,2.4,6.2,14
14,"Life insurance companies, general accounts; policy and contract claims; liability",FA543195373,0.1,0.6,2.0,4.2,-6.0,4.4,0.2,1.4,2.0,15
15,"Life insurance companies; insurance reserves, excluding life insurance reserves and pension entitlements; liability",FA543195005,5.8,3.1,26.6,13.7,-5.8,30.7,29.7,15.7,30.4,16
16,Property-casualty insurance companies; policy payables; liability,FA513176003,14.7,15.5,35.2,40.4,-3.3,18.9,30.3,40.9,50.8,17
17,Households and nonprofit organizations; insurance receivables due from property-casualty insurance companies; asset,FA153076005,-8.4,23.4,19.5,36.1,14.1,12.9,17.9,21.9,25.5,18
18,Nonfinancial corporate business; insurance receivables due from property-casualty insurance companies; asset,FA103076005,10.4,2.4,13.8,11.9,-5.7,6.6,11.2,15.8,21.5,19
19,Nonfinancial noncorporate business; insurance receivables due from property-casualty insurance companies; asset,FA113076005,12.8,-10.2,1.9,-7.6,-11.8,-0.6,1.2,3.2,3.8,20
20,Pension funds; unallocated insurance contracts; asset,FA593095005,-14.5,-1.9,23.3,-37.6,15.9,60.1,13.1,19.1,1.0,21
21,Private pension funds; unallocated insurance contracts; asset,FA573095005,-8.1,-3.6,15.0,-22.4,3.0,40.8,5.5,9.4,4.5,22
22,State and local government employee defined contribution retirement funds; unallocated insurance contracts; asset,FA223095505,-6.4,1.7,8.3,-15.2,12.9,19.3,7.6,9.8,-3.4,23
23,Private pension funds; pension fund contributions receivable; asset,FA573074005,-2.9,-4.3,-1.4,-4.4,-3.5,-1.1,-2.0,-2.3,-0.4,24
24,Private pension funds; pension fund contributions receivable; asset,FA573074005,-2.9,-4.3,-1.4,-4.4,-3.5,-1.1,-2.0,-2.3,-0.4,25
25,Security brokers and dealers; securities borrowed (net); asset,FA663097005,47.1,-13.8,-40.5,177.7,-162.6,315.3,-266.5,-106.6,-104.4,26
26,Security brokers and dealers; securities borrowed (net); asset,FA663097005,47.1,-13.8,-40.5,177.7,-162.6,315.3,-266.5,-106.6,-104.4,27
27,Federal government; retiree health care funds; liability,FA313195105,10.4,7.4,12.9,12.1,20.0,11.8,12.9,8.9,17.9,28
28,Federal government; retiree health care funds; liability,FA313195105,10.4,7.4,12.9,12.1,20.0,11.8,12.9,8.9,17.9,29
29,Private defined benefit pension funds; claims of pension fund on sponsor; asset,FA573073005,85.4,66.9,4.7,68.9,59.2,-0.8,22.6,17.5,-20.3,30
30,Federal government retirement funds; claims of pension fund on sponsor; asset,FA343073005,22.1,18.7,14.0,475.3,-1362.3,16.1,49.0,25.9,-34.9,31
31,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,FA223073045,261.1,256.0,232.1,298.0,267.3,218.1,204.0,261.2,245.2,32
32,Private defined benefit pension funds; claims of pension fund on sponsor; asset,FA573073005,85.4,66.9,4.7,68.9,59.2,-0.8,22.6,17.5,-20.3,33
33,Federal government retirement funds; claims of pension fund on sponsor; asset,FA343073005,22.1,18.7,14.0,475.3,-1362.3,16.1,49.0,25.9,-34.9,34
34,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,FA223073045,261.1,256.0,232.1,298.0,267.3,218.1,204.0,261.2,245.2,35
