,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
0,Other financial corporations and money market mutual funds; gross value added (IMA),FA856902505,285.9,445.0,509.9,551.2,641.7,618.1,676.1,652.0,1
1,"Other financial corporations and money market mutual funds; consumption of fixed capital, structures, equipment, and intellectual property products, including noncorporate financial, current cost basis (IMA)",FA856300085,114.5,116.9,116.7,109.0,113.3,119.1,125.7,133.4,2
2,Other financial corporations and money market mutual funds; net value added (IMA),FA856902605,171.4,328.2,393.2,442.3,528.3,499.0,550.4,518.6,3
3,Other financial corporations and money market mutual funds; compensation of employees paid (IMA),FA856025005,358.6,283.7,302.5,318.8,328.4,333.7,371.6,389.5,4
4,Other financial corporations and money market mutual funds; wages and salaries paid (IMA),FA856020005,305.3,241.8,256.7,270.3,279.8,284.3,317.5,332.7,5
5,Other financial corporations and money market mutual funds; employers' social contributions paid (IMA),FA856401005,53.3,41.9,45.8,48.5,48.6,49.5,54.1,56.8,6
6,"Other financial corporations and money market mutual funds; taxes on production and imports less subsidies, payable (IMA)",FA856240105,25.8,32.7,33.1,25.6,26.5,24.0,21.4,22.5,7
7,"Other financial corporations and money market mutual funds; operating surplus, net (IMA)",FA856402105,-212.9,11.8,57.6,97.9,173.4,141.3,157.5,106.7,8
8,"Other financial corporations and money market mutual funds; net national income/balance of primary incomes, net (IMA)",FA856140005,-197.7,8.5,59.3,95.4,87.0,-67.0,-40.4,-28.8,9
9,"Other financial corporations and money market mutual funds; operating surplus, net (IMA)",FA856402105,-212.9,11.8,57.6,97.9,173.4,141.3,157.5,106.7,10
10,Other financial corporations and money market mutual funds; property income (received) (IMA),FA856150105,1619.3,977.5,871.9,894.8,855.3,801.8,803.1,839.3,11
11,Other financial corporations and money market mutual funds; interest received (IMA),FA856130105,1403.8,807.6,673.4,672.8,614.6,519.9,507.8,528.8,12
12,Other financial corporations and money market mutual funds; dividends received (IMA),FA856121105,187.1,143.5,163.3,188.0,212.7,253.6,268.5,285.0,13
13,Other financial corporations and money market mutual funds; reinvested earnings on U.S. direct investment abroad; received (IMA),FA853092285,28.5,26.5,35.2,34.0,27.9,28.3,26.8,25.5,14
14,Other financial corporations and money market mutual funds; uses of property income (paid) (IMA),FA856150005,1604.1,980.8,870.2,897.3,941.7,1010.0,1001.0,974.8,15
15,Other financial corporations and money market mutual funds; interest paid (IMA),FA856130005,1286.7,701.3,591.0,616.8,592.9,532.8,537.5,530.3,16
16,"Other financial corporations and money market mutual funds; distributed income of corporations, paid (IMA)",FA856120005,312.5,277.1,272.4,272.0,340.1,469.9,455.1,437.3,17
17,Other financial corporations and money market mutual funds; dividends paid (IMA),FA856121005,295.7,208.9,191.5,220.6,275.9,427.3,432.2,411.1,18
18,"Other financial corporations and money market mutual funds; withdrawals from income of quasi-corporations, paid (IMA)(1)",FA856122005,16.7,68.2,81.0,51.4,64.2,42.6,22.9,26.2,19
19,Other financial corporations and money market mutual funds; reinvested earnings on foreign direct investment in U.S.; paid (IMA),FA853192285,4.9,2.4,6.8,8.5,8.7,7.3,8.4,7.2,20
20,Other financial corporations and money market mutual funds; rents on land and natural resources paid (IMA),FA856112005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
21,"Other financial corporations and money market mutual funds; net national income/balance of primary incomes, net (IMA)",FA856140005,-197.7,8.5,59.3,95.4,87.0,-67.0,-40.4,-28.8,22
22,"Other financial corporations and money market mutual funds; current taxes on income, wealth, etc. paid (IMA)",FA856220005,13.5,16.5,23.2,28.4,32.9,44.0,41.6,39.2,23
23,Other financial corporations and money market mutual funds; other current transfers paid (IMA),FA856403005,9.1,26.2,21.2,26.9,34.2,36.1,37.7,21.2,24
24,"Other financial corporations and money market mutual funds; disposable income, net; net saving including foreign earnings retained abroad and CCAdj (IMA)",FA856012005,-220.2,-34.2,14.9,40.1,19.8,-147.1,-119.7,-89.2,25
25,"Other financial corporations and money market mutual funds; disposable income, net; net saving including foreign earnings retained abroad and CCAdj (IMA)",FA856012005,-220.2,-34.2,14.9,40.1,19.8,-147.1,-119.7,-89.2,26
26,Other financial corporations and money market mutual funds; net saving including foreign earnings retained abroad and CCAdj less net capital transfers paid,FA856006385,-205.3,64.3,56.4,72.2,24.6,-147.1,-129.7,-89.2,27
27,"Other financial corporations and money market mutual funds; disposable income, net; net saving including foreign earnings retained abroad and CCAdj (IMA)",FA856012005,-220.2,-34.2,14.9,40.1,19.8,-147.1,-119.7,-89.2,28
28,Other financial corporations and money market mutual funds; net capital transfers paid (IMA),FA855440085,-14.9,-98.4,-41.5,-32.1,-4.7,0.0,10.0,0.0,29
29,"Other financial corporations and money market mutual funds; capital formation, net (IMA)",FA855015085,17.9,-10.6,-4.8,6.4,21.6,21.7,32.6,41.0,30
30,Other financial corporations and money market mutual funds; gross fixed capital formation (IMA),FA855013085,132.4,106.3,111.9,115.4,134.9,140.9,158.3,174.4,31
31,"Other financial corporations and money market mutual funds; consumption of fixed capital, structures, equipment, and intellectual property products, including noncorporate financial, current cost basis (IMA)",FA856300085,114.5,116.9,116.7,109.0,113.3,119.1,125.7,133.4,32
32,Other financial corporations and money market mutual funds; net lending (+) or borrowing (-) (capital account) (IMA),FA855000995,-223.3,74.8,61.2,65.8,3.0,-168.9,-162.3,-130.3,33
33,Other financial corporations and money market mutual funds; net lending (+) or borrowing (-) (capital account) (IMA),FA855000995,-223.3,74.8,61.2,65.8,3.0,-168.9,-162.3,-130.3,34
34,Other financial corporations and money market mutual funds; total financial assets,FA854090005,634.5,-1207.4,-605.0,-15.1,437.7,375.4,662.1,307.9,35
35,Other financial corporations and money market mutual funds; total currency and deposits; asset,FA854000005,168.0,109.7,-157.9,-86.7,8.0,68.9,-22.0,-119.1,36
36,Other financial corporations and money market mutual funds; debt securities; asset,FA854022005,672.2,-797.6,9.5,136.6,457.3,-237.9,-73.4,191.6,37
