, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,All sectors; commercial mortgages; asset,FL893065505,2358.5,2487.6,2614.8,2450.3,2487.6,2510.4,2542.6,2582.9,2614.8,1
1,Nonprofit organizations; commercial mortgages; liability(1),FL163165505,227.8,233.9,240.0,232.4,233.9,235.4,236.9,238.5,240.0,2
2,Nonfinancial corporate business; commercial mortgages; liability,FL103165505,284.4,313.0,341.2,297.6,313.0,310.6,320.8,332.7,341.2,3
3,Nonfinancial noncorporate business; commercial mortgages; liability,FL113165505,1646.0,1736.1,1835.9,1710.1,1736.1,1754.1,1779.6,1813.2,1835.9,4
4,Equity real estate investment trusts; commercial mortgages; liability,FL643165583,200.4,204.7,197.6,210.3,204.7,210.3,205.3,198.5,197.6,5
5,All sectors; commercial mortgages; asset,FL893065505,2358.5,2487.6,2614.8,2450.3,2487.6,2510.4,2542.6,2582.9,2614.8,6
6,Households and nonprofit organizations; commercial mortgages; asset,FL153065505,0.9,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.1,7
7,Nonfinancial corporate business; commercial mortgages; asset,FL103065503,11.2,11.9,12.7,11.7,11.9,12.1,12.3,12.5,12.7,8
8,Nonfinancial noncorporate business; commercial mortgages; asset,FL113065503,9.5,10.1,10.8,9.9,10.1,10.3,10.5,10.6,10.8,9
9,Federal government; commercial mortgages; asset,FL313065505,72.1,69.3,70.7,69.8,69.3,69.7,69.8,69.6,70.7,10
10,"State and local governments, excluding employee retirement funds; commercial mortgages; asset",FL213065503,16.7,17.7,18.3,17.4,17.7,17.8,17.9,18.2,18.3,11
11,U.S.-chartered depository institutions; commercial mortgages; asset,FL763065503,1301.1,1406.3,1523.1,1371.0,1406.3,1431.3,1465.8,1492.8,1523.1,12
12,Foreign banking offices in the U.S.; commercial mortgages; asset,FL753065503,33.2,47.2,61.3,41.7,47.2,51.8,55.8,59.7,61.3,13
13,Banks in U.S.-affiliated areas; commercial mortgages; asset,FL743065505,13.0,10.8,10.7,10.8,10.8,10.9,10.8,10.8,10.7,14
14,Property-casualty insurance companies; commercial mortgages; asset,FL513065503,9.9,12.3,15.8,11.5,12.3,13.0,13.8,14.8,15.8,15
15,Life insurance companies; commercial mortgages; asset,FL543065505,301.2,332.6,354.0,319.5,332.6,335.3,342.4,348.5,354.0,16
16,Private pension funds; commercial mortgages; asset,FL573065505,20.5,18.2,18.6,18.4,18.2,18.4,18.4,18.4,18.6,17
17,State and local government employee defined benefit retirement funds; commercial mortgages; asset,FL223065545,3.4,3.3,2.4,3.4,3.3,2.8,2.8,2.3,2.4,18
18,Agency-and GSE-backed mortgage pools; commercial mortgages; asset,FL413065505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
19,Issuers of asset-backed securities; commercial mortgages; asset,FL673065505,326.1,351.5,333.8,353.0,351.5,334.3,326.0,329.2,333.8,20
20,Finance companies; commercial mortgages; asset,FL613065503,41.4,28.5,23.6,33.8,28.5,27.8,25.8,23.9,23.6,21
21,Real estate investment trusts; commercial mortgages; asset,FL643065505,198.2,166.8,158.0,177.4,166.8,173.8,169.5,170.5,158.0,22
