, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,All sectors; total miscellaneous liabilities,FA893190005,1704.2,951.4,1267.1,1429.9,-50.0,1863.4,1724.1,1108.9,371.8,1
1,"Life insurance companies, general accounts; deferred and unpaid life insurance premiums; asset",FA543077073,1.2,1.7,0.5,-0.9,-0.2,4.8,3.3,-3.9,-2.2,2
2,Nonfinancial corporate business; total miscellaneous liabilities,FA103190005,1068.3,654.6,542.9,920.3,1265.3,627.5,781.5,467.7,295.0,3
3,Nonfinancial noncorporate business; unidentified miscellaneous liabilities,FA113193003,77.9,28.4,17.4,21.1,19.8,17.6,17.3,17.5,17.3,4
4,Federal government; total miscellaneous liabilities,FA313190005,35.5,29.6,32.7,477.9,-1313.8,10.0,69.0,28.5,23.1,5
5,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,FA223073045,261.1,256.0,232.1,298.0,267.3,218.1,204.0,261.2,245.2,6
6,Monetary authority; total miscellaneous liabilities,FA713190005,3.5,0.6,0.2,-203.3,209.1,-77.6,60.8,-196.6,214.2,7
7,U.S.-chartered depository institutions; total miscellaneous liabilities,FA763190005,318.5,65.0,144.8,28.8,-105.8,268.1,436.0,16.2,-141.1,8
8,Foreign banking offices in the U.S.; total miscellaneous liabilities,FA753190005,-11.7,-9.1,-17.4,26.2,-28.3,164.0,5.9,-149.8,-89.6,9
9,Banks in U.S.-affiliated areas; unidentified miscellaneous liabilities,FA743193005,-1.6,-2.3,-0.3,-7.0,-2.0,1.6,-0.2,3.3,-5.8,10
10,Credit unions; unidentified miscellaneous liabilities,FA473193005,1.2,0.5,4.2,-11.2,8.9,25.6,-21.6,-13.0,25.7,11
11,Property-casualty insurance companies; total miscellaneous liabilities,FA513190005,7.7,12.8,30.7,32.4,-71.4,-25.2,40.7,67.0,40.1,12
12,Life insurance companies; total miscellaneous liabilities,FA543190005,24.5,0.3,105.4,55.3,-49.9,215.8,166.1,44.5,-4.6,13
13,Government-sponsored enterprises; total miscellaneous liabilities,FA403190005,-3.6,-4.6,4.2,4.2,1.9,-5.9,2.3,4.1,16.5,14
14,Finance companies; total miscellaneous liabilities,FA613190005,-7.3,-11.9,-52.3,-28.9,-11.9,-30.1,-45.6,-56.2,-77.2,15
15,Real estate investment trusts; unidentified miscellaneous liabilities,FA643193005,6.9,-1.9,11.7,41.5,-51.4,26.0,29.3,0.3,-8.6,16
16,Security brokers and dealers; total miscellaneous liabilities,FA663190005,-24.6,3.2,134.9,-10.5,-210.5,14.6,38.8,538.7,-52.4,17
17,Holding companies; unidentified miscellaneous liabilities,FA733193005,-31.4,-147.7,-14.7,-295.7,-78.0,5.6,-123.3,110.7,-51.8,18
18,Funding corporations; total miscellaneous liabilities,FA503190005,-10.7,81.4,83.0,65.4,141.2,398.0,-25.6,-29.6,-10.8,19
19,Rest of the world; total miscellaneous liabilities,FA263190005,-11.0,-5.2,6.9,16.2,-40.3,5.2,85.3,-1.6,-61.2,20
20,All sectors; total miscellaneous assets,FA893090005,1567.3,1243.4,1413.7,1679.0,-194.8,2666.7,1005.0,1398.5,584.9,21
21,Households and nonprofit organizations; total miscellaneous assets,FA153090005,7.8,33.9,59.0,61.9,28.4,55.3,60.5,46.4,73.8,22
22,Nonfinancial corporate business; total miscellaneous assets,FA103090005,446.7,674.1,441.6,611.5,565.8,812.1,474.6,147.3,332.5,23
23,Nonfinancial noncorporate business; total miscellaneous assets,FA113090005,332.2,193.1,204.4,144.7,254.2,229.3,189.2,217.0,182.2,24
