, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Domestic financial sectors; depository institution loans n.e.c.; asset,FA793068005,320.0,280.6,153.6,180.4,248.7,424.2,155.6,168.8,-134.1,1
1,Households and nonprofit organizations; depository institution loans n.e.c.; liability,FA153168005,121.1,100.5,52.3,106.0,146.1,68.3,103.0,-68.7,106.5,2
2,Nonfinancial corporate business; depository institution loans n.e.c.; liability,FA103168005,70.2,78.2,49.1,97.6,41.5,157.2,7.9,116.3,-84.8,3
3,Nonfinancial noncorporate business; depository institution loans n.e.c.; liability,FA113168005,86.7,97.9,72.0,32.3,143.9,163.9,52.3,43.2,28.6,4
4,Domestic financial sectors; depository institution loans n.e.c.; liability,FA793168005,13.3,-18.6,-4.3,-49.6,-94.6,32.3,-7.5,106.3,-148.3,5
5,Finance companies; depository institution loans n.e.c.; liability,FA613168000,10.5,13.7,0.2,-0.3,5.0,21.3,-11.6,2.6,-11.4,6
6,Real estate investment trusts; depository institution loans n.e.c.; liability,FA643168005,7.2,7.3,-10.3,6.5,-15.8,-6.9,-10.3,-3.3,-20.5,7
7,Security brokers and dealers; depository institution loans n.e.c.; liability,FA663168005,12.0,-1.0,11.8,-20.7,9.3,-1.2,34.8,11.8,1.8,8
8,Holding companies; depository institution loans n.e.c.; liability,FA733168003,-16.3,-38.7,-6.0,-35.1,-93.2,19.2,-20.4,95.3,-118.2,9
9,Monetary authority; depository institution loans n.e.c. to funding corporations; asset,FA713068505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
10,Rest of the world; depository institution loans n.e.c.; liability,FA263168005,28.6,22.7,-15.4,-6.0,11.8,2.6,-0.2,-28.2,-36.0,11
11,Rest of the world; depository institution loans n.e.c. to foreign official institutions; liability,FA263168465,1.1,1.3,-2.2,1.3,2.7,-5.2,3.5,-0.4,-6.8,12
12,Rest of the world; depository institution loans n.e.c. to foreign banks; liability,FA263168475,-0.7,1.2,-16.7,3.5,-4.5,-33.0,-18.3,-12.7,-2.9,13
13,Rest of the world; depository institution loans n.e.c. to foreigners other than foreign official institutions and foreign banks; liability,FA263168485,28.2,20.2,3.5,-10.8,13.6,40.7,14.7,-15.1,-26.3,14
14,Domestic financial sectors; depository institution loans n.e.c.; asset,FA793068005,320.0,280.6,153.6,180.4,248.7,424.2,155.6,168.8,-134.1,15
15,Monetary authority; depository institution loans n.e.c.; asset(2),FA713068005,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
16,"U.S.-chartered depository institutions, including IBFs; depository institution loans n.e.c.; asset",FA763068005,249.8,214.1,136.5,142.3,192.1,371.0,99.5,148.3,-72.9,17
17,Foreign banking offices in the U.S.; depository institution loans n.e.c.; asset,FA753068005,67.4,64.4,7.3,31.4,54.2,36.3,71.2,-0.7,-77.5,18
18,Banks in U.S.-affiliated areas; depository institution loans n.e.c.; asset,FA743068005,-2.3,-2.0,-1.2,-1.6,-0.1,-1.9,-1.2,-1.0,-0.6,19
19,Credit unions; depository institution loans n.e.c.; asset,FA473068005,5.1,4.1,11.0,8.3,2.4,18.8,-13.9,22.2,17.0,20
