, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Gross domestic product (GDP); sum of pieces,FA086902005,17393.1,18036.6,18565.6,18141.9,18222.8,18281.6,18450.1,18675.3,18855.5,1
1,Households and nonprofit organizations; personal consumption expenditures(2),FA156901001,11863.4,12283.7,12753.1,12356.9,12438.8,12498.0,12692.7,12832.2,12989.5,2
2,"Households and nonprofit organizations; personal consumption expenditures, consumer durable goods",FA155011001,1294.8,1355.2,1402.9,1364.7,1371.8,1366.6,1390.0,1414.0,1441.1,3
3,"Households and nonprofit organizations; personal consumption expenditures, consumer nondurable goods",FA156901035,2675.7,2656.9,2694.6,2678.3,2666.3,2642.0,2695.4,2697.9,2743.2,4
4,"Households and nonprofit organizations; personal consumption expenditures, consumer services",FA156901041,7892.9,8271.6,8655.5,8313.9,8400.6,8489.3,8607.3,8720.3,8805.3,5
5,Private domestic sectors; gross fixed investment and inventories,FA835019905,2886.5,3056.6,3035.4,3072.1,3059.9,3036.8,2987.5,3017.2,3100.1,6
6,Private domestic sectors; gross fixed investment(3),FA835019005,2821.0,2963.2,3015.4,2995.3,2997.2,2994.8,3002.5,3013.1,3051.3,7
7,"Private domestic sectors; gross fixed investment, nonresidential structures, equipment, and intellectual property products",FA835013001,2251.0,2311.3,2309.4,2331.5,2311.3,2292.4,2304.7,2313.8,2326.8,8
8,"Nonprofit organizations; gross fixed investment, nonresidential structures, equipment, and intellectual property products(4)",FA165013005,137.0,145.8,146.9,146.7,142.6,143.0,145.9,149.0,149.9,9
9,"Nonfinancial corporate business; gross fixed investment, nonresidential structures, equipment, and intellectual property products",FA105013005,1618.3,1646.3,1645.5,1659.5,1644.1,1631.6,1642.4,1648.9,1659.0,10
10,"Nonfinancial noncorporate business; gross fixed investment, nonresidential structures, equipment, and intellectual property products",FA115013005,277.9,280.7,271.9,282.4,280.8,275.4,273.0,268.7,270.6,11
11,"Domestic financial sectors; gross fixed investment, nonresidential structures, equipment, and intellectual property products",FA795013005,217.7,238.5,245.1,242.8,243.8,242.5,243.4,247.2,247.3,12
12,"Private domestic sectors; gross fixed investment, residential equipment and structures",FA835012001,570.1,651.9,706.0,663.8,685.9,702.4,697.8,699.3,724.5,13
13,"Households and nonprofit organizations; gross fixed investment, residential equipment and structures (includes farm houses)",FA155012005,473.8,542.3,594.6,552.5,571.2,588.2,588.8,590.4,610.8,14
14,"Nonfinancial corporate business; gross fixed investment, residential equipment and structures",FA105012005,-0.6,8.3,-6.8,26.9,9.8,6.2,-8.8,-5.5,-19.2,15
15,"Nonfinancial noncorporate business; gross fixed investment, residential equipment and structures",FA115012005,89.1,101.3,110.4,102.9,106.1,109.3,109.4,109.7,113.4,16
16,"Real estate investment trusts; gross fixed investment, multifamily residential structures",FA645012063,7.8,-0.0,7.8,-18.5,-1.1,-1.3,8.4,4.6,19.4,17
17,Nonfinancial business; inventories,FA145020005,65.4,93.4,20.0,76.8,62.7,41.9,-15.0,4.1,48.8,18
18,Nonfinancial corporate business; inventories including IVA,FA105020005,57.9,81.2,20.8,66.6,56.5,40.8,-9.5,5.1,46.7,19
19,Nonfinancial noncorporate business; inventories,FA115020005,7.6,12.2,-0.8,10.2,6.2,1.1,-5.4,-1.0,2.0,20
20,Rest of the world; net U.S. exports,FA266903005,-508.8,-522.0,-499.9,-523.4,-520.9,-507.4,-492.4,-460.0,-539.8,21
21,Rest of the world; U.S. exports,FA266903011,2375.3,2264.3,2233.0,2259.1,2211.7,2179.0,2209.7,2276.3,2267.1,22
22,Rest of the world; U.S. imports,FA266903001,2884.1,2786.3,2732.9,2782.5,2732.6,2686.3,2702.2,2736.2,2806.9,23
23,General government; gross domestic product (GDP),FA366902005,3152.1,3218.3,3277.1,3236.3,3245.0,3254.3,3262.3,3285.9,3305.7,24
24,General government; consumption expenditures(5),FA366901005,2557.6,2604.9,2655.2,2617.1,2626.5,2623.0,2643.8,2672.3,2681.5,25
25,Federal government; consumption expenditures,FA316901001,955.9,963.7,978.1,965.1,968.0,969.0,974.6,984.9,983.8,26
26,State and local governments; consumption expenditures,FA206901001,1601.6,1641.2,1677.1,1652.1,1658.5,1654.0,1669.2,1687.4,1697.6,27
27,General government; gross fixed investment(5),FA365019005,594.5,613.4,621.9,619.2,618.5,631.3,618.5,613.6,624.2,28
28,Federal government; gross fixed investment,FA315019001,262.9,261.2,266.4,260.0,266.0,264.8,264.6,266.9,269.3,29
29,State and local governments; gross fixed investment,FA205019001,331.6,352.2,355.5,359.2,352.6,366.5,353.9,346.7,354.8,30
30,Rest of the world; net income payments to the U.S.,FA266904005,248.1,205.7,195.2,190.6,211.4,172.5,207.8,204.0,196.4,31
31,Rest of the world; income payments to the U.S.,FA266904001,852.1,813.1,841.8,817.2,798.5,807.0,848.3,848.9,863.0,32
32,Rest of the world; income receipts from the U.S.,FA266904101,604.0,607.4,646.6,626.6,587.1,634.5,640.5,644.9,666.6,33
33,Gross national product (GNP); sum of pieces,FA086902105,17641.2,18242.4,18760.8,18332.5,18434.1,18454.2,18657.9,18879.3,19051.9,34
34,Households and nonprofit organizations; acquisition of nonproduced nonfinancial assets (net),FA155420003,-8.0,-8.2,-8.2,-8.2,-8.2,-8.2,-8.2,-8.2,-8.2,35
35,Nonfinancial corporate business; acquisition of nonproduced nonfinancial assets (net),FA105420005,1.8,29.9,7.9,-0.2,-0.3,-0.6,31.9,0.9,-0.7,36
36,Federal government; acquisition of nonproduced nonfinancial assets (net),FA315420003,-2.7,-30.9,-9.0,-0.7,-0.6,-0.4,-33.1,-2.1,-0.5,37
37,State and local governments; acquisition of nonproduced nonfinancial assets (net),FA205420003,8.9,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,38
38,Rest of the world; acquisition of nonproduced nonfinancial assets (net),FA265420005,-0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,39
