, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,"Issuers of asset-backed securities; consumption of fixed capital; nonresidential equipment, current cost basis",FA676330023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,"Issuers of asset-backed securities; gross fixed investment, nonresidential equipment",FA675013025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2,Issuers of asset-backed securities; total financial assets,FA674090005,-52.8,-59.0,-79.6,-159.9,-86.9,-70.6,-141.9,-20.1,-85.7,3
3,Issuers of asset-backed securities; debt securities; asset,FA674022005,5.5,0.9,-8.3,-1.3,-1.8,-4.0,-9.2,-15.0,-5.2,4
4,Issuers of asset-backed securities; Treasury securities; asset,FA673061103,5.5,1.0,-8.3,-1.3,-1.4,-4.0,-9.2,-15.0,-5.2,5
5,Issuers of asset-backed securities; agency- and GSE-backed securities; asset(1),FA673061703,0.0,-0.1,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,6
6,Issuers of asset-backed securities; loans; asset,FA674023005,-63.1,-64.1,-77.2,-144.5,-112.8,-68.5,-139.2,-6.4,-94.6,7
7,Issuers of asset-backed securities; securitized other loans and advances; asset,FA673069005,9.1,-1.0,1.0,-31.2,-3.7,62.8,-46.3,1.3,-13.6,8
8,Issuers of asset-backed securities; total mortgages; asset(2),FA673065005,-72.9,-59.3,-84.0,-96.1,-96.9,-129.0,-114.7,-11.9,-80.5,9
9,Issuers of asset-backed securities; home mortgages; asset,FA673065105,-59.4,-78.4,-51.6,-101.0,-77.0,-35.1,-75.3,-22.5,-73.3,10
10,Issuers of asset-backed securities; multifamily residential mortgages; asset,FA673065405,-2.4,-6.4,-14.7,-11.7,-5.0,-19.1,-7.5,-15.8,-16.4,11
11,Issuers of asset-backed securities; commercial mortgages; asset,FA673065505,-11.1,25.5,-17.7,16.6,-14.9,-74.8,-31.8,26.4,9.3,12
12,Issuers of asset-backed securities; consumer credit; asset,FA673066000,0.6,-3.8,5.8,-17.2,-12.1,-2.3,21.8,4.2,-0.5,13
13,Issuers of asset-backed securities; trade receivables; asset,FA673070003,-4.4,2.7,-0.7,-2.0,9.5,5.8,-1.5,-3.1,-4.1,14
14,Issuers of asset-backed securities; funding agreements backing securities; asset(3),FA673090543,9.2,1.6,6.7,-12.2,18.2,-3.9,8.0,4.5,18.3,15
15,Issuers of asset-backed securities; debt securities; liability,FA674122005,-52.8,-59.0,-79.6,-159.9,-86.9,-70.6,-141.9,-20.1,-85.7,16
16,"Issuers of asset-backed securities; commercial paper, excluding U.S.-chartered commercial banks' asset-backed commercial paper; liability",FA673169105,-15.1,-7.3,20.3,-48.8,-22.3,53.1,-2.9,50.1,-19.0,17
17,Issuers of asset-backed securities; corporate and foreign bonds; liability(4),FA673163005,-37.6,-51.7,-99.9,-111.1,-64.6,-123.7,-139.0,-70.2,-66.7,18
18,Issuers of asset-backed securities; sector discrepancy,FA677005005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
19,Issuers of asset-backed securities; consumer leases(5),FA675013013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
20,Real estate investment trusts; securitized assets(6),FA643065045,12.4,-29.6,-16.1,-16.6,-29.2,35.4,-15.6,-40.5,-43.5,21
