, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,All sectors; sector discrepancy,FA897005005,208.9,-149.4,-60.0,-36.1,89.6,-198.8,289.8,-398.3,67.4,1
1,Households and nonprofit organizations; sector discrepancy,FA157005005,-401.0,-349.3,-31.3,-753.8,-366.4,-427.2,34.4,163.6,104.2,2
2,Nonfinancial corporate business; sector discrepancy,FA107005005,700.8,85.2,38.3,155.3,208.6,137.6,37.9,41.6,-64.1,3
3,Federal government; sector discrepancy,FA317005005,-58.0,-63.9,-62.0,134.4,-143.6,-105.7,-59.7,311.9,-394.5,4
4,"State and local governments, excluding employee retirement funds; sector discrepancy",FA217005005,-12.0,7.8,-43.0,-73.9,74.9,-12.5,-79.2,-92.5,12.2,5
5,Domestic financial sectors; sector discrepancy,FA797005005,-57.5,-220.4,-198.1,-137.3,-156.7,-235.6,-19.6,-284.0,-253.4,6
6,Monetary authority; sector discrepancy,FA717005005,3.9,7.2,-3.8,7.4,4.9,-2.5,-3.6,-5.1,-4.0,7
7,U.S.-chartered depository institutions; sector discrepancy,FA767005005,51.3,-135.7,-94.5,-174.4,-14.1,-0.4,92.6,-191.5,-278.6,8
8,Foreign banking offices in the U.S.; sector discrepancy,FA757005005,1.2,-12.9,-31.9,79.8,-85.7,-110.6,-98.1,-118.9,199.8,9
9,Banks in U.S.-affiliated areas; sector discrepancy,FA747005005,-0.2,0.1,1.0,-3.8,-0.9,3.2,0.4,5.3,-4.7,10
10,Credit unions; sector discrepancy,FA477005005,-2.0,1.9,-0.8,0.6,7.9,-12.0,1.9,-2.5,9.4,11
11,Property-casualty insurance companies; sector discrepancy,FA517005005,3.5,-29.7,-15.2,-56.2,3.0,-38.5,-6.2,-14.1,-2.0,12
12,Life insurance companies; sector discrepancy,FA547005005,-45.2,5.6,22.0,22.1,-7.9,35.8,13.5,48.5,-10.0,13
13,Mutual funds; sector discrepancy,FA657005005,-73.6,-68.3,-58.2,-68.0,-67.6,-39.1,-55.2,-76.8,-61.7,14
14,Government-sponsored enterprises; sector discrepancy,FA407005005,23.6,-10.9,-1.7,25.5,43.9,-91.2,42.0,35.3,7.3,15
15,Issuers of asset-backed securities; sector discrepancy,FA677005005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
16,Finance companies; sector discrepancy,FA617005005,-24.7,9.8,37.2,25.2,-19.3,-18.4,57.9,66.0,43.2,17
17,Real estate investment trusts; sector discrepancy,FA647005005,26.7,30.3,-22.3,41.1,-6.2,37.5,-1.1,-89.8,-35.9,18
18,Security brokers and dealers; sector discrepancy,FA667005005,-25.4,-22.0,-18.0,17.1,-44.0,-0.3,-31.5,17.8,-58.0,19
19,Holding companies; sector discrepancy,FA737005005,3.3,4.2,-12.0,-53.7,29.3,1.0,-32.3,41.6,-58.2,20
20,Rest of the world; sector discrepancy (FOF basis),FA267005005,36.6,391.3,236.2,639.1,472.9,444.5,376.0,-538.9,663.0,21
